B,observations,genes,batch_size,k,initializer,method,time,memory
1,1000,1000,0.005,3,random,hdf5,00:28.8,659.4726563
1,1000,1000,0.01,3,random,hdf5,00:20.5,675.5429688
1,1000,1000,0.05,3,random,hdf5,00:23.9,613.8398438
1,1000,1000,0.1,3,random,hdf5,00:25.6,552.6914063
1,1000,1000,0.2,3,random,hdf5,00:27.3,506.359375
1,1000,1000,0.5,3,random,hdf5,00:38.0,519.1132813
1,1000,1000,0.8,3,random,hdf5,00:51.0,569.3632813
1,1000,1000,1,3,random,hdf5,00:26.4,519.1054688
1,5000,1000,0.005,3,random,hdf5,00:21.9,821.5625
1,5000,1000,0.01,3,random,hdf5,00:18.6,652.9257813
1,5000,1000,0.05,3,random,hdf5,00:30.1,618.59375
1,5000,1000,0.1,3,random,hdf5,00:42.6,618.59375
1,5000,1000,0.2,3,random,hdf5,01:07.5,618.59375
1,5000,1000,0.5,3,random,hdf5,01:44.6,618.5742188
1,5000,1000,0.8,3,random,hdf5,06:22.3,656.4570313
1,5000,1000,1,3,random,hdf5,01:24.2,618.609375
1,25000,1000,0.005,3,random,hdf5,00:32.5,988.6054688
1,25000,1000,0.01,3,random,hdf5,00:36.6,943.8398438
1,25000,1000,0.05,3,random,hdf5,01:08.3,943.8398438
1,25000,1000,0.1,3,random,hdf5,02:08.1,943.8320313
1,25000,1000,0.2,3,random,hdf5,03:53.6,944.4765625
1,25000,1000,0.5,3,random,hdf5,09:08.2,944.4765625
1,25000,1000,0.8,3,random,hdf5,14:07.3,1077.8125
1,25000,1000,1,3,random,hdf5,05:21.7,1230.460938
1,75000,1000,0.005,3,random,hdf5,01:14.5,1039.070313
1,75000,1000,0.01,3,random,hdf5,01:12.3,1039.074219
1,75000,1000,0.05,3,random,hdf5,06:42.7,1039.070313
1,75000,1000,0.1,3,random,hdf5,10:13.8,1041.234375
1,75000,1000,0.2,3,random,hdf5,09:46.4,1041.234375
1,75000,1000,0.5,3,random,hdf5,27:33.9,1613.464844
1,75000,1000,0.8,3,random,hdf5,42:36.2,2300.03125
1,75000,1000,1,3,random,hdf5,24:05.4,2757.890625
2,1000,1000,0.005,3,random,hdf5,00:13.3,668.5859375
2,1000,1000,0.01,3,random,hdf5,00:10.2,675.3242188
2,1000,1000,0.05,3,random,hdf5,00:11.1,618.65625
2,1000,1000,0.1,3,random,hdf5,00:12.9,553.4609375
2,1000,1000,0.2,3,random,hdf5,00:15.4,506.3554688
2,1000,1000,0.5,3,random,hdf5,00:22.3,511.375
2,1000,1000,0.8,3,random,hdf5,00:30.9,577.0820313
2,1000,1000,1,3,random,hdf5,00:17.7,519.2539063
2,5000,1000,0.005,3,random,hdf5,00:13.5,703.4609375
2,5000,1000,0.01,3,random,hdf5,00:13.6,734.875
2,5000,1000,0.05,3,random,hdf5,00:20.5,618.5742188
2,5000,1000,0.1,3,random,hdf5,00:24.5,618.59375
2,5000,1000,0.2,3,random,hdf5,00:34.2,618.59375
2,5000,1000,0.5,3,random,hdf5,01:17.7,618.5742188
2,5000,1000,0.8,3,random,hdf5,03:21.5,656.4570313
2,5000,1000,1,3,random,hdf5,00:55.3,618.6289063
2,25000,1000,0.005,3,random,hdf5,00:18.9,987.6679688
2,25000,1000,0.01,3,random,hdf5,00:21.2,943.8359375
2,25000,1000,0.05,3,random,hdf5,00:45.7,943.8164063
2,25000,1000,0.1,3,random,hdf5,01:04.8,943.8242188
2,25000,1000,0.2,3,random,hdf5,02:01.1,944.4609375
2,25000,1000,0.5,3,random,hdf5,05:03.2,944.4570313
2,25000,1000,0.8,3,random,hdf5,08:15.5,1077.808594
2,25000,1000,1,3,random,hdf5,15:16.5,1230.476563
2,75000,1000,0.005,3,random,hdf5,00:35.8,1039.066406
2,75000,1000,0.01,3,random,hdf5,00:40.9,1039.070313
2,75000,1000,0.05,3,random,hdf5,02:49.9,1039.066406
2,75000,1000,0.1,3,random,hdf5,03:39.6,1041.230469
2,75000,1000,0.2,3,random,hdf5,05:35.4,1041.230469
2,75000,1000,0.5,3,random,hdf5,13:37.4,1613.460938
2,75000,1000,0.8,3,random,hdf5,22:53.9,2300.046875
2,75000,1000,1,3,random,hdf5,13:35.3,2757.890625
1,100000,1000,0.005,3,random,hdf5,01:00.3,1039.070313
1,100000,1000,0.01,3,random,hdf5,01:02.6,1039.074219
1,100000,1000,0.05,3,random,hdf5,03:21.7,1041.988281
1,100000,1000,0.1,3,random,hdf5,06:36.5,1041.996094
1,100000,1000,0.2,3,random,hdf5,13:29.2,1080.109375
1,100000,1000,0.5,3,random,hdf5,25:03.6,1995.640625
1,100000,1000,0.8,3,random,hdf5,51:24.0,2911.511719
1,100000,1000,1,3,random,hdf5,52:21.4,3521.570313
1,175000,1000,0.005,3,random,hdf5,02:22.3,1039.066406
1,175000,1000,0.01,3,random,hdf5,02:41.3,1039.0625
1,175000,1000,0.05,3,random,hdf5,11:40.8,1039.128906
1,175000,1000,0.1,3,random,hdf5,15:41.7,1229.941406
1,175000,1000,0.2,3,random,hdf5,38:11.2,1611.566406
1,175000,1000,0.5,3,random,hdf5,1:30:33,3140.667969
1,175000,1000,0.8,3,random,hdf5,2:41:36,4749.628906
1,175000,1000,1,3,random,hdf5,1:20:44,5813.695313
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
