B,observations,genes,batch_size,k,initializer,method,elapsed_time
1,1000,1000,0.005,3,random,hdf5,28.8
1,1000,1000,0.01,3,random,hdf5,20.5
1,1000,1000,0.05,3,random,hdf5,23.9
1,1000,1000,0.1,3,random,hdf5,25.6
1,1000,1000,0.2,3,random,hdf5,27.3
1,1000,1000,0.5,3,random,hdf5,38
1,1000,1000,0.8,3,random,hdf5,51
1,1000,1000,1,3,random,hdf5,26.4
1,5000,1000,0.005,3,random,hdf5,21.9
1,5000,1000,0.01,3,random,hdf5,18.6
1,5000,1000,0.05,3,random,hdf5,30.1
1,5000,1000,0.1,3,random,hdf5,42.6
1,5000,1000,0.2,3,random,hdf5,67.5
1,5000,1000,0.5,3,random,hdf5,104.6
1,5000,1000,0.8,3,random,hdf5,382.3
1,5000,1000,1,3,random,hdf5,84.2
1,25000,1000,0.005,3,random,hdf5,32.5
1,25000,1000,0.01,3,random,hdf5,36.6
1,25000,1000,0.05,3,random,hdf5,68.3
1,25000,1000,0.1,3,random,hdf5,128.1
1,25000,1000,0.2,3,random,hdf5,233.6
1,25000,1000,0.5,3,random,hdf5,548.2
1,25000,1000,0.8,3,random,hdf5,847.3
1,25000,1000,1,3,random,hdf5,321.7
1,75000,1000,0.005,3,random,hdf5,74.5
1,75000,1000,0.01,3,random,hdf5,72.3
1,75000,1000,0.05,3,random,hdf5,402.7
1,75000,1000,0.1,3,random,hdf5,613.8
1,75000,1000,0.2,3,random,hdf5,586.4
1,75000,1000,0.5,3,random,hdf5,1653.9
1,75000,1000,0.8,3,random,hdf5,2556.2
1,75000,1000,1,3,random,hdf5,1445.4
2,1000,1000,0.005,3,random,hdf5,13.32
2,1000,1000,0.01,3,random,hdf5,10.2
2,1000,1000,0.05,3,random,hdf5,11.11
2,1000,1000,0.1,3,random,hdf5,12.95
2,1000,1000,0.2,3,random,hdf5,15.44
2,1000,1000,0.5,3,random,hdf5,22.31
2,1000,1000,0.8,3,random,hdf5,30.88
2,1000,1000,1,3,random,hdf5,17.69
2,5000,1000,0.005,3,random,hdf5,13.48
2,5000,1000,0.01,3,random,hdf5,13.6
2,5000,1000,0.05,3,random,hdf5,20.52
2,5000,1000,0.1,3,random,hdf5,24.53
2,5000,1000,0.2,3,random,hdf5,34.21
2,5000,1000,0.5,3,random,hdf5,77.69
2,5000,1000,0.8,3,random,hdf5,201.47
2,5000,1000,1,3,random,hdf5,55.35
2,25000,1000,0.005,3,random,hdf5,18.92
2,25000,1000,0.01,3,random,hdf5,21.24
2,25000,1000,0.05,3,random,hdf5,45.74
2,25000,1000,0.1,3,random,hdf5,64.83
2,25000,1000,0.2,3,random,hdf5,121.12
2,25000,1000,0.5,3,random,hdf5,303.21
2,25000,1000,0.8,3,random,hdf5,495.54
2,25000,1000,1,3,random,hdf5,916.47
2,75000,1000,0.005,3,random,hdf5,35.82
2,75000,1000,0.01,3,random,hdf5,40.91
2,75000,1000,0.05,3,random,hdf5,169.88
2,75000,1000,0.1,3,random,hdf5,219.61
2,75000,1000,0.2,3,random,hdf5,335.4
2,75000,1000,0.5,3,random,hdf5,817.39
2,75000,1000,0.8,3,random,hdf5,1373.92
2,75000,1000,1,3,random,hdf5,815.31
1,100000,1000,0.005,3,random,hdf5,60.31
1,100000,1000,0.01,3,random,hdf5,62.61
1,100000,1000,0.05,3,random,hdf5,201.69
1,100000,1000,0.1,3,random,hdf5,396.53
1,100000,1000,0.2,3,random,hdf5,809.17
1,100000,1000,0.5,3,random,hdf5,1503.59
1,100000,1000,0.8,3,random,hdf5,3084
1,100000,1000,1,3,random,hdf5,3141.36
1,350000,1000,0.005,3,random,hdf5,164.06
1,350000,1000,0.01,3,random,hdf5,316.95
1,350000,1000,0.05,3,random,hdf5,537.23
1,350000,1000,0.1,3,random,hdf5,1254.62
1,350000,1000,0.2,3,random,hdf5,1984.51
1,350000,1000,0.5,3,random,hdf5,6417.00
