data,run_id,observations,genes,step,method,batch,b,time1,time2,time3,mode,abs_batch
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.002,1,94.115,44.871,140.181,time,150
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.002,1,94.84,49.951,145.091,time,150
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.04,1,144.662,64.32,214.788,time,3000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.006666667,1,92.65,40.069,135.436,time,500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.04,1,154.134,63.373,218.186,time,3000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.013333333,1,99.92,44.949,150.855,time,1000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.006666667,1,99.873,52.171,152.303,time,500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.02,1,120.874,25.026,153.971,time,1500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.013333333,1,103.666,53.595,157.646,time,1000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.04,1,151.926,63.672,222.013,time,3000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.01,1,1026.386,87.073,1114.059,time,750
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.02,1,115.072,56.726,172.455,time,1500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.04,1,131.129,58.14,189.659,time,3000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.066666667,1,167.558,65.1,235.041,time,5000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.066666667,1,242.626,84.749,328.11,time,5000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.1,1,235.66,73.552,310.897,time,7500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.1,1,197.821,84.415,282.894,time,7500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.133333333,1,234.529,78.118,313.771,time,10000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.133333333,1,251.614,80.073,332.216,time,10000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.01,1,1026.386,87.073,1114.059,time,150
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.01,1,1026.386,87.073,1114.059,time,500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.01,1,1026.386,87.073,1114.059,time,1000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.01,1,1026.386,87.073,1114.059,time,1500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.01,1,1026.386,87.073,1114.059,time,3000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.01,1,1026.386,87.073,1114.059,time,5000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.01,1,1026.386,87.073,1114.059,time,7500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.01,1,1026.386,87.073,1114.059,time,10000
