Data,Cells,Genes,Step,Method,Batch,B,WCSS,K
tenx_pbmc68k,67991,6505,01_full cluster,hdf5,0.001,1,170097214.7,15
tenx_pbmc68k,67991,6505,01_full cluster,hdf5,0.01,1,139915933.6,15
tenx_pbmc68k,67991,6505,01_full cluster,kmeans,0.001,1,132008673.4,15
tenx_pbmc68k,67991,6505,01_full cluster,kmeans,0.01,1,132008673.4,15
hca_bonemarrow,333253,7160,01_full cluster,hdf5,0.001,1,66537663521,15
hca_bonemarrow,333253,7160,01_full cluster,hdf5,0.01,1,54187136853,15
hca_cordblood,329153,5861,01_full cluster,hdf5,0.01,1,15415563158,15
hca_cordblood,329153,5861,01_full cluster,hdf5,0.001,1,24091415050,15
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.001,1,4418211.583,10
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.001,1,4367740.096,23
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.01,1,3924742.74,10
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.01,1,3031847.923,23
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.05,1,3576041.004,10
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.05,1,2969236.681,23
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.1,1,3666835.538,10
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.1,1,2958012.125,23
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.2,1,3723034.837,10
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.2,1,2985010.569,23
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.25,1,3724508.22,10
tenx_pbmc68k,67991,30,05_pca cluster,hdf5,0.25,1,2935887.025,23
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.001,1,3721102.113,10
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.001,1,4410208.389,10
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.001,1,2921409.495,23
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.001,1,3966013.743,23
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.01,1,3721102.113,10
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.01,1,4062091.625,10
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.01,1,2921409.495,23
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.01,1,3043116.083,23
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.05,1,3721102.113,10
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.05,1,4030035.473,10
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.05,1,2921409.495,23
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.05,1,2994697.498,23
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.1,1,3721102.113,10
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.1,1,4018299.334,10
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.1,1,2921409.495,23
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.2,1,3721102.113,10
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.1,1,2992445.337,23
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.2,1,2921409.495,23
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.2,1,4016998.814,10
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.25,1,3721102.113,10
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.2,1,2990042.038,23
tenx_pbmc68k,67991,30,05_pca cluster,kmeans,0.25,1,2921409.495,23
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.25,1,4016507.591,10
tenx_pbmc68k,67991,30,05_pca cluster,mbkmeans,0.25,1,2985083.295,23
