Algorithm,ncells,ngenes,batch,memory,elapsed_mean,elapsed_sd
mbkmeans,1000000,5000,75,38.9887816410628,7.776365151515152,0.02303250173914329
mbkmeans,1000000,5000,150,38.9504295062137,7.766574242424243,0.030454117002865905
mbkmeans,1000000,5000,300,38.945346238982694,7.7828484848484845,0.015818012683410144
mbkmeans,1000000,5000,500,38.9425971316115,7.795757575757576,0.035724915335905
mbkmeans,1000000,5000,1000,38.9907191563289,7.829257575757576,0.018340715731272713
mbkmeans,1000000,5000,1500,38.9452314776297,7.913640909090909,0.06634508202640896
mbkmeans,1000000,5000,3000,38.9703062076436,8.15704393939394,0.2616233253142485
mbkmeans,1000000,5000,5000,38.987942499214,8.447506060606061,0.20809724813610128
mbkmeans,1000000,5000,7500,39.0688747962719,8.757421212121212,0.22884035557214025
mbkmeans,1000000,5000,10000,38.9388217409722,9.180872727272726,0.2555769562591803
mbkmeans,1000000,5000,20000,38.9388012636772,11.010345000000001,0.9472941988635937
mbkmeans,1000000,5000,50000,38.935837945795,17.122461666666666,1.5389457900240398
mbkmeans,1000000,5000,100000,46.648209076237,32.115968333333335,6.901687594378505
mbkmeans,1000000,5000,200000,46.706044106057,63.92090833333334,13.381289767311065
mbkmeans (HDF5),1000000,5000,75,1.5577556134751,9.766069696969696,0.04314403706589646
mbkmeans (HDF5),1000000,5000,150,1.5577556134751,9.79469393939394,0.04239738413886138
mbkmeans (HDF5),1000000,5000,300,1.5579850751458901,9.861548484848484,0.05629220365129785
mbkmeans (HDF5),1000000,5000,500,1.55775555243995,9.83355,0.03310405732098539
mbkmeans (HDF5),1000000,5000,1000,1.5579848081170802,9.934536363636363,0.05098537035169028
mbkmeans (HDF5),1000000,5000,1500,1.55787031379292,9.750957575757576,0.15900461145717307
mbkmeans (HDF5),1000000,5000,3000,1.55804245582237,10.523022727272728,0.13948138152789163
mbkmeans (HDF5),1000000,5000,5000,1.4903933924571,10.697780303030303,0.24046922346600538
mbkmeans (HDF5),1000000,5000,7500,1.8011541968508,10.006125757575758,0.25757093654668267
mbkmeans (HDF5),1000000,5000,10000,2.45315262765247,10.024431818181819,0.6443077028207419
mbkmeans (HDF5),1000000,5000,20000,4.0518006286718,12.113053333333333,0.9440719291099238
mbkmeans (HDF5),1000000,5000,50000,8.861376948370529,19.42644,2.7031372677472287
mbkmeans (HDF5),1000000,5000,100000,16.9120295589692,33.37862666666666,6.657604560706555
mbkmeans (HDF5),1000000,5000,200000,27.4801322446672,63.23088833333333,12.47186156850507
