chunk_size,dim_1,dim_2,ncells,ngenes,batch,memory,elapsed_mean,elapsed_sd
per cell (best),5000,1,75000,5000,500,0.769364382245582,1.4638333333333333,0.033531464862163
per cell (best),5000,1,150000,5000,500,0.8950103406062285,1.4345783333333333,0.021951877854935915
per cell (best),5000,1,300000,5000,500,0.9622430837652002,2.90923,0.03842007882331999
per cell (best),5000,1,500000,5000,500,1.230757419932539,4.9417366666666664,0.017505363904589014
per cell (best),5000,1,750000,5000,500,1.3326299464256446,8.26525,0.29125516272645646
per cell (best),5000,1,1000000,5000,500,1.5210066346026074,9.840213333333333,0.3331763996132669
default,258,3872,75000,5000,500,0.970279481193002,1.8225333333333333,0.19010758958359333
default,182,5477,150000,5000,500,1.036616813572461,2.7092666666666667,0.4417233582064516
default,129,7745,300000,5000,500,1.1176969451107324,5.901668333333333,1.1833504159030417
default,100,10000,500000,5000,500,1.2780039880155274,9.865945,1.6815278722786602
default,81,12247,750000,5000,500,1.4494440163157325,15.730765,2.675317466179031
default,70,14142,1000000,5000,500,1.8435055459469532,19.86084,2.9493403204784627
per gene (worst),1,75000,75000,5000,500,1.0318118447204296,1.3596933333333332,0.1138983251375357
per gene (worst),1,150000,150000,5000,500,1.152215805521328,2.7417333333333334,0.35719070208268433
per gene (worst),1,300000,300000,5000,500,1.254832421501455,5.412373333333333,0.49382022327318703
per gene (worst),1,500000,500000,5000,500,1.5828893169804394,10.148773333333333,1.3119978916866146
per gene (worst),1,750000,750000,5000,500,2.4946825374793162,16.504955,1.3132680263902297
per gene (worst),1,1000000,1000000,5000,500,3.7318117163140916,25.20225333333333,2.929833331529834
single chunk,5000,75000,75000,5000,500,6.391767078882442,1.9676,NA
