"observations","genes","abs.batch.size","memory","geometry","dimension_1","dimension_2","choice","label"
75000,5000,500,787.829127419476,best,5000,1,full,best_hdf5
75000,5000,500,1056.57532899372,worst,1,75000,full,worst_hdf5
75000,5000,500,993.566188741634,default,258,3872,full,default_hdf5
150000,5000,500,916.490588780778,best,5000,1,full,best_hdf5
150000,5000,500,1179.86898485384,worst,1,150000,full,worst_hdf5
150000,5000,500,1061.4956170982,default,182,5477,full,default_hdf5
300000,5000,500,985.336917775565,best,5000,1,full,best_hdf5
300000,5000,500,1284.94839961749,worst,1,300000,full,worst_hdf5
300000,5000,500,1144.52167179339,default,129,7745,full,default_hdf5
500000,5000,500,1260.29559801092,best,5000,1,full,best_hdf5
500000,5000,500,1620.87866058797,worst,1,500000,full,worst_hdf5
500000,5000,500,1308.6760837279,default,100,10000,full,default_hdf5
750000,5000,500,1364.61306513986,best,5000,1,full,best_hdf5
750000,5000,500,2554.55491837882,worst,1,750000,full,worst_hdf5
750000,5000,500,1484.23067270731,default,81,12247,full,default_hdf5
1000000,5000,500,1557.51079383307,best,5000,1,full,best_hdf5
1000000,5000,500,3821.37519750563,worst,1,1000000,full,worst_hdf5
1000000,5000,500,1887.74967904968,default,70,14142,full,default_hdf5
75000,5000,500,6545.16948877562,singleChunk,5000,75000,full,singleChunk_hdf5
