observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label
75000,5000,0.001,75,2897.496593,default,258,3872,
75000,5000,0.002,150,2925.787326,default,258,3872,
75000,5000,0.006666667,500,3021.256603,default,258,3872,
75000,5000,0.01,750,2913.881671,default,258,3872,
75000,5000,0.01333333,1000,2957.752605,default,258,3872,
75000,5000,0.02,1500,2961.081913,default,258,3872,
75000,5000,0.04,3000,2910.391551,default,258,3872,
75000,5000,0.06666667,5000,2937.575901,default,258,3872,
75000,5000,0.1,7500,2915.086971,default,258,3872,
75000,5000,0.13333333,10000,3069.823109,default,258,3872,
500000,5000,0.00015,75,17265.31381,default,100,10000,
500000,5000,3.00E-04,150,17265.31381,default,100,10000,
500000,5000,6.00E-04,300,17265.31381,default,100,10000,
500000,5000,0.001,500,17265.31381,default,100,10000,
500000,5000,0.002,1000,17265.31381,default,100,10000,
500000,5000,0.003,1500,17265.31381,default,100,10000,
500000,5000,0.006,3000,17265.31381,default,100,10000,
500000,5000,0.01,5000,17265.31381,default,100,10000,
500000,5000,0.015,7500,17265.31381,default,100,10000,
500000,5000,0.02,10000,17265.31381,default,100,10000,
75000,5000,0.001,75,2897.509937,default,258,3872,FALSE
75000,5000,0.001,75,780.4008666,default,258,3872,TRUE
75000,5000,0.002,150,2897.509937,default,258,3872,FALSE
500000,5000,0.00015,75,17265.32715,default,100,10000,FALSE
75000,5000,0.002,150,780.4008666,default,258,3872,TRUE
75000,5000,0.006666667,500,2897.509937,default,258,3872,FALSE
75000,5000,0.006666667,500,780.4008666,default,258,3872,TRUE
75000,5000,0.01,750,2981.573543,default,258,3872,FALSE
75000,5000,0.01,750,780.4008666,default,258,3872,TRUE
75000,5000,0.01333333,1000,2957.765949,default,258,3872,FALSE
75000,5000,0.01333333,1000,780.4008666,default,258,3872,TRUE
75000,5000,0.02,1500,2961.095257,default,258,3872,FALSE
500000,5000,0.00015,75,1763.865416,default,100,10000,TRUE
75000,5000,0.02,1500,780.4008666,default,258,3872,TRUE
75000,5000,0.04,3000,2910.404895,default,258,3872,FALSE
75000,5000,0.04,3000,780.4008666,default,258,3872,TRUE
500000,5000,3.00E-04,150,17265.32715,default,100,10000,FALSE
75000,5000,0.06666667,5000,2937.589244,default,258,3872,FALSE
75000,5000,0.06666667,5000,780.4008666,default,258,3872,TRUE
75000,5000,0.1,7500,2897.509937,default,258,3872,FALSE
75000,5000,0.1,7500,780.4005996,default,258,3872,TRUE
75000,5000,0.13333333,10000,3069.836453,default,258,3872,FALSE
75000,5000,0.13333333,10000,780.4008666,default,258,3872,TRUE
500000,5000,3.00E-04,150,1763.865416,default,100,10000,TRUE
500000,5000,6.00E-04,300,17265.32715,default,100,10000,FALSE
500000,5000,6.00E-04,300,1763.865416,default,100,10000,TRUE
500000,5000,0.001,500,17265.32715,default,100,10000,FALSE
500000,5000,0.001,500,1763.865416,default,100,10000,TRUE
500000,5000,0.002,1000,17265.32715,default,100,10000,FALSE
500000,5000,0.002,1000,1763.865416,default,100,10000,TRUE
500000,5000,0.003,1500,17265.32715,default,100,10000,FALSE
500000,5000,0.003,1500,1763.865416,default,100,10000,TRUE
500000,5000,0.006,3000,17265.32715,default,100,10000,FALSE
500000,5000,0.006,3000,1763.865416,default,100,10000,TRUE
500000,5000,0.01,5000,17265.32715,default,100,10000,FALSE
500000,5000,0.01,5000,1763.865416,default,100,10000,TRUE
500000,5000,0.015,7500,17265.32715,default,100,10000,FALSE
500000,5000,0.015,7500,1763.865416,default,100,10000,TRUE
500000,5000,0.02,10000,17265.32715,default,100,10000,FALSE
500000,5000,0.02,10000,1763.865416,default,100,10000,TRUE
