observations,genes,abs.batch.size,memory,geometry,dimension_1,dimension_2,choice,label
75000,5000,500,787.5169936,best,5000,1,full,best_hdf5
75000,5000,500,993.2468452,default,258,3872,full,default_hdf5
75000,5000,500,4816.626163,singleChunk,5000,75000,full,singleChunk_hdf5
75000,5000,500,1010.283627,worst,1,75000,full,worst_hdf5
150000,5000,500,916.092754,best,5000,1,full,best_hdf5
500000,5000,500,1313.233892,default,100,10000,full,default_hdf5
500000,5000,500,1649.450377,worst,1,500000,full,worst_hdf5
300000,5000,500,984.8420829,best,5000,1,full,best_hdf5
150000,5000,500,1060.929348,default,182,5477,full,default_hdf5
150000,5000,500,1179.277981,worst,1,150000,full,worst_hdf5
300000,5000,500,1143.96307,default,129,7745,full,default_hdf5
300000,5000,500,1284.153562,worst,1,300000,full,worst_hdf5
500000,5000,500,1260.935903,best,5000,1,full,best_hdf5
1000000,5000,500,1556.822432,best,5000,1,full,best_hdf5
750000,5000,500,1483.681028,default,81,12247,full,default_hdf5
1000000,5000,500,1887.139144,default,70,14142,full,default_hdf5
750000,5000,500,1368.488935,best,5000,1,full,best_hdf5
750000,5000,500,2563.20167,worst,1,750000,full,worst_hdf5
