observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label,label2
75000,5000,0.001,75,4518.649042,best,5000,1,Whole,mbkmeans
500000,5000,0.00015,75,28175.47077,best,5000,1,Whole,mbkmeans
75000,5000,0.001,75,3830.95626,best,5000,1,Centroid,mbkmeans
500000,5000,0.00015,75,22280.20921,best,5000,1,Centroid,mbkmeans
75000,5000,0.001,75,3257.845181,best,5000,1,Labels,mbkmeans
500000,5000,0.00015,75,19648.57193,best,5000,1,Labels,mbkmeans
75000,5000,0.002,150,4620.951578,best,5000,1,Whole,mbkmeans
500000,5000,3.00E-04,150,28261.10339,best,5000,1,Whole,mbkmeans
75000,5000,0.002,150,4109.384835,best,5000,1,Centroid,mbkmeans
500000,5000,3.00E-04,150,22403.91599,best,5000,1,Centroid,mbkmeans
75000,5000,0.002,150,3257.845181,best,5000,1,Labels,mbkmeans
500000,5000,3.00E-04,150,19648.57193,best,5000,1,Labels,mbkmeans
500000,5000,6.00E-04,300,28165.71717,best,5000,1,Whole,mbkmeans
500000,5000,6.00E-04,300,22684.52856,best,5000,1,Centroid,mbkmeans
500000,5000,6.00E-04,300,19648.57193,best,5000,1,Labels,mbkmeans
75000,5000,0.006666667,500,4606.992045,best,5000,1,Whole,mbkmeans
500000,5000,0.001,500,28184.91111,best,5000,1,Whole,mbkmeans
75000,5000,0.006666667,500,4600.115771,best,5000,1,Centroid,mbkmeans
500000,5000,0.001,500,23641.21081,best,5000,1,Centroid,mbkmeans
75000,5000,0.006666667,500,3257.845181,best,5000,1,Labels,mbkmeans
500000,5000,0.001,500,19648.57193,best,5000,1,Labels,mbkmeans
75000,5000,0.01,750,4593.61513,best,5000,1,Whole,mbkmeans
75000,5000,0.01,750,4593.615198,best,5000,1,Centroid,mbkmeans
75000,5000,0.01,750,3257.845181,best,5000,1,Labels,mbkmeans
75000,5000,0.01333333,1000,4592.03969,best,5000,1,Whole,mbkmeans
75000,5000,0.01333333,1000,4574.175844,best,5000,1,Centroid,mbkmeans
75000,5000,0.01333333,1000,3257.845181,best,5000,1,Labels,mbkmeans
500000,5000,0.002,1000,28203.67233,best,5000,1,Whole,mbkmeans
500000,5000,0.002,1000,24273.31194,best,5000,1,Centroid,mbkmeans
500000,5000,0.002,1000,19648.57193,best,5000,1,Labels,mbkmeans
75000,5000,0.02,1500,4575.711748,best,5000,1,Whole,mbkmeans
500000,5000,0.003,1500,28165.77455,best,5000,1,Whole,mbkmeans
75000,5000,0.02,1500,4575.78052,best,5000,1,Centroid,mbkmeans
500000,5000,0.003,1500,25342.31218,best,5000,1,Centroid,mbkmeans
75000,5000,0.02,1500,3257.845181,best,5000,1,Labels,mbkmeans
500000,5000,0.003,1500,19648.57193,best,5000,1,Labels,mbkmeans
75000,5000,0.04,3000,4570.65645,best,5000,1,Whole,mbkmeans
500000,5000,0.006,3000,28168.69147,best,5000,1,Whole,mbkmeans
75000,5000,0.04,3000,4539.882235,best,5000,1,Centroid,mbkmeans
500000,5000,0.006,3000,28145.33459,best,5000,1,Centroid,mbkmeans
75000,5000,0.04,3000,3257.845181,best,5000,1,Labels,mbkmeans
500000,5000,0.006,3000,19648.57193,best,5000,1,Labels,mbkmeans
75000,5000,0.06666667,5000,4574.608164,best,5000,1,Whole,mbkmeans
500000,5000,0.01,5000,28184.18527,best,5000,1,Whole,mbkmeans
75000,5000,0.06666667,5000,4574.608233,best,5000,1,Centroid,mbkmeans
500000,5000,0.01,5000,28109.31056,best,5000,1,Centroid,mbkmeans
75000,5000,0.06666667,5000,3257.845181,best,5000,1,Labels,mbkmeans
500000,5000,0.01,5000,19648.57193,best,5000,1,Labels,mbkmeans
75000,5000,0.1,7500,4619.210825,best,5000,1,Whole,mbkmeans
500000,5000,0.015,7500,28172.20123,best,5000,1,Whole,mbkmeans
75000,5000,0.1,7500,4619.210894,best,5000,1,Centroid,mbkmeans
500000,5000,0.015,7500,28091.29854,best,5000,1,Centroid,mbkmeans
75000,5000,0.1,7500,3257.845181,best,5000,1,Labels,mbkmeans
500000,5000,0.015,7500,19648.57193,best,5000,1,Labels,mbkmeans
75000,5000,0.13333333,10000,4570.755877,best,5000,1,Whole,mbkmeans
75000,5000,0.13333333,10000,4570.755945,best,5000,1,Centroid,mbkmeans
75000,5000,0.13333333,10000,3257.845181,best,5000,1,Labels,mbkmeans
500000,5000,0.02,10000,28512.69035,best,5000,1,Whole,mbkmeans
500000,5000,0.02,10000,28512.69042,best,5000,1,Centroid,mbkmeans
500000,5000,0.02,10000,19648.57193,best,5000,1,Labels,mbkmeans
75000,5000,0.001,75,2924.985454,best,5000,1,Whole,Best-HDF5
500000,5000,0.00015,75,17265.37876,best,5000,1,Whole,Best-HDF5
75000,5000,0.001,75,2897.561611,best,5000,1,Centroid,Best-HDF5
500000,5000,0.00015,75,17265.37883,best,5000,1,Centroid,Best-HDF5
75000,5000,0.001,75,780.4523803,best,5000,1,Labels,Best-HDF5
500000,5000,0.00015,75,1866.513114,best,5000,1,Labels,Best-HDF5
75000,5000,0.002,150,2905.451358,best,5000,1,Whole,Best-HDF5
500000,5000,3.00E-04,150,17265.37876,best,5000,1,Whole,Best-HDF5
75000,5000,0.002,150,2897.561611,best,5000,1,Centroid,Best-HDF5
500000,5000,3.00E-04,150,17265.37883,best,5000,1,Centroid,Best-HDF5
75000,5000,0.002,150,780.4523803,best,5000,1,Labels,Best-HDF5
500000,5000,3.00E-04,150,1866.513114,best,5000,1,Labels,Best-HDF5
500000,5000,6.00E-04,300,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,6.00E-04,300,17265.37883,best,5000,1,Centroid,Best-HDF5
500000,5000,6.00E-04,300,1866.513114,best,5000,1,Labels,Best-HDF5
