observations,genes,batch size,abs batch size,time1,time2,time3,geometry,dimension_1,dimension_2,choice,label2
75000,5000,0.001,75,214.271,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.001,75,1.839,50.83,582.196,best,5000,1,two steps,Best-HDF5
75000,5000,0.002,150,163.686,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.002,150,1.233,46.58,687.289,best,5000,1,two steps,Best-HDF5
75000,5000,0.006666667,500,152.794,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.006666667,500,1.163,39.64,573.985,best,5000,1,two steps,Best-HDF5
75000,5000,0.01,750,203.564,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.01,750,1.237,91.328,572.34,best,5000,1,two steps,Best-HDF5
75000,5000,0.01333333,1000,258.777,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.01333333,1000,1.225,73.368,644.929,best,5000,1,two steps,Best-HDF5
75000,5000,0.02,1500,233.487,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.02,1500,2.355,65.11,512.672,best,5000,1,two steps,Best-HDF5
75000,5000,0.04,3000,238.238,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.06666667,5000,363.655,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.06666667,5000,1.378,231.581,570.787,best,5000,1,two steps,Best-HDF5
75000,5000,0.1,7500,302.683,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.13333333,10000,341.615,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.00015,75,1489.621,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.00015,75,10.442,486.601,10001.776,best,5000,1,two steps,Best-HDF5
500000,5000,3.00E-04,150,1322.779,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,3.00E-04,150,8.381,460.962,9047.718,best,5000,1,two steps,Best-HDF5
500000,5000,6.00E-04,300,1359.841,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,6.00E-04,300,8.295,454.159,9058.138,best,5000,1,two steps,Best-HDF5
500000,5000,0.001,500,1254.247,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.001,500,8.513,377.156,7543.493,best,5000,1,two steps,Best-HDF5
500000,5000,0.002,1000,1301.928,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.002,1000,9.014,476.849,8666.259,best,5000,1,two steps,Best-HDF5
500000,5000,0.003,1500,946.86,NA,NA,best,5000,1,full,Best-HDF5
