observations,genes,batch size,abs batch size,time1,time2,time3,geometry,dimension_1,dimension_2,choice,label2
75000,5000,0.001,75,214.271,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.002,150,163.686,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.006666667,500,152.794,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.01,750,203.564,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.01333333,1000,258.777,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.02,1500,233.487,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.04,3000,238.238,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.06666667,5000,363.655,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.1,7500,302.683,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.13333333,10000,341.615,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.00015,75,1489.621,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,3.00E-04,150,1322.779,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,6.00E-04,300,1359.841,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.001,500,1254.247,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.002,1000,1301.928,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.003,1500,946.86,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.006,3000,1153.38,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.01,5000,1308.181,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.015,7500,1495.601,NA,NA,best,5000,1,full,Best-HDF5
500000,5000,0.02,10000,1940.56,NA,NA,best,5000,1,full,Best-HDF5
75000,5000,0.002,150,128.718,NA,NA,best,5000,1,full,mbkmeans
75000,5000,0.006666667,500,153.449,NA,NA,best,5000,1,full,mbkmeans
75000,5000,0.01,750,136.395,NA,NA,best,5000,1,full,mbkmeans
75000,5000,0.01333333,1000,143.806,NA,NA,best,5000,1,full,mbkmeans
