observations,genes,batch size,abs batch size,time1,time2,time3,geometry,dimension_1,dimension_2,choice,label2
75000,5000,0.001,75,80.31,NA,NA,best,5000,1,full,Best-HDF5-OLD
75000,5000,0.001,75,1.142,39.25,605.437,best,5000,1,two steps,Best-HDF5-OLD
75000,5000,0.002,150,81.297,NA,NA,best,5000,1,full,Best-HDF5-OLD
75000,5000,0.002,150,1.233,41.125,687.465,best,5000,1,two steps,Best-HDF5-OLD
75000,5000,0.006666667,500,91.331,NA,NA,best,5000,1,full,Best-HDF5-OLD
75000,5000,0.006666667,500,1.295,57.276,703.021,best,5000,1,two steps,Best-HDF5-OLD
75000,5000,0.01,750,94.94,NA,NA,best,5000,1,full,Best-HDF5-OLD
75000,5000,0.01,750,1.732,51.134,620.012,best,5000,1,two steps,Best-HDF5-OLD
75000,5000,0.01333333,1000,118.099,NA,NA,best,5000,1,full,Best-HDF5-OLD
75000,5000,0.01333333,1000,1.503,72.847,599.77,best,5000,1,two steps,Best-HDF5-OLD
75000,5000,0.02,1500,138.181,NA,NA,best,5000,1,full,Best-HDF5-OLD
75000,5000,0.02,1500,1.19,63.633,522.749,best,5000,1,two steps,Best-HDF5-OLD
75000,5000,0.04,3000,196.781,NA,NA,best,5000,1,full,Best-HDF5-OLD
75000,5000,0.04,3000,1.513,210.114,,best,5000,1,two steps,Best-HDF5-OLD
75000,5000,0.06666667,5000,139.431,NA,NA,best,5000,1,full,Best-HDF5-OLD
75000,5000,0.1,7500,415.327,NA,NA,best,5000,1,full,Best-HDF5-OLD
75000,5000,0.1,7500,1.809,255.748,,best,5000,1,two steps,Best-HDF5-OLD
75000,5000,0.13333333,10000,450,NA,NA,best,5000,1,full,Best-HDF5-OLD
75000,5000,0.001,75,228.873,NA,NA,worst,1,75000,full,Worst-HDF5-OLD
75000,5000,0.001,75,1.587,91.67,380.468,worst,1,75000,two steps,Worst-HDF5-OLD
75000,5000,0.01,750,263.392,NA,NA,worst,1,75000,full,Worst-HDF5-OLD
75000,5000,0.01,750,1.479,138.868,416.649,worst,1,75000,two steps,Worst-HDF5-OLD
75000,5000,0.13333333,10000,609.138,NA,NA,worst,1,75000,full,Worst-HDF5-OLD
75000,5000,0.13333333,10000,0.982,468.353,369.704,worst,1,75000,two steps,Worst-HDF5-OLD
75000,5000,0.04,3000,415.269,NA,NA,worst,1,75000,full,Worst-HDF5-OLD
75000,5000,0.04,3000,1.237,250.193,418.411,worst,1,75000,two steps,Worst-HDF5-OLD
75000,5000,0.002,150,229.177,NA,NA,worst,1,75000,full,Worst-HDF5-OLD
75000,5000,0.002,150,1.416,135.121,455.268,worst,1,75000,two steps,Worst-HDF5-OLD
75000,5000,0.006666667,500,304.483,NA,NA,worst,1,75000,full,Worst-HDF5-OLD
75000,5000,0.006666667,500,1.587,274.502,454.88,worst,1,75000,two steps,Worst-HDF5-OLD
75000,5000,0.01333333,1000,337.747,NA,NA,worst,1,75000,full,Worst-HDF5-OLD
75000,5000,0.01333333,1000,1.39,184.997,593.097,worst,1,75000,two steps,Worst-HDF5-OLD
75000,5000,0.02,1500,312.67,NA,NA,worst,1,75000,full,Worst-HDF5-OLD
75000,5000,0.02,1500,1.957,283.363,498.503,worst,1,75000,two steps,Worst-HDF5-OLD
75000,5000,0.06666667,5000,494.203,NA,NA,worst,1,75000,full,Worst-HDF5-OLD
75000,5000,0.06666667,5000,1.234,326.281,433.962,worst,1,75000,two steps,Worst-HDF5-OLD
75000,5000,0.1,7500,537.478,NA,NA,worst,1,75000,full,Worst-HDF5-OLD
75000,5000,0.1,7500,1.552,331.624,449.334,worst,1,75000,two steps,Worst-HDF5-OLD
500000,5000,0.00015,75,582.87,NA,NA,best,5000,1,full,Best-HDF5-OLD
500000,5000,0.00015,75,6.172,293.068,7188.395,best,5000,1,two steps,Best-HDF5-OLD
500000,5000,0.001,500,576.423,NA,NA,best,5000,1,full,Best-HDF5-OLD
500000,5000,0.001,500,6.406,306.183,6527.312,best,5000,1,two steps,Best-HDF5-OLD
500000,5000,0.006,3000,604.265,NA,NA,best,5000,1,full,Best-HDF5-OLD
500000,5000,0.006,3000,8.61,403.379,7546.283,best,5000,1,two steps,Best-HDF5-OLD
500000,5000,0.02,10000,1048.3,NA,NA,best,5000,1,full,Best-HDF5-OLD
500000,5000,0.02,10000,6.183,596.883,7357.257,best,5000,1,two steps,Best-HDF5-OLD
500000,5000,3.00E-04,150,711.923,NA,NA,best,5000,1,full,Best-HDF5-OLD
500000,5000,3.00E-04,150,7.473,389.437,7528.834,best,5000,1,two steps,Best-HDF5-OLD
500000,5000,6.00E-04,300,657.659,NA,NA,best,5000,1,full,Best-HDF5-OLD
500000,5000,6.00E-04,300,6.531,379.05,7957.713,best,5000,1,two steps,Best-HDF5-OLD
500000,5000,0.002,1000,660.026,NA,NA,best,5000,1,full,Best-HDF5-OLD
500000,5000,0.002,1000,6.747,363.161,8265.205,best,5000,1,two steps,Best-HDF5-OLD
500000,5000,0.003,1500,950.013,NA,NA,best,5000,1,full,Best-HDF5-OLD
500000,5000,0.003,1500,7.452,574.82,8960.994,best,5000,1,two steps,Best-HDF5-OLD
500000,5000,0.01,5000,838.957,NA,NA,best,5000,1,full,Best-HDF5-OLD
500000,5000,0.01,5000,7.534,597.321,8670.984,best,5000,1,two steps,Best-HDF5-OLD
500000,5000,0.015,7500,912.665,NA,NA,best,5000,1,full,Best-HDF5-OLD
500000,5000,0.015,7500,6.601,691.84,7601.094,best,5000,1,two steps,Best-HDF5-OLD
500000,5000,0.00015,75,3855.511,NA,NA,worst,1,500000,full,Worst-HDF5-OLD
500000,5000,0.00015,75,6.157,775.114,1773.475,worst,1,500000,two steps,Worst-HDF5-OLD
500000,5000,0.001,500,4284.122,NA,NA,worst,1,500000,full,Worst-HDF5-OLD
500000,5000,0.001,500,5.748,821.533,3092.849,worst,1,500000,two steps,Worst-HDF5-OLD
500000,5000,3.00E-04,150,4817.522,NA,NA,worst,1,500000,full,Worst-HDF5-OLD
500000,5000,3.00E-04,150,8.635,1131.999,2562.878,worst,1,500000,two steps,Worst-HDF5-OLD
500000,5000,6.00E-04,300,4495.938,NA,NA,worst,1,500000,full,Worst-HDF5-OLD
500000,5000,6.00E-04,300,6.655,1400.596,2758.065,worst,1,500000,two steps,Worst-HDF5-OLD
500000,5000,0.002,1000,5011.547,NA,NA,worst,1,500000,full,Worst-HDF5-OLD
500000,5000,0.002,1000,6.895,1041.95,3074.767,worst,1,500000,two steps,Worst-HDF5-OLD
500000,5000,0.003,1500,4600.468,NA,NA,worst,1,500000,full,Worst-HDF5-OLD
500000,5000,0.003,1500,9.676,1296.511,3040.012,worst,1,500000,two steps,Worst-HDF5-OLD
500000,5000,0.006,3000,4830.202,NA,NA,worst,1,500000,full,Worst-HDF5-OLD
500000,5000,0.006,3000,6.499,1291.676,3251.259,worst,1,500000,two steps,Worst-HDF5-OLD
500000,5000,0.01,5000,5480.305,NA,NA,worst,1,500000,full,Worst-HDF5-OLD
500000,5000,0.01,5000,9.252,1159.794,3312.714,worst,1,500000,two steps,Worst-HDF5-OLD
500000,5000,0.015,7500,5298.809,NA,NA,worst,1,500000,full,Worst-HDF5-OLD
500000,5000,0.02,10000,5089.552,NA,NA,worst,1,500000,full,Worst-HDF5-OLD
75000,5000,0.001,75,82.847,NA,NA,best,5000,1,full,mbkmeans-OLD
75000,5000,0.001,75,11.332,41.041,284.756,best,5000,1,two steps,mbkmeans-OLD
75000,5000,0.002,150,90.4,NA,NA,best,5000,1,full,mbkmeans-OLD
75000,5000,0.002,150,14.191,56.578,181.923,best,5000,1,two steps,mbkmeans-OLD
75000,5000,0.006666667,500,92.768,NA,NA,best,5000,1,full,mbkmeans-OLD
75000,5000,0.006666667,500,11.558,44.206,105.602,best,5000,1,two steps,mbkmeans-OLD
75000,5000,0.01,750,94.841,NA,NA,best,5000,1,full,mbkmeans-OLD
75000,5000,0.01,750,11.119,46.128,189.572,best,5000,1,two steps,mbkmeans-OLD
75000,5000,0.01333333,1000,86.563,NA,NA,best,5000,1,full,mbkmeans-OLD
75000,5000,0.01333333,1000,12.793,59.271,95.379,best,5000,1,two steps,mbkmeans-OLD
75000,5000,0.02,1500,116.027,NA,NA,best,5000,1,full,mbkmeans-OLD
75000,5000,0.02,1500,12.703,82.393,570.628,best,5000,1,two steps,mbkmeans-OLD
75000,5000,0.04,3000,160.382,NA,NA,best,5000,1,full,mbkmeans-OLD
75000,5000,0.04,3000,12.397,124.99,372.17,best,5000,1,two steps,mbkmeans-OLD
75000,5000,0.06666667,5000,182,NA,NA,best,5000,1,full,mbkmeans-OLD
75000,5000,0.06666667,5000,11.873,187.77,578.731,best,5000,1,two steps,mbkmeans-OLD
75000,5000,0.1,7500,181.648,NA,NA,best,5000,1,full,mbkmeans-OLD
75000,5000,0.1,7500,11.531,205.351,568.375,best,5000,1,two steps,mbkmeans-OLD
75000,5000,0.13333333,10000,222.159,NA,NA,best,5000,1,full,mbkmeans-OLD
75000,5000,0.13333333,10000,14.667,239.701,189.435,best,5000,1,two steps,mbkmeans-OLD
500000,5000,0.00015,75,571.035,NA,NA,best,5000,1,full,mbkmeans-OLD
500000,5000,0.00015,75,67.817,299.225,1390.772,best,5000,1,two steps,mbkmeans-OLD
500000,5000,3.00E-04,150,495.98,NA,NA,best,5000,1,full,mbkmeans-OLD
500000,5000,3.00E-04,150,79.554,361.031,2045.095,best,5000,1,two steps,mbkmeans-OLD
500000,5000,6.00E-04,300,541.183,NA,NA,best,5000,1,full,mbkmeans-OLD
500000,5000,6.00E-04,300,78.884,390.886,2293.776,best,5000,1,two steps,mbkmeans-OLD
500000,5000,0.001,500,490.875,NA,NA,best,5000,1,full,mbkmeans-OLD
500000,5000,0.001,500,64.224,298.801,1746.618,best,5000,1,two steps,mbkmeans-OLD
500000,5000,0.002,1000,560.183,NA,NA,best,5000,1,full,mbkmeans-OLD
500000,5000,0.002,1000,66.882,369.176,2312.152,best,5000,1,two steps,mbkmeans-OLD
500000,5000,0.003,1500,818.714,NA,NA,best,5000,1,full,mbkmeans-OLD
500000,5000,0.003,1500,89.83,518.627,2001.258,best,5000,1,two steps,mbkmeans-OLD
500000,5000,0.006,3000,598.383,NA,NA,best,5000,1,full,mbkmeans-OLD
500000,5000,0.006,3000,78.157,476.359,2031.64,best,5000,1,two steps,mbkmeans-OLD
500000,5000,0.01,5000,737.82,NA,NA,best,5000,1,full,mbkmeans-OLD
