observations,genes,batch size,abs batch size,time,geometry,dimension_1,dimension_2,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.001,75,98.159,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,92.219,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,108.281,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01,750,103.439,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,1000,125.745,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,161.76,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.04,3000,173.015,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.06666667,5000,250.877,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.1,7500,382.727,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.13333333,10000,274.312,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.00015,75,584.188,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,3.00E-04,150,512.847,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,6.00E-04,300,502.95,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.001,500,518.931,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.002,1000,541.161,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.003,1500,559.063,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.006,3000,557.957,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.01,5000,599.783,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.015,7500,790.998,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.02,10000,968.897,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.001,75,1.342,30.137,513.092,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,1.06,34.434,596.433,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,1.255,43.585,550.957,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01,750,1.144,52.821,473.971,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,1.172,48.085,613.617,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,1.225,69.287,509.597,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.00015,75,9.54,397.017,7317.388,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.001,75,1.628,33.83,465.088,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,1.069,38.442,434.783,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,1.176,53.65,452.955,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,3.00E-04,150,9.73,421.119,7340.937,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01,750,1.452,112.447,438.772,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,1.413,113.77,542.712,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,1.849,90.756,477.905,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.04,3000,1.688,104.431,480.183,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
500000,5000,6.00E-04,300,8.994,330.081,7313.723,best,5000,1,,,,,,,,,,,,,,,,,,,,,,,
