observations,genes,abs.batch.size,time1,time2,time3,geometry,dimension_1,dimension_2,choice,label
75000,5000,500,239.286,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,315.998,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,251.698,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,399.217,NA,NA,singleChunk,5000,75000,full,singleChunk_hdf5
500000,5000,500,1238.339,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,534.725,NA,NA,worst,1,150000,full,worst_hdf5
150000,5000,500,575.34,NA,NA,default,182,5477,full,default_hdf5
300000,5000,500,490.415,NA,NA,best,5000,1,full,best_hdf5
500000,5000,500,2142.069,NA,NA,worst,1,500000,full,worst_hdf5
300000,5000,500,895.494,NA,NA,default,129,7745,full,default_hdf5
300000,5000,500,949.116,NA,NA,worst,1,300000,full,worst_hdf5
500000,5000,500,1147.851,NA,NA,default,100,10000,full,default_hdf5
500000,5000,500,1805.396,NA,NA,default,100,10000,full,default_hdf5
500000,5000,500,1788.373,NA,NA,worst,1,500000,full,worst_hdf5
150000,5000,500,173.299,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,192.84,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,183.344,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,250.403,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,254.781,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,372.004,NA,NA,default,182,5477,full,default_hdf5
150000,5000,500,383.21,NA,NA,default,182,5477,full,default_hdf5
300000,5000,500,358.691,NA,NA,best,5000,1,full,best_hdf5
300000,5000,500,369.917,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,415.446,NA,NA,default,182,5477,full,default_hdf5
150000,5000,500,413.02,NA,NA,worst,1,150000,full,worst_hdf5
300000,5000,500,402.971,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,443.16,NA,NA,default,182,5477,full,default_hdf5
150000,5000,500,442.367,NA,NA,worst,1,150000,full,worst_hdf5
150000,5000,500,468.18,NA,NA,worst,1,150000,full,worst_hdf5
300000,5000,500,503.407,NA,NA,best,5000,1,full,best_hdf5
300000,5000,500,507.924,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,520.48,NA,NA,worst,1,150000,full,worst_hdf5
150000,5000,500,547.747,NA,NA,default,182,5477,full,default_hdf5
150000,5000,500,541.613,NA,NA,worst,1,150000,full,worst_hdf5
300000,5000,500,674.607,NA,NA,default,129,7745,full,default_hdf5
300000,5000,500,673.499,NA,NA,default,129,7745,full,default_hdf5
300000,5000,500,711.032,NA,NA,default,129,7745,full,default_hdf5
500000,5000,500,707.778,NA,NA,best,5000,1,full,best_hdf5
500000,5000,500,725.633,NA,NA,best,5000,1,full,best_hdf5
500000,5000,500,729.691,NA,NA,best,5000,1,full,best_hdf5
500000,5000,500,735.697,NA,NA,best,5000,1,full,best_hdf5
500000,5000,500,738.485,NA,NA,best,5000,1,full,best_hdf5
300000,5000,500,856.108,NA,NA,default,129,7745,full,default_hdf5
300000,5000,500,900.035,NA,NA,worst,1,300000,full,worst_hdf5
300000,5000,500,953.229,NA,NA,worst,1,300000,full,worst_hdf5
300000,5000,500,989.831,NA,NA,worst,1,300000,full,worst_hdf5
300000,5000,500,1039.527,NA,NA,default,129,7745,full,default_hdf5
300000,5000,500,1091.246,NA,NA,worst,1,300000,full,worst_hdf5
300000,5000,500,1239.831,NA,NA,worst,1,300000,full,worst_hdf5
500000,5000,500,1231.668,NA,NA,default,100,10000,full,default_hdf5
500000,5000,500,1340.7,NA,NA,default,100,10000,full,default_hdf5
500000,5000,500,1399.522,NA,NA,default,100,10000,full,default_hdf5
500000,5000,500,1596.062,NA,NA,worst,1,500000,full,worst_hdf5
500000,5000,500,1603.956,NA,NA,worst,1,500000,full,worst_hdf5
500000,5000,500,1486.4,NA,NA,default,100,10000,full,default_hdf5
500000,5000,500,1763.148,NA,NA,worst,1,500000,full,worst_hdf5
500000,5000,500,1889.054,NA,NA,worst,1,500000,full,worst_hdf5
500000,5000,500,1612.632,NA,NA,default,100,10000,full,default_hdf5
500000,5000,500,2000.988,NA,NA,worst,1,500000,full,worst_hdf5
750000,5000,500,974.37,NA,NA,best,5000,1,full,best_hdf5
750000,5000,500,1045.569,NA,NA,best,5000,1,full,best_hdf5
750000,5000,500,1291.601,NA,NA,best,5000,1,full,best_hdf5
1000000,5000,500,1158.366,NA,NA,best,5000,1,full,best_hdf5
1000000,5000,500,1602.001,NA,NA,best,5000,1,full,best_hdf5
750000,5000,500,1315.421,NA,NA,best,5000,1,full,best_hdf5
750000,5000,500,1331.774,NA,NA,best,5000,1,full,best_hdf5
1000000,5000,500,1338.492,NA,NA,best,5000,1,full,best_hdf5
1000000,5000,500,1581.196,NA,NA,best,5000,1,full,best_hdf5
1000000,5000,500,1607.672,NA,NA,best,5000,1,full,best_hdf5
750000,5000,500,1984.271,NA,NA,default,81,12247,full,default_hdf5
750000,5000,500,1774.19,NA,NA,default,81,12247,full,default_hdf5
750000,5000,500,1922.42,NA,NA,default,81,12247,full,default_hdf5
750000,5000,500,1924.706,NA,NA,default,81,12247,full,default_hdf5
1000000,5000,500,2488.706,NA,NA,default,70,14142,full,default_hdf5
750000,5000,500,2779.877,NA,NA,default,81,12247,full,default_hdf5
500000,5000,500,1073.149,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,231.912,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,219.195,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,240.766,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,261.268,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,257.918,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,270.545,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,238.31,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,159.525,NA,NA,singleChunk,5000,75000,full,singleChunk_hdf5
75000,5000,500,255.965,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,216.963,NA,NA,singleChunk,5000,75000,full,singleChunk_hdf5
75000,5000,500,258.984,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,271.512,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,283.2,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,330.423,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,263.046,NA,NA,singleChunk,5000,75000,full,singleChunk_hdf5
75000,5000,500,277.695,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,296.485,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,285.22,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,244.762,NA,NA,singleChunk,5000,75000,full,singleChunk_hdf5
75000,5000,500,344.87,NA,NA,singleChunk,5000,75000,full,singleChunk_hdf5
150000,5000,500,278.429,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,282.804,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,290.664,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,290.834,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,336.684,NA,NA,default,182,5477,full,default_hdf5
150000,5000,500,415.021,NA,NA,worst,1,150000,full,worst_hdf5
150000,5000,500,448.086,NA,NA,default,182,5477,full,default_hdf5
150000,5000,500,451.96,NA,NA,default,182,5477,full,default_hdf5
150000,5000,500,491.36,NA,NA,default,182,5477,full,default_hdf5
150000,5000,500,493.576,NA,NA,worst,1,150000,full,worst_hdf5
150000,5000,500,506.483,NA,NA,default,182,5477,full,default_hdf5
150000,5000,500,520.479,NA,NA,worst,1,150000,full,worst_hdf5
300000,5000,500,545.753,NA,NA,best,5000,1,full,best_hdf5
300000,5000,500,555.778,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,586.768,NA,NA,worst,1,150000,full,worst_hdf5
300000,5000,500,582.045,NA,NA,best,5000,1,full,best_hdf5
300000,5000,500,590.256,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,612.603,NA,NA,worst,1,150000,full,worst_hdf5
300000,5000,500,610.831,NA,NA,best,5000,1,full,best_hdf5
300000,5000,500,854.66,NA,NA,default,129,7745,full,default_hdf5
500000,5000,500,900.209,NA,NA,best,5000,1,full,best_hdf5
500000,5000,500,922.327,NA,NA,best,5000,1,full,best_hdf5
500000,5000,500,941.246,NA,NA,best,5000,1,full,best_hdf5
500000,5000,500,948.747,NA,NA,best,5000,1,full,best_hdf5
300000,5000,500,1012.542,NA,NA,worst,1,300000,full,worst_hdf5
300000,5000,500,1041.266,NA,NA,worst,1,300000,full,worst_hdf5
300000,5000,500,1077.455,NA,NA,default,129,7745,full,default_hdf5
300000,5000,500,1091.32,NA,NA,default,129,7745,full,default_hdf5
300000,5000,500,1101.877,NA,NA,default,129,7745,full,default_hdf5
300000,5000,500,1094.79,NA,NA,worst,1,300000,full,worst_hdf5
500000,5000,500,1080.343,NA,NA,best,5000,1,full,best_hdf5
300000,5000,500,1107.379,NA,NA,worst,1,300000,full,worst_hdf5
300000,5000,500,1154.821,NA,NA,default,129,7745,full,default_hdf5
300000,5000,500,1298.965,NA,NA,worst,1,300000,full,worst_hdf5
500000,5000,500,1383.329,NA,NA,default,100,10000,full,default_hdf5
750000,5000,500,1360.432,NA,NA,best,5000,1,full,best_hdf5
750000,5000,500,1374.649,NA,NA,best,5000,1,full,best_hdf5
750000,5000,500,1382.92,NA,NA,best,5000,1,full,best_hdf5
750000,5000,500,1399.121,NA,NA,best,5000,1,full,best_hdf5
750000,5000,500,1409.722,NA,NA,best,5000,1,full,best_hdf5
500000,5000,500,1440.285,NA,NA,default,100,10000,full,default_hdf5
500000,5000,500,1676.771,NA,NA,default,100,10000,full,default_hdf5
500000,5000,500,1710.352,NA,NA,worst,1,500000,full,worst_hdf5
500000,5000,500,1895.705,NA,NA,default,100,10000,full,default_hdf5
500000,5000,500,1992.942,NA,NA,worst,1,500000,full,worst_hdf5
500000,5000,500,2019.19,NA,NA,worst,1,500000,full,worst_hdf5
500000,5000,500,2318.931,NA,NA,default,100,10000,full,default_hdf5
750000,5000,500,2296.836,NA,NA,default,81,12247,full,default_hdf5
500000,5000,500,2338.243,NA,NA,worst,1,500000,full,worst_hdf5
750000,5000,500,2350.658,NA,NA,default,81,12247,full,default_hdf5
750000,5000,500,2618.33,NA,NA,default,81,12247,full,default_hdf5
500000,5000,500,2674.713,NA,NA,worst,1,500000,full,worst_hdf5
750000,5000,500,2658.351,NA,NA,default,81,12247,full,default_hdf5
1000000,5000,500,2822.886,NA,NA,default,70,14142,full,default_hdf5
1000000,5000,500,2906.961,NA,NA,default,70,14142,full,default_hdf5
1000000,5000,500,2998.994,NA,NA,default,70,14142,full,default_hdf5
1000000,5000,500,3006.946,NA,NA,default,70,14142,full,default_hdf5
750000,5000,500,2952.568,NA,NA,default,81,12247,full,default_hdf5
750000,5000,500,2976.966,NA,NA,worst,1,750000,full,worst_hdf5
1000000,5000,500,3150.686,NA,NA,default,70,14142,full,default_hdf5
750000,5000,500,3070.312,NA,NA,worst,1,750000,full,worst_hdf5
1000000,5000,500,3270.205,NA,NA,default,70,14142,full,default_hdf5
750000,5000,500,3146.255,NA,NA,worst,1,750000,full,worst_hdf5
750000,5000,500,3159.412,NA,NA,worst,1,750000,full,worst_hdf5
750000,5000,500,3156.967,NA,NA,worst,1,750000,full,worst_hdf5
750000,5000,500,3232.895,NA,NA,worst,1,750000,full,worst_hdf5
1000000,5000,500,3402.792,NA,NA,default,70,14142,full,default_hdf5
1000000,5000,500,3445.052,NA,NA,default,70,14142,full,default_hdf5
1000000,5000,500,3638.81,NA,NA,default,70,14142,full,default_hdf5
750000,5000,500,3599.919,NA,NA,worst,1,750000,full,worst_hdf5
750000,5000,500,3784.625,NA,NA,worst,1,750000,full,worst_hdf5
750000,5000,500,4038.914,NA,NA,worst,1,750000,full,worst_hdf5
750000,5000,500,4998.544,NA,NA,worst,1,750000,full,worst_hdf5
150000,5000,500,215.256,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,263.998,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,307.66,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,294.07,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,266.621,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,281.108,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,283.652,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,303.837,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,304.556,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,285.318,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,319.25,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,328.699,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,335.384,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,344.485,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,431.104,NA,NA,default,258,3872,full,default_hdf5
75000,5000,500,246.899,NA,NA,worst,1,75000,full,worst_hdf5
