observations,genes,batch_size,time,dimension,dimension_1,dimension_2
1000,1000,0.001,32.526,default,1000,1000
1000,1000,0.001,41.844,default,1000,1000
1000,1000,0.001,45.109,default,1000,1000
1000,1000,0.001,50.422,default,1000,1000
1000,1000,0.001,59.757,default,1000,1000
1000,1000,0.001,50.185,full,1,1000
1000,1000,0.001,55.232,full,1,1000
1000,1000,0.001,60.247,full,1,1000
1000,1000,0.001,69.862,full,1,1000
1000,1000,0.001,43.619,one,1000,1
1000,1000,0.001,45.589,one,1000,1
1000,1000,0.001,51.98,one,1000,1
1000,1000,0.001,53.995,one,1000,1
1000,1000,0.001,54.112,one,1000,1
1000,1000,0.005,34.086,default,1000,1000
1000,1000,0.005,44.544,default,1000,1000
1000,1000,0.005,45.207,default,1000,1000
1000,1000,0.005,59.812,default,1000,1000
1000,1000,0.005,78.652,default,1000,1000
1000,1000,0.005,44.369,full,1,1000
1000,1000,0.005,58.563,full,1,1000
1000,1000,0.005,61.182,full,1,1000
1000,1000,0.005,74.669,full,1,1000
1000,1000,0.005,47.367,one,1000,1
1000,1000,0.005,49.55,one,1000,1
1000,1000,0.005,55.911,one,1000,1
1000,1000,0.005,58.088,one,1000,1
1000,1000,0.005,62.016,one,1000,1
1000,1000,0.01,36.275,default,1000,1000
1000,1000,0.01,45.198,default,1000,1000
1000,1000,0.01,50.247,default,1000,1000
1000,1000,0.01,57.625,default,1000,1000
1000,1000,0.01,57.884,default,1000,1000
1000,1000,0.01,46.288,full,1,1000
1000,1000,0.01,48.517,full,1,1000
1000,1000,0.01,63.918,full,1,1000
1000,1000,0.01,77.312,full,1,1000
1000,1000,0.01,51.181,one,1000,1
1000,1000,0.01,53.449,one,1000,1
1000,1000,0.01,53.791,one,1000,1
1000,1000,0.01,57.895,one,1000,1
1000,1000,0.01,59.436,one,1000,1
1000,1000,0.05,43.468,default,1000,1000
1000,1000,0.05,48.426,default,1000,1000
1000,1000,0.05,52.369,default,1000,1000
1000,1000,0.05,62.358,default,1000,1000
1000,1000,0.05,71.374,default,1000,1000
1000,1000,0.05,50.519,full,1,1000
1000,1000,0.05,57.56,full,1,1000
1000,1000,0.05,71.931,full,1,1000
1000,1000,0.05,88.139,full,1,1000
1000,1000,0.05,40.845,one,1000,1
1000,1000,0.05,40.86,one,1000,1
1000,1000,0.05,54.825,one,1000,1
1000,1000,0.05,57.529,one,1000,1
1000,1000,0.05,69.206,one,1000,1
1000,1000,0.2,40.316,default,1000,1000
1000,1000,0.2,44.353,default,1000,1000
1000,1000,0.2,51.306,default,1000,1000
1000,1000,0.2,52.247,default,1000,1000
1000,1000,0.2,67.719,default,1000,1000
1000,1000,0.2,48.166,full,1,1000
1000,1000,0.2,51.907,full,1,1000
1000,1000,0.2,57.318,full,1,1000
1000,1000,0.2,68.526,full,1,1000
1000,1000,0.2,50.773,one,1000,1
1000,1000,0.2,51.716,one,1000,1
1000,1000,0.2,54.172,one,1000,1
1000,1000,0.2,59.805,one,1000,1
1000,1000,0.2,63.31,one,1000,1
5000,1000,0.001,284.536,default,2236,447
5000,1000,0.001,313.389,default,2236,447
5000,1000,0.001,325.261,default,2236,447
5000,1000,0.001,441.812,default,2236,447
5000,1000,0.001,538.212,default,2236,447
5000,1000,0.001,288.585,full,1,1000
5000,1000,0.001,347.895,full,1,1000
5000,1000,0.001,427.318,full,1,1000
5000,1000,0.001,465.658,full,1,1000
5000,1000,0.001,225.378,one,5000,1
5000,1000,0.001,288.978,one,5000,1
5000,1000,0.001,314.893,one,5000,1
5000,1000,0.001,375.826,one,5000,1
5000,1000,0.001,397.155,one,5000,1
5000,1000,0.005,297.964,default,2236,447
5000,1000,0.005,302.747,default,2236,447
5000,1000,0.005,341.065,default,2236,447
5000,1000,0.005,354.833,default,2236,447
5000,1000,0.005,505.629,default,2236,447
5000,1000,0.005,314.691,full,1,1000
5000,1000,0.005,320.635,full,1,1000
5000,1000,0.005,346.968,full,1,1000
5000,1000,0.005,410.415,full,1,1000
5000,1000,0.005,277.738,one,5000,1
5000,1000,0.005,283.115,one,5000,1
5000,1000,0.005,286.991,one,5000,1
5000,1000,0.005,317.431,one,5000,1
5000,1000,0.005,330.651,one,5000,1
5000,1000,0.01,262.351,default,2236,447
5000,1000,0.01,313.685,default,2236,447
5000,1000,0.01,335.758,default,2236,447
5000,1000,0.01,349.221,default,2236,447
5000,1000,0.01,576.31,default,2236,447
5000,1000,0.01,283.842,full,1,1000
5000,1000,0.01,301.547,full,1,1000
5000,1000,0.01,383.367,full,1,1000
5000,1000,0.01,402.024,full,1,1000
5000,1000,0.01,263.157,one,5000,1
5000,1000,0.01,289.26,one,5000,1
5000,1000,0.01,311.172,one,5000,1
5000,1000,0.01,316.544,one,5000,1
5000,1000,0.01,402.823,one,5000,1
5000,1000,0.05,295.472,default,2236,447
5000,1000,0.05,341.658,default,2236,447
5000,1000,0.05,346.61,default,2236,447
5000,1000,0.05,361.914,default,2236,447
5000,1000,0.05,377.462,default,2236,447
5000,1000,0.05,238.649,full,1,1000
5000,1000,0.05,370.16,full,1,1000
5000,1000,0.05,434.147,full,1,1000
5000,1000,0.05,473.419,full,1,1000
5000,1000,0.05,276.582,one,5000,1
5000,1000,0.05,290.402,one,5000,1
5000,1000,0.05,312.556,one,5000,1
5000,1000,0.05,342.887,one,5000,1
5000,1000,0.05,411.016,one,5000,1
5000,1000,0.2,204.9,default,2236,447
5000,1000,0.2,222.001,default,2236,447
5000,1000,0.2,280.493,default,2236,447
5000,1000,0.2,296.371,default,2236,447
5000,1000,0.2,456.035,default,2236,447
5000,1000,0.2,215.583,full,1,1000
5000,1000,0.2,260.546,full,1,1000
5000,1000,0.2,284.584,full,1,1000
5000,1000,0.2,339.592,full,1,1000
5000,1000,0.2,221.624,one,5000,1
5000,1000,0.2,227.19,one,5000,1
5000,1000,0.2,240.886,one,5000,1
5000,1000,0.2,257.805,one,5000,1
5000,1000,0.2,268.311,one,5000,1
10000,1000,0.001,424.004,default,3162,316
10000,1000,0.001,434.723,default,3162,316
10000,1000,0.001,541.014,default,3162,316
10000,1000,0.001,628.511,default,3162,316
10000,1000,0.001,889.827,default,3162,316
10000,1000,0.001,479.865,full,1,1000
10000,1000,0.001,581.688,full,1,1000
10000,1000,0.001,605.311,full,1,1000
10000,1000,0.001,676.105,full,1,1000
10000,1000,0.001,463.495,one,10000,1
10000,1000,0.001,487.621,one,10000,1
10000,1000,0.001,512.062,one,10000,1
10000,1000,0.001,513.559,one,10000,1
10000,1000,0.001,543.959,one,10000,1
10000,1000,0.005,489.451,default,3162,316
10000,1000,0.005,519.667,default,3162,316
10000,1000,0.005,588.145,default,3162,316
10000,1000,0.005,621.07,default,3162,316
10000,1000,0.005,808.624,default,3162,316
10000,1000,0.005,520.143,full,1,1000
10000,1000,0.005,553.037,full,1,1000
10000,1000,0.005,648.791,full,1,1000
10000,1000,0.005,799.97,full,1,1000
10000,1000,0.005,459.697,one,10000,1
10000,1000,0.005,460.387,one,10000,1
10000,1000,0.005,463.433,one,10000,1
10000,1000,0.005,531.256,one,10000,1
10000,1000,0.005,591.165,one,10000,1
10000,1000,0.01,408.398,default,3162,316
10000,1000,0.01,501.313,default,3162,316
10000,1000,0.01,507.152,default,3162,316
10000,1000,0.01,585.424,default,3162,316
10000,1000,0.01,855.234,default,3162,316
10000,1000,0.01,439.508,full,1,1000
10000,1000,0.01,592.563,full,1,1000
10000,1000,0.01,724.286,full,1,1000
10000,1000,0.01,773.643,full,1,1000
10000,1000,0.01,424.899,one,10000,1
10000,1000,0.01,463.942,one,10000,1
10000,1000,0.01,477.18,one,10000,1
10000,1000,0.01,491.227,one,10000,1
10000,1000,0.01,642.536,one,10000,1
10000,1000,0.05,409.857,default,3162,316
10000,1000,0.05,481.976,default,3162,316
10000,1000,0.05,512.855,default,3162,316
10000,1000,0.05,568.203,default,3162,316
10000,1000,0.05,875.384,default,3162,316
10000,1000,0.05,448.061,full,1,1000
10000,1000,0.05,689.428,full,1,1000
10000,1000,0.05,736.675,full,1,1000
10000,1000,0.05,815.004,full,1,1000
10000,1000,0.05,400.451,one,10000,1
