B,observations,genes,batch_size,k,initializer,method,elapsed_time
1,1000,1000,0.005,3,random,hdf5,28.8
1,1000,1000,0.01,3,random,hdf5,20.5
1,1000,1000,0.05,3,random,hdf5,23.9
1,1000,1000,0.1,3,random,hdf5,25.6
1,1000,1000,0.2,3,random,hdf5,27.3
1,1000,1000,0.5,3,random,hdf5,38
1,1000,1000,0.8,3,random,hdf5,51
1,1000,1000,1,3,random,hdf5,26.4
1,5000,1000,0.005,3,random,hdf5,21.9
1,5000,1000,0.01,3,random,hdf5,18.6
1,5000,1000,0.05,3,random,hdf5,30.1
1,5000,1000,0.1,3,random,hdf5,42.6
1,5000,1000,0.2,3,random,hdf5,67.5
1,5000,1000,0.5,3,random,hdf5,104.6
1,5000,1000,0.8,3,random,hdf5,382.3
1,5000,1000,1,3,random,hdf5,84.2
1,25000,1000,0.005,3,random,hdf5,32.5
1,25000,1000,0.01,3,random,hdf5,36.6
1,25000,1000,0.05,3,random,hdf5,68.3
1,25000,1000,0.1,3,random,hdf5,128.1
1,25000,1000,0.2,3,random,hdf5,233.6
1,25000,1000,0.5,3,random,hdf5,548.2
1,25000,1000,0.8,3,random,hdf5,847.3
1,25000,1000,1,3,random,hdf5,321.7
1,75000,1000,0.005,3,random,hdf5,74.5
1,75000,1000,0.01,3,random,hdf5,72.3
1,75000,1000,0.05,3,random,hdf5,402.7
1,75000,1000,0.1,3,random,hdf5,613.8
1,75000,1000,0.2,3,random,hdf5,586.4
1,75000,1000,0.5,3,random,hdf5,1653.9
1,75000,1000,0.8,3,random,hdf5,2556.2
1,75000,1000,1,3,random,hdf5,1445.4
1,100000,1000,0.005,3,random,hdf5,60.31
1,100000,1000,0.01,3,random,hdf5,62.61
1,100000,1000,0.05,3,random,hdf5,201.69
1,100000,1000,0.1,3,random,hdf5,396.53
1,100000,1000,0.2,3,random,hdf5,809.17
1,100000,1000,0.5,3,random,hdf5,1503.59
1,100000,1000,0.8,3,random,hdf5,3084
1,100000,1000,1,3,random,hdf5,3141.36
1,350000,1000,0.005,3,random,hdf5,164.06
1,350000,1000,0.01,3,random,hdf5,316.95
1,350000,1000,0.05,3,random,hdf5,537.23
1,350000,1000,0.1,3,random,hdf5,1254.62
1,350000,1000,0.2,3,random,hdf5,1984.51
1,350000,1000,0.5,3,random,hdf5,6417
1,175000,1000,0.005,3,random,hdf5,104.35
1,175000,1000,0.01,3,random,hdf5,115.12
1,175000,1000,0.05,3,random,hdf5,378.03
1,175000,1000,0.1,3,random,hdf5,690
1,175000,1000,0.2,3,random,hdf5,961.3
1,175000,1000,0.5,3,random,hdf5,2619.95
1,175000,1000,0.8,3,random,hdf5,4167
1,175000,1000,1,3,random,hdf5,7675
1,250000,1000,0.005,3,random,hdf5,117.2
1,250000,1000,0.01,3,random,hdf5,168.01
1,250000,1000,0.05,3,random,hdf5,478.99
1,250000,1000,0.1,3,random,hdf5,751.45
1,250000,1000,0.2,3,random,hdf5,2086.32
1,250000,1000,0.5,3,random,hdf5,5247
1,250000,1000,0.8,3,random,hdf5,5260
1,250000,1000,1,3,random,hdf5,2351.62
1,500000,1000,0.005,3,random,hdf5,221.26
1,500000,1000,0.01,3,random,hdf5,254.11
1,500000,1000,0.05,3,random,hdf5,854.62
1,500000,1000,0.1,3,random,hdf5,1501.83
1,500000,1000,0.2,3,random,hdf5,2749.93
1,500000,1000,0.5,3,random,hdf5,7888
