"","total.time","total.pct","mem.total","self.time","self.pct"
"""stats::kmeans""",51.8,97.81,559.4,0.02,0.04
""".Fortran""",50.14,94.68,308.1,50.14,94.68
"""do_one""",50.14,94.68,308.1,0,0
"""unique.matrix""",1.52,2.87,174.8,0,0
"""unique""",1.52,2.87,174.8,0,0
"""readRDS""",1.16,2.19,38.1,1.16,2.19
"""asplit""",1.02,1.93,129.1,0,0
"""aperm.default""",0.62,1.17,114.8,0.6,1.13
"""aperm""",0.62,1.17,114.8,0,0
"""array""",0.46,0.87,52.5,0.44,0.83
"""do.call""",0.44,0.83,38.2,0.44,0.83
"""scale.default""",0.12,0.23,38.4,0,0
"""scale""",0.12,0.23,38.4,0,0
"""sweep""",0.08,0.15,38.2,0.02,0.04
"""duplicated.default""",0.06,0.11,7.5,0.06,0.11
"""colMeans""",0.04,0.08,0.2,0.04,0.08
"""is.atomic""",0.02,0.04,8,0.02,0.04
"""sys.parent""",0.02,0.04,38.2,0.02,0.04
"""formals""",0.02,0.04,38.2,0,0
"""match.arg""",0.02,0.04,38.2,0,0
"""order""",0.02,0.04,38.2,0,0
"""sys.function""",0.02,0.04,38.2,0,0
