"","total.time","total.pct","mem.total","self.time","self.pct"
"""block_exec""",4.92,100,399.2,0,0
"""call_block""",4.92,100,399.2,0,0
"""evaluate_call""",4.92,100,399.2,0,0
"""evaluate::evaluate""",4.92,100,399.2,0,0
"""evaluate""",4.92,100,399.2,0,0
"""in_dir""",4.92,100,399.2,0,0
"""knitr::knit""",4.92,100,399.2,0,0
"""process_file""",4.92,100,399.2,0,0
"""process_group.block""",4.92,100,399.2,0,0
"""process_group""",4.92,100,399.2,0,0
"""rmarkdown::render""",4.92,100,399.2,0,0
"""withCallingHandlers""",4.92,100,399.2,0,0
"""eval""",4.9,99.59,399,0,0
"""handle""",4.9,99.59,399,0,0
"""timing_fn""",4.9,99.59,399,0,0
"""withVisible""",4.9,99.59,399,0,0
"""mbkmeans::mini_batch""",4.24,86.18,399,4.24,86.18
"""readRDS""",0.66,13.41,0,0.66,13.41
"""as.list""",0.02,0.41,0.2,0.02,0.41
"""handle_output""",0.02,0.41,0.2,0,0
"""is.empty""",0.02,0.41,0.2,0,0
"""lapply""",0.02,0.41,0.2,0,0
"""plot_calls""",0.02,0.41,0.2,0,0
"""plot_snapshot""",0.02,0.41,0.2,0,0
"""w$get_new""",0.02,0.41,0.2,0,0
