"","total.time","total.pct","mem.total","self.time","self.pct"
"""block_exec""",85.84,100,30255.6,0,0
"""call_block""",85.84,100,30255.6,0,0
"""evaluate_call""",85.84,100,30255.6,0,0
"""evaluate::evaluate""",85.84,100,30255.6,0,0
"""evaluate""",85.84,100,30255.6,0,0
"""in_dir""",85.84,100,30255.6,0,0
"""knitr::knit""",85.84,100,30255.6,0,0
"""process_file""",85.84,100,30255.6,0,0
"""process_group.block""",85.84,100,30255.6,0,0
"""process_group""",85.84,100,30255.6,0,0
"""rmarkdown::render""",85.84,100,30255.6,0,0
"""withCallingHandlers""",85.84,100,30255.6,0,0
"""eval""",85.82,99.98,30252.4,0,0
"""handle""",85.82,99.98,30252.4,0,0
"""timing_fn""",85.82,99.98,30252.4,0,0
"""withVisible""",85.82,99.98,30252.4,0,0
"""mbkmeans::mini_batch""",85.78,99.93,30249,4.32,5.03
"""<Anonymous>""",81.46,94.9,29449,0.02,0.02
"""tryCatchList""",81.46,94.9,29449.1,0.02,0.02
"""doTryCatch""",81.46,94.9,29449.1,0,0
"""tryCatch""",81.46,94.9,29449.1,0,0
"""tryCatchOne""",81.46,94.9,29449.1,0,0
"""evalq""",81.44,94.87,29449,0,0
"""standardGeneric""",80,93.2,29293.6,0.54,0.63
"""callNextMethod""",79.98,93.17,29296.3,0.2,0.23
"""extract_array""",79.62,92.75,29056.4,0.04,0.05
"""as.matrix""",79.62,92.75,29284.9,0.02,0.02
""".from_Array_to_matrix""",79.6,92.73,29279.9,0,0
"""as.matrix.Array""",79.6,92.73,29279.9,0,0
""".local""",79.5,92.61,29236.3,0,0
"""as.array""",79.5,92.61,29236.3,0,0
""".nextMethod""",79.38,92.47,29076,0,0
"""h5read2""",38.68,45.06,10111.2,0,0
"""h5mread""",38.66,45.04,10111.2,0,0
""".Call""",34.9,40.66,4799.2,34.9,40.66
"""aperm2""",34.32,39.98,13362.2,0.02,0.02
"""aperm.default""",33.76,39.33,13324,33.76,39.33
"""base::aperm""",33.76,39.33,13324,0,0
"""do.call""",8.32,9.69,10738.6,8.32,9.69
"""subset_by_Nindex""",6.16,7.18,5426.8,0,0
"""DelayedArray:::subset_by_Nindex""",3.72,4.33,5312,0,0
""".make_subscripts_from_Nindex""",1.56,1.82,0.2,0.04,0.05
"""stopifnot""",1.08,1.26,88.1,0.5,0.58
"""new""",0.9,1.05,99.6,0,0
"""initialize""",0.88,1.03,95,0.14,0.16
"""dims""",0.76,0.89,45.9,0,0
"""FUN""",0.74,0.86,24.3,0.02,0.02
"""which""",0.7,0.82,50.2,0.02,0.02
"""getClassDef""",0.66,0.77,20.4,0.1,0.12
"""vapply""",0.6,0.7,44.2,0.08,0.09
"""validObject""",0.6,0.7,68.5,0.06,0.07
"""dim""",0.58,0.68,47.2,0.12,0.14
"""rep.int""",0.58,0.68,2,0,0
"""expand_Nindex_RangeNSBS""",0.54,0.63,0.1,0,0
"""new2""",0.54,0.63,71.8,0,0
"""is.list""",0.5,0.58,1.8,0.5,0.58
"""[""",0.48,0.56,56.4,0,0
"""...length""",0.46,0.54,0,0.46,0.54
"""type""",0.46,0.54,23.3,0.06,0.07
"""anyStrings""",0.44,0.51,53.1,0,0
"""isTRUE""",0.42,0.49,53.1,0,0
"""rowGrid""",0.42,0.49,20.8,0,0
"""stash_DelayedSubset""",0.42,0.49,47,0,0
"""validityMethod""",0.4,0.47,53.1,0,0
"""methods:::loadMethod""",0.38,0.44,130.7,0.02,0.02
"""method""",0.36,0.42,51.4,0,0
"""extract_empty_array""",0.34,0.4,13.6,0,0
"""RegularArrayGrid""",0.34,0.4,22.4,0,0
"""is""",0.32,0.37,104.9,0.18,0.21
"""DelayedArray""",0.32,0.37,42.8,0.02,0.02
""".get_auto_nrow""",0.32,0.37,16.8,0,0
""".normarg_block.length""",0.32,0.37,16.8,0,0
"""getAutoBlockLength""",0.32,0.37,16.8,0,0
"""new_DelayedArray""",0.3,0.35,42.8,0,0
"""isSingleString""",0.28,0.33,14.8,0,0
"""lapply""",0.26,0.3,25.3,0.04,0.05
"""aperm""",0.24,0.28,42.8,0,0
"""colGrid""",0.24,0.28,18.4,0,0
"""new_DelayedSubset""",0.24,0.28,24.3,0,0
"""stash_DelayedAperm""",0.24,0.28,42.8,0,0
"""t""",0.24,0.28,42.8,0,0
"""normalizeNindex""",0.22,0.26,24.3,0,0
"""normalizeSingleBracketSubscript2""",0.22,0.26,24.3,0,0
"""normalizeSingleBracketSubscript""",0.18,0.21,16.4,0,0
"""NSBS""",0.18,0.21,16.4,0,0
""":::""",0.14,0.16,46.9,0.06,0.07
"""dimnames""",0.14,0.16,230,0.02,0.02
"""NativeNSBS""",0.14,0.16,12.3,0,0
"""set_dimnames""",0.14,0.16,230,0,0
"""anyDuplicated""",0.12,0.14,5.9,0.12,0.14
"""get""",0.12,0.14,43.3,0.04,0.05
"""as""",0.12,0.14,24.1,0,0
"""...elt""",0.1,0.12,49.9,0.08,0.09
"""cbind""",0.1,0.12,6.6,0,0
"""get_Nindex_lengths""",0.1,0.12,116.2,0,0
"""match.call""",0.08,0.09,40.7,0.08,0.09
"""asNamespace""",0.08,0.09,41.6,0.04,0.05
"""length""",0.08,0.09,8,0,0
"""new_DelayedAperm""",0.08,0.09,18,0,0
""".getClassesFromCache""",0.06,0.07,13.8,0.06,0.07
"""paste""",0.06,0.07,14.5,0.06,0.07
""".identC""",0.06,0.07,2,0.02,0.02
""".findInheritedMethods""",0.06,0.07,9.4,0,0
""".findMethodInTable""",0.06,0.07,14.5,0,0
""".quickCoerceSelect""",0.06,0.07,14.5,0,0
""".valid.Vector.parallelSlots""",0.06,0.07,4.4,0,0
"""DelayedArray:::get_Nindex_lengths""",0.06,0.07,7.4,0,0
"""validate_perm""",0.06,0.07,4.8,0,0
"""assign""",0.04,0.05,1.8,0.04,0.05
"""class""",0.04,0.05,1,0.04,0.05
"""force""",0.04,0.05,2.7,0.04,0.05
"""lazyLoadDBfetch""",0.04,0.05,7.2,0.04,0.05
"""rev""",0.04,0.05,4.5,0.04,0.05
"""Rle""",0.04,0.05,7.9,0.04,0.05
"""as.double""",0.04,0.05,4.1,0.02,0.02
"""disableValidity""",0.04,0.05,4.2,0.02,0.02
"""exists""",0.04,0.05,8.4,0.02,0.02
""".valid.Vector.length""",0.04,0.05,3.2,0,0
"""getClass""",0.04,0.05,9.1,0,0
"""HDF5Array""",0.04,0.05,3.4,0,0
"""HDF5ArraySeed""",0.04,0.05,3.4,0,0
"""ncol""",0.04,0.05,1.2,0,0
"""NROW""",0.04,0.05,4.1,0,0
"""outerLabels""",0.04,0.05,9.4,0,0
"""project_index_on_seed""",0.04,0.05,8.9,0,0
"""S4Vectors:::sapply_isNULL""",0.04,0.05,5.8,0,0
"""sort.default""",0.04,0.05,40,0,0
"""sort.int""",0.04,0.05,40,0,0
"""sort""",0.04,0.05,40,0,0
"""try""",0.04,0.05,4,0,0
"""vector""",0.04,0.05,0,0,0
""".Call2""",0.02,0.02,4.1,0.02,0.02
""".get_RegularArrayGrid_maxlength""",0.02,0.02,1.7,0.02,0.02
""".getMethodsTable""",0.02,0.02,0,0.02,0.02
"""all""",0.02,0.02,38.2,0.02,0.02
"""character""",0.02,0.02,0,0.02,0.02
"""elementMetadata""",0.02,0.02,1,0.02,0.02
"""environment""",0.02,0.02,0.2,0.02,0.02
"""get_user_option""",0.02,0.02,1,0.02,0.02
"""getExportedValue""",0.02,0.02,1,0.02,0.02
"""getGeneric""",0.02,0.02,4.6,0.02,0.02
"""getNamespace""",0.02,0.02,0.8,0.02,0.02
"""is.array""",0.02,0.02,0.2,0.02,0.02
"""is.na""",0.02,0.02,0,0.02,0.02
"""isNamespace""",0.02,0.02,1.5,0.02,0.02
"""match.arg""",0.02,0.02,1.7,0.02,0.02
"""names""",0.02,0.02,1.1,0.02,0.02
"""slot""",0.02,0.02,4,0.02,0.02
"""slot<-""",0.02,0.02,1.6,0.02,0.02
"""strsplit""",0.02,0.02,0,0.02,0.02
"""sys.function""",0.02,0.02,38.3,0.02,0.02
"""tail""",0.02,0.02,0,0.02,0.02
"""textConnection""",0.02,0.02,3.2,0.02,0.02
"""::""",0.02,0.02,1,0,0
""".asCoerceMethod""",0.02,0.02,5,0,0
""".fillSignatures""",0.02,0.02,0,0,0
""".findNextFromTable""",0.02,0.02,5,0,0
""".from_LLint_to_numeric""",0.02,0.02,4.1,0,0
""".get_DelayedArray_internals_version""",0.02,0.02,0,0,0
""".get_DelayedArray_pkgversion""",0.02,0.02,0,0,0
""".get_h5dataset""",0.02,0.02,3.4,0,0
""".hasSlot""",0.02,0.02,0,0,0
""".read_h5dataset_first_val""",0.02,0.02,0,0,0
""".sigLabel""",0.02,0.02,5.1,0,0
""".valid.Vector.names""",0.02,0.02,1.1,0,0
"""addNextMethod""",0.02,0.02,5,0,0
"""as<-""",0.02,0.02,5,0,0
"""asMethod""",0.02,0.02,5,0,0
"""cmp""",0.02,0.02,5,0,0
"""cmpCall""",0.02,0.02,5,0,0
"""cmpfun""",0.02,0.02,5,0,0
"""compiler:::tryCmpfun""",0.02,0.02,5,0,0
"""debugValidity""",0.02,0.02,1.7,0,0
"""DelayedArray:::expand_Nindex_RangeNSBS""",0.02,0.02,0,0,0
"""extract_Nindex_from_syscall""",0.02,0.02,0,0,0
"""genCode""",0.02,0.02,5,0,0
"""get_type_size""",0.02,0.02,1,0,0
"""getAutoBlockSize""",0.02,0.02,1,0,0
"""getInlineHandler""",0.02,0.02,5,0,0
"""h5checktype""",0.02,0.02,3.4,0,0
"""h5chunkdim""",0.02,0.02,3.4,0,0
"""h5const2String""",0.02,0.02,3.4,0,0
"""H5Gopen""",0.02,0.02,3.4,0,0
"""H5Iget_type""",0.02,0.02,3.4,0,0
"""head""",0.02,0.02,1.8,0,0
"""lengths""",0.02,0.02,0,0,0
"""matrixClass""",0.02,0.02,4.6,0,0
"""mcols""",0.02,0.02,1,0,0
"""methods:::.selectDotsMethod""",0.02,0.02,1.7,0,0
"""order""",0.02,0.02,38.3,0,0
"""possibleExtends""",0.02,0.02,1,0,0
"""tryInline""",0.02,0.02,5,0,0
"""unique""",0.02,0.02,1,0,0
"""unlist""",0.02,0.02,1,0,0
"""validate_HDF5ArraySeed_dataset""",0.02,0.02,3.4,0,0
"""watchout""",0.02,0.02,3.2,0,0
