"","total.time","total.pct","mem.total","self.time","self.pct"
"""block_exec""",49.36,100,484.1,0,0
"""call_block""",49.36,100,484.1,0,0
"""eval""",49.36,100,484.1,0,0
"""evaluate_call""",49.36,100,484.1,0,0
"""evaluate::evaluate""",49.36,100,484.1,0,0
"""evaluate""",49.36,100,484.1,0,0
"""handle""",49.36,100,484.1,0,0
"""in_dir""",49.36,100,484.1,0,0
"""knitr::knit""",49.36,100,484.1,0,0
"""process_file""",49.36,100,484.1,0,0
"""process_group.block""",49.36,100,484.1,0,0
"""process_group""",49.36,100,484.1,0,0
"""rmarkdown::render""",49.36,100,484.1,0,0
"""timing_fn""",49.36,100,484.1,0,0
"""withCallingHandlers""",49.36,100,484.1,0,0
"""withVisible""",49.36,100,484.1,0,0
"""stats::kmeans""",48.68,98.62,484.1,0.02,0.04
""".Fortran""",47.36,95.95,307.6,47.36,95.95
"""do_one""",47.36,95.95,307.6,0,0
"""unique.matrix""",1.2,2.43,176.2,0,0
"""unique""",1.2,2.43,176.2,0,0
"""readRDS""",0.68,1.38,0,0.68,1.38
"""asplit""",0.64,1.3,138,0,0
"""array""",0.54,1.09,61,0.54,1.09
"""do.call""",0.5,1.01,38.2,0.5,1.01
"""aperm""",0.18,0.36,77,0,0
"""aperm.default""",0.16,0.32,77,0.16,0.32
"""scale.default""",0.1,0.2,0.2,0,0
"""scale""",0.1,0.2,0.2,0,0
"""sweep""",0.08,0.16,0,0.02,0.04
"""duplicated.default""",0.06,0.12,0,0.06,0.12
"""colMeans""",0.02,0.04,0.2,0.02,0.04
