"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,1000,1000,0.005,3,random,hdf5,0.948031306403407,3334856.82237454
2,1000,1000,0.005,3,random,hdf5,0.984339542710208,2895789.1614766
3,1000,1000,0.005,3,random,hdf5,0.996687272877646,3108573.83632726
4,1000,1000,0.005,3,random,hdf5,0.988010654139269,3280960.605073
5,1000,1000,0.005,3,random,hdf5,0.990668769164756,2699963.398538
6,1000,1000,0.005,3,random,hdf5,0.986488226502018,3335251.24729633
7,1000,1000,0.005,3,random,hdf5,0.963145372087689,3657573.2905405
8,1000,1000,0.005,3,random,hdf5,0.981794513649287,3167515.53054976
9,1000,1000,0.005,3,random,hdf5,0.896845351223358,4183635.38627739
10,1000,1000,0.005,3,random,hdf5,0.993946788264726,2895021.50889085
11,1000,1000,0.005,3,random,hdf5,0.973844351713225,4782884.51453881
12,1000,1000,0.005,3,random,hdf5,0.977277550210064,3112973.21923334
13,1000,1000,0.005,3,random,hdf5,0.973469507258908,3654466.13137915
14,1000,1000,0.005,3,random,hdf5,0.990676538397246,3016379.84328161
15,1000,1000,0.005,3,random,hdf5,0.957703797105364,3186668.13831406
16,1000,1000,0.005,3,random,hdf5,1,2846178.5101251
17,1000,1000,0.005,3,random,hdf5,0.99700963324254,2396670.23656353
18,1000,1000,0.005,3,random,hdf5,0.961905461039774,3826059.69855032
19,1000,1000,0.005,3,random,hdf5,0.963898411130764,3193192.49532276
20,1000,1000,0.005,3,random,hdf5,0.979655680977852,3594911.22242063
21,1000,1000,0.005,3,random,hdf5,0.97274098417012,3501631.81451604
22,1000,1000,0.005,3,random,hdf5,0.990576250948338,3209395.27664708
23,1000,1000,0.005,3,random,hdf5,0.993604342167846,2742246.44417727
24,1000,1000,0.005,3,random,hdf5,0.990213655074694,2798323.77733789
25,1000,1000,0.005,3,random,hdf5,0.98361826556346,2614781.46651027
26,1000,1000,0.005,3,random,hdf5,0.973236392911069,2540944.20876914
27,1000,1000,0.005,3,random,hdf5,0.983409133763272,2787820.64875618
28,1000,1000,0.005,3,random,hdf5,0.96246878140674,3489757.81128185
29,1000,1000,0.005,3,random,hdf5,0.974179232452681,3047791.83329329
30,1000,1000,0.005,3,random,hdf5,0.955096594100601,3433600.28093502
31,1000,1000,0.005,3,random,hdf5,0.983359575090068,2564899.9669978
32,1000,1000,0.005,3,random,hdf5,0.988056782449907,2864695.12772956
33,1000,1000,0.005,3,random,hdf5,0.977362672666321,3052217.5969489
34,1000,1000,0.005,3,random,hdf5,0.991962199268761,3077904.56373511
35,1000,1000,0.005,3,random,hdf5,0.996625303726266,2886309.11036387
36,1000,1000,0.005,3,random,hdf5,0.991152988834522,2685350.51425808
37,1000,1000,0.005,3,random,hdf5,0.973049367228677,2924022.23677883
38,1000,1000,0.005,3,random,hdf5,0.950957175099955,3781034.43285753
39,1000,1000,0.005,3,random,hdf5,0.959562548067451,3896032.71357147
40,1000,1000,0.005,3,random,hdf5,0.974754303274146,2854879.78561153
41,1000,1000,0.005,3,random,hdf5,0.97080048366676,3870194.37142975
42,1000,1000,0.005,3,random,hdf5,1,2919049.82148616
43,1000,1000,0.005,3,random,hdf5,0.987249685628632,2641647.50551185
44,1000,1000,0.005,3,random,hdf5,0.996954216587098,3154626.11593437
45,1000,1000,0.005,3,random,hdf5,0.979951860569909,3221153.58502534
46,1000,1000,0.005,3,random,hdf5,0.973752677256493,2674936.48291335
47,1000,1000,0.005,3,random,hdf5,0.924803912351283,3887374.19878319
48,1000,1000,0.005,3,random,hdf5,0.986505000645258,2717449.33376697
49,1000,1000,0.005,3,random,hdf5,0.996579245992396,2710700.39948023
50,1000,1000,0.005,3,random,hdf5,0.982353240332351,3518976.18969802
51,1000,1000,0.005,3,random,hdf5,0.964496678934087,3109617.42595934
52,1000,1000,0.005,3,random,hdf5,0.971775825012269,2704945.28942678
53,1000,1000,0.005,3,random,hdf5,1,3639024.53854393
54,1000,1000,0.005,3,random,hdf5,0.934554753195026,3731474.32397285
55,1000,1000,0.005,3,random,hdf5,0.99140642416857,3644888.68654764
56,1000,1000,0.005,3,random,hdf5,0.991773261189376,3037847.14536429
57,1000,1000,0.005,3,random,hdf5,0.990230664272814,2655349.16025415
58,1000,1000,0.005,3,random,hdf5,0.981954529427809,3012998.83560183
59,1000,1000,0.005,3,random,hdf5,0.981394182328048,2892019.38279473
60,1000,1000,0.005,3,random,hdf5,0.985234445238672,3996351.24482179
61,1000,1000,0.005,3,random,hdf5,0.987367030903996,2618008.30795053
62,1000,1000,0.005,3,random,hdf5,0.964953023258879,2892412.26499284
63,1000,1000,0.005,3,random,hdf5,0.50212424032408,8791236.03719426
64,1000,1000,0.005,3,random,hdf5,0.970632587810576,3230075.02636639
65,1000,1000,0.005,3,random,hdf5,0.985089762952311,3536881.44585632
66,1000,1000,0.005,3,random,hdf5,0.993387565263601,2579064.05991635
67,1000,1000,0.005,3,random,hdf5,0.950801505257924,3025058.34483063
68,1000,1000,0.005,3,random,hdf5,0.988286109123091,4114806.7902645
69,1000,1000,0.005,3,random,hdf5,0.970812496594783,2676093.50596061
70,1000,1000,0.005,3,random,hdf5,0.987911230062958,3482513.42997272
71,1000,1000,0.005,3,random,hdf5,0.973456557796542,3338314.19327356
72,1000,1000,0.005,3,random,hdf5,0.985532897322669,3274830.56476108
73,1000,1000,0.005,3,random,hdf5,0.99715618696051,2929378.99381763
74,1000,1000,0.005,3,random,hdf5,0.99331366606439,3239376.67375739
75,1000,1000,0.005,3,random,hdf5,0.978422219097313,2513442.88522696
76,1000,1000,0.005,3,random,hdf5,0.949955470158406,3773176.51844063
77,1000,1000,0.005,3,random,hdf5,0.962050611819683,3443935.38060347
78,1000,1000,0.005,3,random,hdf5,0.98432778106496,2766769.23621582
79,1000,1000,0.005,3,random,hdf5,0.987622654595422,2601702.09078049
80,1000,1000,0.005,3,random,hdf5,0.986508759703391,3484598.89673839
1,1000,1000,0.01,3,random,hdf5,0.974310726415822,2855942.54392187
2,1000,1000,0.01,3,random,hdf5,0.986777522137931,2610268.96438859
3,1000,1000,0.01,3,random,hdf5,0.982203345207264,2702902.6895668
4,1000,1000,0.01,3,random,hdf5,0.98756186128105,2466981.56014604
5,1000,1000,0.01,3,random,hdf5,0.990322119757609,2514035.45606354
6,1000,1000,0.01,3,random,hdf5,0.976470982384042,2809566.35661975
7,1000,1000,0.01,3,random,hdf5,0.973050622565586,2660048.60958109
8,1000,1000,0.01,3,random,hdf5,0.945891050266463,2995712.29901247
9,1000,1000,0.01,3,random,hdf5,0.974212543189432,2675603.80156564
10,1000,1000,0.01,3,random,hdf5,0.981966700193447,2666579.16738526
11,1000,1000,0.01,3,random,hdf5,0.993961496090165,2730212.21294905
12,1000,1000,0.01,3,random,hdf5,0.991479157826333,3316853.71323378
13,1000,1000,0.01,3,random,hdf5,0.990596324745014,2877789.73632588
14,1000,1000,0.01,3,random,hdf5,0.986817870262735,2638691.13728554
15,1000,1000,0.01,3,random,hdf5,0.964436366326204,2907194.78513384
16,1000,1000,0.01,3,random,hdf5,0.993643036410748,2621440.61403107
17,1000,1000,0.01,3,random,hdf5,0.991069971785894,2596641.50609541
18,1000,1000,0.01,3,random,hdf5,0.991208147469735,2453382.55090168
19,1000,1000,0.01,3,random,hdf5,0.982197880537814,2531937.524038
20,1000,1000,0.01,3,random,hdf5,0.981746704977792,2442819.83710644
21,1000,1000,0.01,3,random,hdf5,0.993659117627596,2536412.13782497
22,1000,1000,0.01,3,random,hdf5,0.991264203966593,2764952.75916497
23,1000,1000,0.01,3,random,hdf5,0.981555255616358,2477688.65301241
24,1000,1000,0.01,3,random,hdf5,0.99114811209131,2620612.55378861
25,1000,1000,0.01,3,random,hdf5,0.986489751386066,2435738.84558209
26,1000,1000,0.01,3,random,hdf5,0.98591139692984,3277715.15168199
27,1000,1000,0.01,3,random,hdf5,0.963069068779046,2769248.900788
28,1000,1000,0.01,3,random,hdf5,1,2617198.26646973
29,1000,1000,0.01,3,random,hdf5,0.983868720967687,2568085.80667829
30,1000,1000,0.01,3,random,hdf5,0.996571573163365,2627939.02966245
31,1000,1000,0.01,3,random,hdf5,0.997822585823094,2649543.33505636
32,1000,1000,0.01,3,random,hdf5,0.993618177602255,2436054.27120726
33,1000,1000,0.01,3,random,hdf5,0.990230664272814,2493658.84482603
34,1000,1000,0.01,3,random,hdf5,0.925027225234978,3399315.20741739
35,1000,1000,0.01,3,random,hdf5,0.974478370475953,2471034.64505233
36,1000,1000,0.01,3,random,hdf5,0.982836556949471,2792157.90790513
37,1000,1000,0.01,3,random,hdf5,0.982433942428058,3400805.22214397
38,1000,1000,0.01,3,random,hdf5,0.980973966497144,2655870.26421721
39,1000,1000,0.01,3,random,hdf5,0.987615022504882,3757816.21054138
40,1000,1000,0.01,3,random,hdf5,0.996576079576425,3062885.41245081
41,1000,1000,0.01,3,random,hdf5,0.984016046815667,2600234.35560493
42,1000,1000,0.01,3,random,hdf5,0.980554653755276,2601861.68441962
43,1000,1000,0.01,3,random,hdf5,0.976944974225829,2597776.49780536
44,1000,1000,0.01,3,random,hdf5,0.98795098173224,2654956.41429028
45,1000,1000,0.01,3,random,hdf5,0.993627178108934,2838449.85048403
46,1000,1000,0.01,3,random,hdf5,0.993625198872389,3017129.08941739
47,1000,1000,0.01,3,random,hdf5,0.990673334930932,3693165.9520103
48,1000,1000,0.01,3,random,hdf5,0.990588662460924,2454107.98140211
49,1000,1000,0.01,3,random,hdf5,0.978926360466789,2467706.4927448
50,1000,1000,0.01,3,random,hdf5,0.996634954535917,2533386.11715826
51,1000,1000,0.01,3,random,hdf5,0.959837106810893,2854775.50205923
52,1000,1000,0.01,3,random,hdf5,1,2407425.13311871
53,1000,1000,0.01,3,random,hdf5,0.977137478298448,2542521.26577521
54,1000,1000,0.01,3,random,hdf5,0.981673509098025,3869971.47265009
55,1000,1000,0.01,3,random,hdf5,0.973991697764117,3009161.4772853
