"B","observations","genes","batch_size","k","initializer","method","memory"
6,1000,1000,0.005,3,random,hdf5,501.192636471174
6,1000,1000,0.01,3,random,hdf5,510.166032806258
6,1000,1000,0.05,3,random,hdf5,502.19838903844
6,1000,1000,0.1,3,random,hdf5,503.679994573809
6,1000,1000,0.2,3,random,hdf5,501.015542964647
6,1000,1000,0.5,3,random,hdf5,514.028726607435
6,1000,1000,0.8,3,random,hdf5,525.042779993666
6,1000,1000,1,3,random,hdf5,467.706659172136
6,5000,1000,0.005,3,random,hdf5,666.966196666174
6,5000,1000,0.01,3,random,hdf5,815.011798115171
6,5000,1000,0.05,3,random,hdf5,708.536173629464
6,5000,1000,0.1,3,random,hdf5,709.074518968406
6,5000,1000,0.2,3,random,hdf5,718.531283225234
6,5000,1000,0.5,3,random,hdf5,572.971842063926
6,5000,1000,0.8,3,random,hdf5,584.431841191584
6,5000,1000,1,3,random,hdf5,590.456331570732
6,25000,1000,0.005,3,random,hdf5,841.033061335786
6,25000,1000,0.01,3,random,hdf5,841.986705138207
6,25000,1000,0.05,3,random,hdf5,1518.76011467093
6,25000,1000,0.1,3,random,hdf5,1518.78300285461
6,25000,1000,0.2,3,random,hdf5,1575.98057387093
6,25000,1000,0.5,3,random,hdf5,1692.0576388225
6,25000,1000,0.8,3,random,hdf5,1516.21492575753
6,25000,1000,1,3,random,hdf5,1599.95288688851
6,75000,1000,0.005,3,random,hdf5,1799.30219183894
6,75000,1000,0.01,3,random,hdf5,1807.88523020136
6,75000,1000,0.05,3,random,hdf5,1843.16017082501
6,75000,1000,0.1,3,random,hdf5,1809.78345408547
6,75000,1000,0.2,3,random,hdf5,2012.0100554945
6,75000,1000,0.5,3,random,hdf5,2839.97875520879
6,75000,1000,0.8,3,random,hdf5,3110.62422589419
6,75000,1000,1,3,random,hdf5,3120.86601670427
