"B","observations","genes","batch_size","k","initializer","method","memory"
2,1000,1000,0.005,3,random,kmeans,435.454438896791
2,1000,1000,0.01,3,random,kmeans,420.176202450058
2,1000,1000,0.05,3,random,kmeans,427.824990931029
2,1000,1000,0.1,3,random,kmeans,420.176171932479
2,1000,1000,0.2,3,random,kmeans,420.191445980388
2,1000,1000,0.5,3,random,kmeans,435.454408379213
2,1000,1000,0.8,3,random,kmeans,443.08523726539
2,1000,1000,1,3,random,kmeans,435.454408379213
2,5000,1000,0.005,3,random,kmeans,657.313677403726
2,5000,1000,0.01,3,random,kmeans,657.10822543762
2,5000,1000,0.05,3,random,kmeans,657.313677403726
2,5000,1000,0.1,3,random,kmeans,657.108194920042
2,5000,1000,0.2,3,random,kmeans,657.108194920042
2,5000,1000,0.5,3,random,kmeans,657.108194920042
2,5000,1000,0.8,3,random,kmeans,657.313646886148
2,5000,1000,1,3,random,kmeans,657.122065159352
2,25000,1000,0.005,3,random,kmeans,2071.53571337262
2,25000,1000,0.01,3,random,kmeans,2071.53571337262
2,25000,1000,0.05,3,random,kmeans,1881.88874000172
2,25000,1000,0.1,3,random,kmeans,2071.53654497662
2,25000,1000,0.2,3,random,kmeans,2071.53654497662
2,25000,1000,0.5,3,random,kmeans,2071.53571337262
2,25000,1000,0.8,3,random,kmeans,2071.53571337262
2,25000,1000,1,3,random,kmeans,2071.53568285504
2,75000,1000,0.005,3,random,kmeans,5516.56488590049
2,75000,1000,0.01,3,random,kmeans,5516.56488590049
2,75000,1000,0.05,3,random,kmeans,5516.56488590049
2,75000,1000,0.1,3,random,kmeans,5516.56488590049
2,75000,1000,0.2,3,random,kmeans,5516.56488590049
2,75000,1000,0.5,3,random,kmeans,5516.56488590049
2,75000,1000,0.8,3,random,kmeans,5516.56488590049
2,75000,1000,1,3,random,kmeans,5516.56485538291
