"B","observations","genes","batch_size","k","initializer","method","memory"
5,1000,1000,0.005,3,random,mbkmeans,366.723641823827
5,1000,1000,0.01,3,random,mbkmeans,372.110330076547
5,1000,1000,0.05,3,random,mbkmeans,421.986200015472
5,1000,1000,0.1,3,random,mbkmeans,421.91236273492
5,1000,1000,0.2,3,random,mbkmeans,421.485856690833
5,1000,1000,0.5,3,random,mbkmeans,419.674630792894
5,1000,1000,0.8,3,random,mbkmeans,419.620584161831
5,1000,1000,1,3,random,mbkmeans,419.635377557883
5,5000,1000,0.005,3,random,mbkmeans,422.18312231846
5,5000,1000,0.01,3,random,mbkmeans,455.932611276205
5,5000,1000,0.05,3,random,mbkmeans,454.53531818012
5,5000,1000,0.1,3,random,mbkmeans,454.352716250721
5,5000,1000,0.2,3,random,mbkmeans,488.588281565278
5,5000,1000,0.5,3,random,mbkmeans,484.708833613647
5,5000,1000,0.8,3,random,mbkmeans,480.882104778426
5,5000,1000,1,3,random,mbkmeans,465.615724410839
5,25000,1000,0.005,3,random,mbkmeans,638.915972256273
5,25000,1000,0.01,3,random,mbkmeans,639.312174345168
5,25000,1000,0.05,3,random,mbkmeans,705.712618626148
5,25000,1000,0.1,3,random,mbkmeans,696.066225767532
5,25000,1000,0.2,3,random,mbkmeans,696.034998655598
5,25000,1000,0.5,3,random,mbkmeans,734.162913227987
5,25000,1000,0.8,3,random,mbkmeans,848.605471947817
5,25000,1000,1,3,random,mbkmeans,924.920009283735
5,75000,1000,0.005,3,random,mbkmeans,1227.31467900236
5,75000,1000,0.01,3,random,mbkmeans,1226.82152256739
5,75000,1000,0.05,3,random,mbkmeans,1214.90948181205
5,75000,1000,0.1,3,random,mbkmeans,1386.52872989529
5,75000,1000,0.2,3,random,mbkmeans,1386.49389407973
5,75000,1000,0.5,3,random,mbkmeans,1500.92394059249
5,75000,1000,0.8,3,random,mbkmeans,1844.24146202782
5,75000,1000,1,3,random,mbkmeans,1500.93239396166
