"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,75000,1000,0.005,3,random,kmeans,0.989580491411859,153880447.71644
2,75000,1000,0.005,3,random,kmeans,0.988559410184121,146453279.867282
3,75000,1000,0.005,3,random,kmeans,0.989466503300025,150191356.891476
4,75000,1000,0.005,3,random,kmeans,0.988636335235761,149769022.979784
5,75000,1000,0.005,3,random,kmeans,0.990725294010644,146732158.76788
6,75000,1000,0.005,3,random,kmeans,0.989562817284435,144730880.781858
7,75000,1000,0.005,3,random,kmeans,0.988219079691567,147512112.372515
8,75000,1000,0.005,3,random,kmeans,0.989316478383212,151306196.586185
9,75000,1000,0.005,3,random,kmeans,0.988938686796216,151415580.553642
10,75000,1000,0.005,3,random,kmeans,0.990246878236917,151817734.559645
11,75000,1000,0.005,3,random,kmeans,0.98919262074097,151751300.43059
12,75000,1000,0.005,3,random,kmeans,0.987895224890452,149983701.394673
13,75000,1000,0.005,3,random,kmeans,0.989263951731214,146220914.03936
14,75000,1000,0.005,3,random,kmeans,0.990875338340674,146582466.654454
15,75000,1000,0.005,3,random,kmeans,0.988037541012177,148202431.640412
16,75000,1000,0.005,3,random,kmeans,0.988874347938052,150569933.840845
17,75000,1000,0.005,3,random,kmeans,0.990618485302854,151675302.083399
18,75000,1000,0.005,3,random,kmeans,0.990088532040176,150785673.098082
19,75000,1000,0.005,3,random,kmeans,0.990147683678808,146006091.759961
20,75000,1000,0.005,3,random,kmeans,0.988032020496308,152184564.983431
21,75000,1000,0.005,3,random,kmeans,0.988856426069922,146929631.425177
22,75000,1000,0.005,3,random,kmeans,0.988725779229907,147091313.297669
23,75000,1000,0.005,3,random,kmeans,0.990054730024975,150865859.158162
24,75000,1000,0.005,3,random,kmeans,0.990526209344069,146236391.072013
25,75000,1000,0.005,3,random,kmeans,0.987598593359754,152325831.416173
26,75000,1000,0.005,3,random,kmeans,0.989118912191761,151696738.69184
27,75000,1000,0.005,3,random,kmeans,0.988870468722113,151177819.187844
28,75000,1000,0.005,3,random,kmeans,0.989048952000137,148983176.821726
29,75000,1000,0.005,3,random,kmeans,0.989918466706866,147477346.534943
30,75000,1000,0.005,3,random,kmeans,0.989675335827438,148202202.704868
31,75000,1000,0.005,3,random,kmeans,0.989422996632595,151423822.341932
32,75000,1000,0.005,3,random,kmeans,0.989971728137423,150112975.650243
33,75000,1000,0.005,3,random,kmeans,0.990372626504225,145063829.636245
34,75000,1000,0.005,3,random,kmeans,0.989729723290337,148249491.024395
35,75000,1000,0.005,3,random,kmeans,0.989154696130604,150626929.748478
36,75000,1000,0.005,3,random,kmeans,0.99008950521472,152833238.862225
37,75000,1000,0.005,3,random,kmeans,0.990132064058703,151661319.681866
38,75000,1000,0.005,3,random,kmeans,0.988220816197435,149982679.928736
39,75000,1000,0.005,3,random,kmeans,0.988806614287889,154215070.192738
40,75000,1000,0.005,3,random,kmeans,0.990035880599454,150052481.25546
41,75000,1000,0.005,3,random,kmeans,0.98789290866226,147941110.354275
42,75000,1000,0.005,3,random,kmeans,0.98975291871367,147053691.885279
43,75000,1000,0.005,3,random,kmeans,0.990262971322576,149664989.898648
44,75000,1000,0.005,3,random,kmeans,0.988423218117649,152640920.761325
45,75000,1000,0.005,3,random,kmeans,0.99022409330204,145654925.447299
46,75000,1000,0.005,3,random,kmeans,0.989160423726427,148773159.418492
47,75000,1000,0.005,3,random,kmeans,0.989204719710312,153250763.841365
48,75000,1000,0.005,3,random,kmeans,0.990156530750097,148110703.147761
