B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
1,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,0.08751968,3596430781,28,NA
2,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,0.088032714,3509563609,32,NA
3,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,0.088806429,3658399365,16,NA
4,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,0.087232825,3579574256,14,NA
5,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,0.087582101,3501312207,26,NA
6,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,0.131904573,3825171793,15,NA
7,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,0.087818239,3636596290,19,NA
8,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,0.087185714,3509041097,37,NA
9,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,0.087186877,3611373954,27,NA
10,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,0.118803982,3499435630,33,NA
1,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,0.225471577,1744607478,31,NA
2,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,0.222607108,1804309461,17,NA
3,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,0.2252502,1707729540,26,NA
4,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,0.215853012,1751863154,22,NA
5,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,0.215596079,1674852855,17,NA
6,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,0.224860855,1661738882,16,NA
7,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,0.224715263,1574164772,17,NA
8,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,0.224587914,1660763983,14,NA
9,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,0.216299717,1707630848,20,NA
10,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,0.224596582,1670790288,18,NA
1,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,0.327676363,1174023089,25,NA
2,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,0.327763867,1219847241,18,NA
3,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,0.346553862,1148152218,20,NA
4,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,0.333348324,1152190984,13,NA
5,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,0.343238956,1224748138,17,NA
6,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,0.346752323,1155119754,24,NA
7,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,0.341658022,1234161000,27,NA
8,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,0.330364024,1222188775,18,NA
9,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,0.329357142,1161018871,22,NA
10,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,0.331579287,1178195691,21,NA
1,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,0.403185025,809603067.3,24,NA
2,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,0.420909331,778087891.3,31,NA
3,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,0.397309807,866176431.1,16,NA
4,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,0.420906183,747075187.3,21,NA
5,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,0.409194828,760993334.4,17,NA
6,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,0.423037782,726563436,16,NA
7,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,0.42295086,844799928.7,28,NA
8,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,0.398081328,807947550.4,31,NA
9,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,0.40917509,763289904,34,NA
10,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,0.412726539,763720935.6,30,NA
1,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,0.461094593,571592930.7,32,NA
2,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,0.506887474,602817168.1,23,NA
3,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,0.461632987,595509773.4,18,NA
4,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,0.458210691,602738746.3,26,NA
5,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,0.460950344,600561785.8,16,NA
6,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,0.463593737,560999275.4,23,NA
7,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,0.496227433,626682343,21,NA
8,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,0.460441031,569192647.4,13,NA
9,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,0.462914965,601479259.2,19,NA
10,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,0.458922949,595679619.6,20,NA
1,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,0.556547582,425694819.8,19,NA
2,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,0.555768023,434776662.5,27,NA
3,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,0.552509352,423090983.8,19,NA
4,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,0.556990528,423308103.6,26,NA
5,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,0.55127651,434135602.4,17,NA
6,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,0.555579123,447487139.7,16,NA
7,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,0.555340376,412788547.4,16,NA
8,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,0.525292172,529513235.7,26,NA
9,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,0.554273132,431724445.1,23,NA
10,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,0.486074083,536717912.5,24,NA
1,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,0.583984713,375929620.8,15,NA
2,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,0.578866957,382129339.7,20,NA
3,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,0.583305154,353371173.8,23,NA
4,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,0.574032139,385225181.5,34,NA
5,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,0.609947063,400378205.2,20,NA
6,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,0.59868492,412956472.9,27,NA
7,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,0.580083401,363249449,31,NA
8,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,0.604941669,383587036.1,21,NA
9,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,0.599663883,394513021.6,21,NA
