B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
1,25000,1000,75,2,random,kmeans,0.088237723,872320040.4,1,0
2,25000,1000,75,2,random,kmeans,0.08753795,891361010.2,1,0
3,25000,1000,75,2,random,kmeans,0.087996696,914085275.7,1,0
4,25000,1000,75,2,random,kmeans,0.086822694,806106253.1,1,0
5,25000,1000,75,2,random,kmeans,0.087221925,838648522.4,1,0
6,25000,1000,75,2,random,kmeans,0.088532031,947152877.6,1,0
7,25000,1000,75,2,random,kmeans,0.087664475,899244909.8,1,0
8,25000,1000,75,2,random,kmeans,0.089369157,900117984.3,1,0
9,25000,1000,75,2,random,kmeans,0.086508017,888657437.8,1,0
10,25000,1000,75,2,random,kmeans,0.087402286,829854521.4,1,0
1,25000,1000,75,3,random,kmeans,0.21626097,385067859.8,2,0
2,25000,1000,75,3,random,kmeans,0.224870008,407922584.5,2,0
3,25000,1000,75,3,random,kmeans,0.226168594,382545446.3,2,0
4,25000,1000,75,3,random,kmeans,0.225589449,407791059.6,3,0
5,25000,1000,75,3,random,kmeans,0.225211263,432923457.4,2,0
6,25000,1000,75,3,random,kmeans,0.226004262,419414573.7,3,0
7,25000,1000,75,3,random,kmeans,0.224457446,435757790.6,2,0
8,25000,1000,75,3,random,kmeans,0.224492331,439418772.9,2,0
9,25000,1000,75,3,random,kmeans,0.225647194,391837297.9,3,0
10,25000,1000,75,3,random,kmeans,0.227401197,421972279.4,2,0
1,25000,1000,75,4,random,kmeans,0.331286541,287900660.2,3,0
2,25000,1000,75,4,random,kmeans,0.347024016,283666980.5,3,0
3,25000,1000,75,4,random,kmeans,0.346655782,290975015.4,2,0
4,25000,1000,75,4,random,kmeans,0.345445505,284805947.7,3,0
5,25000,1000,75,4,random,kmeans,0.34429806,300040564.3,3,0
6,25000,1000,75,4,random,kmeans,0.34435762,293950936.1,3,0
7,25000,1000,75,4,random,kmeans,0.346859201,265025366,3,0
8,25000,1000,75,4,random,kmeans,0.345906319,297064086.7,3,0
9,25000,1000,75,4,random,kmeans,0.346141501,279038447.2,2,0
10,25000,1000,75,4,random,kmeans,0.345518108,292667549.4,3,0
1,25000,1000,75,5,random,kmeans,0.421766102,195827805.1,4,0
2,25000,1000,75,5,random,kmeans,0.420490603,182830621.4,3,0
3,25000,1000,75,5,random,kmeans,0.42028793,191789119.4,4,0
4,25000,1000,75,5,random,kmeans,0.41797071,182566973.8,3,0
5,25000,1000,75,5,random,kmeans,0.418917529,186061371.9,3,0
6,25000,1000,75,5,random,kmeans,0.421935987,190432229.7,4,0
7,25000,1000,75,5,random,kmeans,0.419339489,185265853.2,3,0
8,25000,1000,75,5,random,kmeans,0.415621013,189898713.8,3,0
9,25000,1000,75,5,random,kmeans,0.422155321,187399895.3,4,0
10,25000,1000,75,5,random,kmeans,0.421568476,187530958.7,4,0
1,25000,1000,75,6,random,kmeans,0.463841175,132820814,4,0
2,25000,1000,75,6,random,kmeans,0.465300989,140341922.5,3,0
3,25000,1000,75,6,random,kmeans,0.461445935,137290667.5,4,0
4,25000,1000,75,6,random,kmeans,0.461779319,139182907.8,3,0
5,25000,1000,75,6,random,kmeans,0.463055175,138875791,4,0
6,25000,1000,75,6,random,kmeans,0.464638333,145787670.6,3,0
7,25000,1000,75,6,random,kmeans,0.461758729,136682160.2,3,0
8,25000,1000,75,6,random,kmeans,0.459980506,142246439.8,4,0
9,25000,1000,75,6,random,kmeans,0.466669002,135551707.9,3,0
10,25000,1000,75,6,random,kmeans,0.461162112,137441063.4,3,0
1,25000,1000,500,2,random,kmeans,0.088237723,872320040.4,1,0
2,25000,1000,500,2,random,kmeans,0.08753795,891361010.2,1,0
3,25000,1000,500,2,random,kmeans,0.087996696,914085275.7,1,0
4,25000,1000,500,2,random,kmeans,0.086822694,806106253.1,1,0
5,25000,1000,500,2,random,kmeans,0.087221925,838648522.4,1,0
6,25000,1000,500,2,random,kmeans,0.088532031,947152877.6,1,0
7,25000,1000,500,2,random,kmeans,0.087664475,899244909.8,1,0
8,25000,1000,500,2,random,kmeans,0.089369157,900117984.3,1,0
9,25000,1000,500,2,random,kmeans,0.086508017,888657437.8,1,0
10,25000,1000,500,2,random,kmeans,0.087402286,829854521.4,1,0
1,25000,1000,500,3,random,kmeans,0.21626097,385067859.8,2,0
2,25000,1000,500,3,random,kmeans,0.224870008,407922584.5,2,0
3,25000,1000,500,3,random,kmeans,0.226168594,382545446.3,2,0
4,25000,1000,500,3,random,kmeans,0.225589449,407791059.6,3,0
5,25000,1000,500,3,random,kmeans,0.225211263,432923457.4,2,0
6,25000,1000,500,3,random,kmeans,0.226004262,419414573.7,3,0
7,25000,1000,500,3,random,kmeans,0.224457446,435757790.6,2,0
8,25000,1000,500,3,random,kmeans,0.224492331,439418772.9,2,0
9,25000,1000,500,3,random,kmeans,0.225647194,391837297.9,3,0
10,25000,1000,500,3,random,kmeans,0.227401197,421972279.4,2,0
1,25000,1000,500,4,random,kmeans,0.331286541,287900660.2,3,0
2,25000,1000,500,4,random,kmeans,0.347024016,283666980.5,3,0
3,25000,1000,500,4,random,kmeans,0.346655782,290975015.4,2,0
4,25000,1000,500,4,random,kmeans,0.345445505,284805947.7,3,0
5,25000,1000,500,4,random,kmeans,0.34429806,300040564.3,3,0
6,25000,1000,500,4,random,kmeans,0.34435762,293950936.1,3,0
7,25000,1000,500,4,random,kmeans,0.346859201,265025366,3,0
8,25000,1000,500,4,random,kmeans,0.345906319,297064086.7,3,0
9,25000,1000,500,4,random,kmeans,0.346141501,279038447.2,2,0
10,25000,1000,500,4,random,kmeans,0.345518108,292667549.4,3,0
1,25000,1000,500,5,random,kmeans,0.421766102,195827805.1,4,0
2,25000,1000,500,5,random,kmeans,0.420490603,182830621.4,3,0
3,25000,1000,500,5,random,kmeans,0.42028793,191789119.4,4,0
4,25000,1000,500,5,random,kmeans,0.41797071,182566973.8,3,0
5,25000,1000,500,5,random,kmeans,0.418917529,186061371.9,3,0
6,25000,1000,500,5,random,kmeans,0.421935987,190432229.7,4,0
7,25000,1000,500,5,random,kmeans,0.419339489,185265853.2,3,0
8,25000,1000,500,5,random,kmeans,0.415621013,189898713.8,3,0
9,25000,1000,500,5,random,kmeans,0.422155321,187399895.3,4,0
10,25000,1000,500,5,random,kmeans,0.421568476,187530958.7,4,0
1,25000,1000,500,6,random,kmeans,0.463841175,132820814,4,0
2,25000,1000,500,6,random,kmeans,0.465300989,140341922.5,3,0
3,25000,1000,500,6,random,kmeans,0.461445935,137290667.5,4,0
4,25000,1000,500,6,random,kmeans,0.461779319,139182907.8,3,0
5,25000,1000,500,6,random,kmeans,0.463055175,138875791,4,0
6,25000,1000,500,6,random,kmeans,0.464638333,145787670.6,3,0
7,25000,1000,500,6,random,kmeans,0.461758729,136682160.2,3,0
8,25000,1000,500,6,random,kmeans,0.459980506,142246439.8,4,0
9,25000,1000,500,6,random,kmeans,0.466669002,135551707.9,3,0
10,25000,1000,500,6,random,kmeans,0.461162112,137441063.4,3,0
1,25000,1000,1000,2,random,kmeans,0.08823772,872320040,1,0
2,25000,1000,1000,2,random,kmeans,0.08753795,891361010,1,0
3,25000,1000,1000,2,random,kmeans,0.0879967,914085276,1,0
4,25000,1000,1000,2,random,kmeans,0.08682269,806106253,1,0
5,25000,1000,1000,2,random,kmeans,0.08722193,838648522,1,0
6,25000,1000,1000,2,random,kmeans,0.08853203,947152878,1,0
7,25000,1000,1000,2,random,kmeans,0.08766448,899244910,1,0
8,25000,1000,1000,2,random,kmeans,0.08936916,900117984,1,0
9,25000,1000,1000,2,random,kmeans,0.08650802,888657438,1,0
10,25000,1000,1000,2,random,kmeans,0.08740229,829854521,1,0
1,25000,1000,1000,3,random,kmeans,0.21626097,385067860,2,0
2,25000,1000,1000,3,random,kmeans,0.22487001,407922585,2,0
3,25000,1000,1000,3,random,kmeans,0.22616859,382545446,2,0
4,25000,1000,1000,3,random,kmeans,0.22558945,407791060,3,0
5,25000,1000,1000,3,random,kmeans,0.22521126,432923457,2,0
6,25000,1000,1000,3,random,kmeans,0.22600426,419414574,3,0
7,25000,1000,1000,3,random,kmeans,0.22445745,435757791,2,0
8,25000,1000,1000,3,random,kmeans,0.22449233,439418773,2,0
9,25000,1000,1000,3,random,kmeans,0.22564719,391837298,3,0
10,25000,1000,1000,3,random,kmeans,0.2274012,421972279,2,0
1,25000,1000,1000,4,random,kmeans,0.33128654,287900660,3,0
2,25000,1000,1000,4,random,kmeans,0.34702402,283666981,3,0
3,25000,1000,1000,4,random,kmeans,0.34665578,290975015,2,0
4,25000,1000,1000,4,random,kmeans,0.34544551,284805948,3,0
5,25000,1000,1000,4,random,kmeans,0.34429806,300040564,3,0
6,25000,1000,1000,4,random,kmeans,0.34435762,293950936,3,0
7,25000,1000,1000,4,random,kmeans,0.3468592,265025366,3,0
8,25000,1000,1000,4,random,kmeans,0.34590632,297064087,3,0
9,25000,1000,1000,4,random,kmeans,0.3461415,279038447,2,0
10,25000,1000,1000,4,random,kmeans,0.34551811,292667549,3,0
1,25000,1000,1000,5,random,kmeans,0.4217661,195827805,4,0
2,25000,1000,1000,5,random,kmeans,0.4204906,182830621,3,0
3,25000,1000,1000,5,random,kmeans,0.42028793,191789119,4,0
4,25000,1000,1000,5,random,kmeans,0.41797071,182566974,3,0
5,25000,1000,1000,5,random,kmeans,0.41891753,186061372,3,0
