B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
1,1.00E+05,1000,0.001,2,random,kmeans,0.087567795,3598819708,1,0
2,1.00E+05,1000,0.001,2,random,kmeans,0.08783754,3599766847,1,0
3,1.00E+05,1000,0.001,2,random,kmeans,0.087780003,3562761059,1,0
4,1.00E+05,1000,0.001,2,random,kmeans,0.087838489,3353979896,1,0
5,1.00E+05,1000,0.001,2,random,kmeans,0.088022542,3538724731,1,0
6,1.00E+05,1000,0.001,2,random,kmeans,0.087436209,3476081198,1,0
7,1.00E+05,1000,0.001,2,random,kmeans,0.087722594,3463115229,1,0
8,1.00E+05,1000,0.001,2,random,kmeans,0.087681079,3482140221,1,0
9,1.00E+05,1000,0.001,2,random,kmeans,0.087589419,3679197119,1,0
10,1.00E+05,1000,0.001,2,random,kmeans,0.088018065,3417339566,1,0
1,1.00E+05,1000,0.001,3,random,kmeans,0.22464927,1555123456,3,0
2,1.00E+05,1000,0.001,3,random,kmeans,0.224012506,1689923036,3,0
3,1.00E+05,1000,0.001,3,random,kmeans,0.224823588,1639946041,2,0
4,1.00E+05,1000,0.001,3,random,kmeans,0.224976292,1614221390,2,0
5,1.00E+05,1000,0.001,3,random,kmeans,0.224861358,1641733118,2,0
6,1.00E+05,1000,0.001,3,random,kmeans,0.225477673,1722693881,2,0
7,1.00E+05,1000,0.001,3,random,kmeans,0.225845819,1656324008,2,0
8,1.00E+05,1000,0.001,3,random,kmeans,0.225138295,1643102386,2,0
9,1.00E+05,1000,0.001,3,random,kmeans,0.224400251,1613622682,2,0
10,1.00E+05,1000,0.001,3,random,kmeans,0.224232068,1599965558,3,0
1,1.00E+05,1000,0.001,4,random,kmeans,0.34621103,1203775738,3,0
2,1.00E+05,1000,0.001,4,random,kmeans,0.346353373,1135170750,3,0
3,1.00E+05,1000,0.001,4,random,kmeans,0.346863359,1152254877,3,0
4,1.00E+05,1000,0.001,4,random,kmeans,0.345519096,1156649235,3,0
5,1.00E+05,1000,0.001,4,random,kmeans,0.34572706,1131523668,4,0
6,1.00E+05,1000,0.001,4,random,kmeans,0.346107129,1098707191,3,0
7,1.00E+05,1000,0.001,4,random,kmeans,0.345128401,1211243598,2,0
8,1.00E+05,1000,0.001,4,random,kmeans,0.346883356,1173224367,3,0
9,1.00E+05,1000,0.001,4,random,kmeans,0.345335029,1171099425,3,0
10,1.00E+05,1000,0.001,4,random,kmeans,0.346599012,1161058258,3,0
1,1.00E+05,1000,0.001,5,random,kmeans,0.42130474,714405438.3,4,0
2,1.00E+05,1000,0.001,5,random,kmeans,0.421347475,774820983.8,4,0
3,1.00E+05,1000,0.001,5,random,kmeans,0.41924607,788289424.7,3,0
