B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
1,25000,1000,75,2,kmeans++,mbkmeans,0.08787944,905801933.3,39,NA
2,25000,1000,75,2,kmeans++,mbkmeans,0.088093207,869008068.8,22,NA
3,25000,1000,75,2,kmeans++,mbkmeans,0.087344656,847029080.2,14,NA
4,25000,1000,75,2,kmeans++,mbkmeans,0.087031452,943127166.7,24,NA
5,25000,1000,75,2,kmeans++,mbkmeans,0.086244606,892900831.7,13,NA
6,25000,1000,75,2,kmeans++,mbkmeans,0.089289799,872217747.9,15,NA
7,25000,1000,75,2,kmeans++,mbkmeans,0.087701589,887459257,28,NA
8,25000,1000,75,2,kmeans++,mbkmeans,0.087695307,903361725,13,NA
9,25000,1000,75,2,kmeans++,mbkmeans,0.088608248,935662321.2,23,NA
10,25000,1000,75,2,kmeans++,mbkmeans,0.087440073,877126778,30,NA
1,25000,1000,75,3,kmeans++,mbkmeans,0.22569047,412548129.4,24,NA
2,25000,1000,75,3,kmeans++,mbkmeans,0.227006912,426330173.6,30,NA
3,25000,1000,75,3,kmeans++,mbkmeans,0.21232593,423406981.6,25,NA
4,25000,1000,75,3,kmeans++,mbkmeans,0.223986492,417837381.7,14,NA
5,25000,1000,75,3,kmeans++,mbkmeans,0.222045237,432483532.1,26,NA
6,25000,1000,75,3,kmeans++,mbkmeans,0.216855002,418598374.3,15,NA
7,25000,1000,75,3,kmeans++,mbkmeans,0.213136054,434092471.5,20,NA
8,25000,1000,75,3,kmeans++,mbkmeans,0.217115333,449453740,29,NA
9,25000,1000,75,3,kmeans++,mbkmeans,0.225303306,458531597.6,22,NA
10,25000,1000,75,3,kmeans++,mbkmeans,0.218307039,416559925.5,25,NA
1,25000,1000,75,4,kmeans++,mbkmeans,0.331846695,303756552,18,NA
2,25000,1000,75,4,kmeans++,mbkmeans,0.26652733,341436555.3,30,NA
3,25000,1000,75,4,kmeans++,mbkmeans,0.333534619,295826898.8,19,NA
4,25000,1000,75,4,kmeans++,mbkmeans,0.345903344,297929241.5,15,NA
5,25000,1000,75,4,kmeans++,mbkmeans,0.268242161,319041335,31,NA
6,25000,1000,75,4,kmeans++,mbkmeans,0.346447155,306120999.4,24,NA
7,25000,1000,75,4,kmeans++,mbkmeans,0.325102502,294871704.8,19,NA
8,25000,1000,75,4,kmeans++,mbkmeans,0.347956612,295531135.1,12,NA
9,25000,1000,75,4,kmeans++,mbkmeans,0.341156291,288004846.5,17,NA
10,25000,1000,75,4,kmeans++,mbkmeans,0.258716719,320645039.9,13,NA
1,25000,1000,75,5,kmeans++,mbkmeans,0.422316333,193449977.8,22,NA
2,25000,1000,75,5,kmeans++,mbkmeans,0.423793577,198881945,18,NA
3,25000,1000,75,5,kmeans++,mbkmeans,0.421739143,185579309.2,23,NA
4,25000,1000,75,5,kmeans++,mbkmeans,0.414752588,199695060.4,14,NA
5,25000,1000,75,5,kmeans++,mbkmeans,0.410086794,217576204.5,22,NA
6,25000,1000,75,5,kmeans++,mbkmeans,0.40683452,191739212.3,24,NA
7,25000,1000,75,5,kmeans++,mbkmeans,0.400714155,198255301.6,16,NA
8,25000,1000,75,5,kmeans++,mbkmeans,0.417092351,204025395.1,23,NA
9,25000,1000,75,5,kmeans++,mbkmeans,0.420699951,196613445.1,23,NA
10,25000,1000,75,5,kmeans++,mbkmeans,0.423070498,202676639.2,25,NA
1,25000,1000,75,6,kmeans++,mbkmeans,0.460853853,149013527.2,26,NA
2,25000,1000,75,6,kmeans++,mbkmeans,0.501130279,155067330.9,19,NA
3,25000,1000,75,6,kmeans++,mbkmeans,0.461180807,153074736.2,44,NA
4,25000,1000,75,6,kmeans++,mbkmeans,0.463137345,156730291.7,12,NA
5,25000,1000,75,6,kmeans++,mbkmeans,0.463943719,151557860.7,26,NA
6,25000,1000,75,6,kmeans++,mbkmeans,0.462514136,144451395.3,27,NA
7,25000,1000,75,6,kmeans++,mbkmeans,0.449757523,153821395.7,27,NA
8,25000,1000,75,6,kmeans++,mbkmeans,0.462602622,150205426.3,22,NA
9,25000,1000,75,6,kmeans++,mbkmeans,0.459929285,143183004.8,21,NA
10,25000,1000,75,6,kmeans++,mbkmeans,0.499247528,157114058.4,14,NA
1,25000,1000,75,7,kmeans++,mbkmeans,0.46887072,155746429.2,31,NA
2,25000,1000,75,7,kmeans++,mbkmeans,0.558506771,106896502.1,21,NA
3,25000,1000,75,7,kmeans++,mbkmeans,0.55255169,109179582.2,39,NA
4,25000,1000,75,7,kmeans++,mbkmeans,0.555927559,107643366.7,23,NA
5,25000,1000,75,7,kmeans++,mbkmeans,0.553070736,117063368.3,21,NA
6,25000,1000,75,7,kmeans++,mbkmeans,0.555315714,106047097.9,19,NA
7,25000,1000,75,7,kmeans++,mbkmeans,0.557535968,111414935,24,NA
8,25000,1000,75,7,kmeans++,mbkmeans,0.555036378,110211072,20,NA
9,25000,1000,75,7,kmeans++,mbkmeans,0.559933348,109472311.1,15,NA
10,25000,1000,75,7,kmeans++,mbkmeans,0.553964859,112615590.6,17,NA
1,25000,1000,75,8,kmeans++,mbkmeans,0.583179973,93975175.63,14,NA
2,25000,1000,75,8,kmeans++,mbkmeans,0.548263901,128787511.6,11,NA
3,25000,1000,75,8,kmeans++,mbkmeans,0.585486782,100232102.1,24,NA
4,25000,1000,75,8,kmeans++,mbkmeans,0.572892329,98058204.52,15,NA
