B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
1,1.00E+05,1000,75,2,kmeans++,hdf5,0.087200405,3638698828,24,NA
2,1.00E+05,1000,75,2,kmeans++,hdf5,0.087157549,3840064776,26,NA
3,1.00E+05,1000,75,2,kmeans++,hdf5,0.087525134,3564176591,17,NA
4,1.00E+05,1000,75,2,kmeans++,hdf5,0.087504752,3442501937,14,NA
5,1.00E+05,1000,75,2,kmeans++,hdf5,0.087867668,3469592910,27,NA
6,1.00E+05,1000,75,2,kmeans++,hdf5,0.087374978,3415687531,34,NA
7,1.00E+05,1000,75,2,kmeans++,hdf5,0.087172654,3582483873,22,NA
8,1.00E+05,1000,75,2,kmeans++,hdf5,0.085299067,3794984861,19,NA
9,1.00E+05,1000,75,2,kmeans++,hdf5,0.087717273,3544556428,21,NA
10,1.00E+05,1000,75,2,kmeans++,hdf5,0.122641512,3812119280,29,NA
1,1.00E+05,1000,75,3,kmeans++,hdf5,0.22474816,1604719605,11,NA
2,1.00E+05,1000,75,3,kmeans++,hdf5,0.224091581,1815252759,13,NA
3,1.00E+05,1000,75,3,kmeans++,hdf5,0.223037405,1712182636,17,NA
4,1.00E+05,1000,75,3,kmeans++,hdf5,0.223542263,1615971681,23,NA
5,1.00E+05,1000,75,3,kmeans++,hdf5,0.223626531,1672613092,12,NA
6,1.00E+05,1000,75,3,kmeans++,hdf5,0.224839212,1697334593,24,NA
7,1.00E+05,1000,75,3,kmeans++,hdf5,0.2241718,1642481220,14,NA
8,1.00E+05,1000,75,3,kmeans++,hdf5,0.224935624,1630559152,14,NA
9,1.00E+05,1000,75,3,kmeans++,hdf5,0.224853779,1568095621,13,NA
10,1.00E+05,1000,75,3,kmeans++,hdf5,0.222192707,1560996590,14,NA
1,1.00E+05,1000,75,4,kmeans++,hdf5,0.332586215,1290012985,15,NA
2,1.00E+05,1000,75,4,kmeans++,hdf5,0.347465606,1187756668,17,NA
3,1.00E+05,1000,75,4,kmeans++,hdf5,0.334305599,1196734336,22,NA
4,1.00E+05,1000,75,4,kmeans++,hdf5,0.336351755,1195054991,25,NA
5,1.00E+05,1000,75,4,kmeans++,hdf5,0.346827988,1181146459,30,NA
