B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
1,1.00E+05,1000,75,2,kmeans++,mbkmeans,0.088039527,3888253461,23,NA
2,1.00E+05,1000,75,2,kmeans++,mbkmeans,0.087317484,3684331452,15,NA
3,1.00E+05,1000,75,2,kmeans++,mbkmeans,0.087793683,3418929002,33,NA
4,1.00E+05,1000,75,2,kmeans++,mbkmeans,0.087050942,3716879404,43,NA
5,1.00E+05,1000,75,2,kmeans++,mbkmeans,0.087683852,3605732427,20,NA
6,1.00E+05,1000,75,2,kmeans++,mbkmeans,0.087970161,3732783662,35,NA
7,1.00E+05,1000,75,2,kmeans++,mbkmeans,0.088775001,3679410501,20,NA
8,1.00E+05,1000,75,2,kmeans++,mbkmeans,0.087154693,3661100238,24,NA
9,1.00E+05,1000,75,2,kmeans++,mbkmeans,0.114829096,3633735227,30,NA
10,1.00E+05,1000,75,2,kmeans++,mbkmeans,0.087374134,3610902010,32,NA
1,1.00E+05,1000,75,3,kmeans++,mbkmeans,0.221756323,1630597410,12,NA
2,1.00E+05,1000,75,3,kmeans++,mbkmeans,0.211534637,1721042124,24,NA
3,1.00E+05,1000,75,3,kmeans++,mbkmeans,0.213716931,1649731670,23,NA
4,1.00E+05,1000,75,3,kmeans++,mbkmeans,0.211286962,1712893450,13,NA
5,1.00E+05,1000,75,3,kmeans++,mbkmeans,0.214659596,1662336652,13,NA
6,1.00E+05,1000,75,3,kmeans++,mbkmeans,0.22114383,1830825693,28,NA
7,1.00E+05,1000,75,3,kmeans++,mbkmeans,0.224224906,1671581717,18,NA
8,1.00E+05,1000,75,3,kmeans++,mbkmeans,0.222028172,1678414375,22,NA
9,1.00E+05,1000,75,3,kmeans++,mbkmeans,0.217627624,1658389062,17,NA
10,1.00E+05,1000,75,3,kmeans++,mbkmeans,0.225343351,1649572248,32,NA
1,1.00E+05,1000,75,4,kmeans++,mbkmeans,0.337485368,1264321358,26,NA
2,1.00E+05,1000,75,4,kmeans++,mbkmeans,0.265366694,1352513074,23,NA
3,1.00E+05,1000,75,4,kmeans++,mbkmeans,0.343075846,1098890869,16,NA
