B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
1,25000,1000,75,2,kmeans++,mbkmeans,0.089077598,904500332.5,14,NA
2,25000,1000,75,2,kmeans++,mbkmeans,0.08687382,899183445.9,28,NA
3,25000,1000,75,2,kmeans++,mbkmeans,0.111379782,904865925,11,NA
4,25000,1000,75,2,kmeans++,mbkmeans,0.087099562,924696068.1,26,NA
5,25000,1000,75,2,kmeans++,mbkmeans,0.087810786,873135813.6,22,NA
6,25000,1000,75,2,kmeans++,mbkmeans,0.086349882,958486194.2,34,NA
7,25000,1000,75,2,kmeans++,mbkmeans,0.122055724,1114417386,35,NA
8,25000,1000,75,2,kmeans++,mbkmeans,0.088320337,885388172.4,29,NA
9,25000,1000,75,2,kmeans++,mbkmeans,0.086118329,912544472.8,18,NA
10,25000,1000,75,2,kmeans++,mbkmeans,0.087901553,924878768,28,NA
1,25000,1000,75,3,kmeans++,mbkmeans,0.224006673,399523009.8,16,NA
2,25000,1000,75,3,kmeans++,mbkmeans,0.217672115,412476137.5,20,NA
3,25000,1000,75,3,kmeans++,mbkmeans,0.221866943,396273443.9,29,NA
4,25000,1000,75,3,kmeans++,mbkmeans,0.214750718,418245904.9,22,NA
5,25000,1000,75,3,kmeans++,mbkmeans,0.22559128,420648199.8,21,NA
6,25000,1000,75,3,kmeans++,mbkmeans,0.223024084,402771674.9,14,NA
7,25000,1000,75,3,kmeans++,mbkmeans,0.220373155,435203827.2,29,NA
8,25000,1000,75,3,kmeans++,mbkmeans,0.220460546,428302643.2,34,NA
9,25000,1000,75,3,kmeans++,mbkmeans,0.224407141,435044355,36,NA
10,25000,1000,75,3,kmeans++,mbkmeans,0.224735496,420012342.8,16,NA
1,25000,1000,75,4,kmeans++,mbkmeans,0.344715048,284612707.3,21,NA
2,25000,1000,75,4,kmeans++,mbkmeans,0.347819339,282958700.2,26,NA
3,25000,1000,75,4,kmeans++,mbkmeans,0.261808897,307930963,30,NA
4,25000,1000,75,4,kmeans++,mbkmeans,0.340016062,301200057.4,20,NA
5,25000,1000,75,4,kmeans++,mbkmeans,0.343424228,295246451.2,16,NA
6,25000,1000,75,4,kmeans++,mbkmeans,0.331675463,299503877.4,30,NA
7,25000,1000,75,4,kmeans++,mbkmeans,0.346251712,283903667.1,17,NA
8,25000,1000,75,4,kmeans++,mbkmeans,0.324726111,298844362.2,17,NA
9,25000,1000,75,4,kmeans++,mbkmeans,0.34663053,300268055.7,15,NA
10,25000,1000,75,4,kmeans++,mbkmeans,0.343979106,302907410.3,25,NA
1,25000,1000,75,5,kmeans++,mbkmeans,0.421602977,198138615.1,27,NA
2,25000,1000,75,5,kmeans++,mbkmeans,0.411655199,208886211.3,15,NA
3,25000,1000,75,5,kmeans++,mbkmeans,0.391137462,207179713.6,21,NA
4,25000,1000,75,5,kmeans++,mbkmeans,0.416356803,189403385.2,39,NA
5,25000,1000,75,5,kmeans++,mbkmeans,0.416827316,197088850.9,26,NA
6,25000,1000,75,5,kmeans++,mbkmeans,0.39052598,201398892.5,17,NA
