B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
1,25000,1000,75,2,kmeans++,hdf5,0.087433327,903601774.5,18,NA
2,25000,1000,75,2,kmeans++,hdf5,0.088835983,917438388.7,23,NA
3,25000,1000,75,2,kmeans++,hdf5,0.088611263,852312065.4,27,NA
4,25000,1000,75,2,kmeans++,hdf5,0.087478081,908597154,27,NA
5,25000,1000,75,2,kmeans++,hdf5,0.087919228,914259418.3,15,NA
6,25000,1000,75,2,kmeans++,hdf5,0.086586629,869829484.3,30,NA
7,25000,1000,75,2,kmeans++,hdf5,0.13194877,1107858627,19,NA
8,25000,1000,75,2,kmeans++,hdf5,0.088756494,907132912,17,NA
9,25000,1000,75,2,kmeans++,hdf5,0.088430725,884644407.7,12,NA
10,25000,1000,75,2,kmeans++,hdf5,0.088102702,915820366.6,25,NA
1,25000,1000,75,3,kmeans++,hdf5,0.21696165,443529497.4,18,NA
2,25000,1000,75,3,kmeans++,hdf5,0.216093978,456699415.6,14,NA
3,25000,1000,75,3,kmeans++,hdf5,0.222660839,427636092.4,12,NA
4,25000,1000,75,3,kmeans++,hdf5,0.215714455,427824313.8,14,NA
5,25000,1000,75,3,kmeans++,hdf5,0.21435895,414472316.9,21,NA
6,25000,1000,75,3,kmeans++,hdf5,0.224770065,411247812.5,16,NA
7,25000,1000,75,3,kmeans++,hdf5,0.225478147,468913995.8,13,NA
8,25000,1000,75,3,kmeans++,hdf5,0.225524713,425606475,21,NA
9,25000,1000,75,3,kmeans++,hdf5,0.223285839,430545358.2,18,NA
10,25000,1000,75,3,kmeans++,hdf5,0.217233419,432823265.1,13,NA
1,25000,1000,75,4,kmeans++,hdf5,0.329776035,313295959.4,13,NA
2,25000,1000,75,4,kmeans++,hdf5,0.344128599,272248348.6,16,NA
3,25000,1000,75,4,kmeans++,hdf5,0.345384461,288264979.2,25,NA
4,25000,1000,75,4,kmeans++,hdf5,0.328125818,314762324.5,13,NA
5,25000,1000,75,4,kmeans++,hdf5,0.346345002,297055594.8,20,NA
6,25000,1000,75,4,kmeans++,hdf5,0.345417673,284773859,20,NA
7,25000,1000,75,4,kmeans++,hdf5,0.34663005,280461707.7,18,NA
8,25000,1000,75,4,kmeans++,hdf5,0.325806685,296649524.4,13,NA
9,25000,1000,75,4,kmeans++,hdf5,0.319120068,316903915.5,18,NA
10,25000,1000,75,4,kmeans++,hdf5,0.336676724,302926038,21,NA
1,25000,1000,75,5,kmeans++,hdf5,0.413395285,198754901.2,21,NA
2,25000,1000,75,5,kmeans++,hdf5,0.417225506,189112839.7,35,NA
3,25000,1000,75,5,kmeans++,hdf5,0.413554477,192391795.2,26,NA
4,25000,1000,75,5,kmeans++,hdf5,0.411061377,196037995.3,27,NA
5,25000,1000,75,5,kmeans++,hdf5,0.421197942,191448334.8,28,NA
6,25000,1000,75,5,kmeans++,hdf5,0.408073152,186984338.9,27,NA
7,25000,1000,75,5,kmeans++,hdf5,0.403094291,197842775,42,NA
8,25000,1000,75,5,kmeans++,hdf5,0.423145995,202322121.6,22,NA
9,25000,1000,75,5,kmeans++,hdf5,0.406265013,209564698.8,11,NA
10,25000,1000,75,5,kmeans++,hdf5,0.409841242,195097840.6,22,NA
1,25000,1000,75,6,kmeans++,hdf5,0.458972826,143807498.9,22,NA
2,25000,1000,75,6,kmeans++,hdf5,0.461191346,158583656.6,31,NA
3,25000,1000,75,6,kmeans++,hdf5,0.461264162,141771688.6,49,NA
4,25000,1000,75,6,kmeans++,hdf5,0.458125378,145319240.9,23,NA
5,25000,1000,75,6,kmeans++,hdf5,0.502628578,162547886.6,36,NA
6,25000,1000,75,6,kmeans++,hdf5,0.45886233,178809622,38,NA
7,25000,1000,75,6,kmeans++,hdf5,0.46031387,163085545.2,27,NA
8,25000,1000,75,6,kmeans++,hdf5,0.464277265,144319477.5,38,NA
9,25000,1000,75,6,kmeans++,hdf5,0.453344494,154239060.1,14,NA
10,25000,1000,75,6,kmeans++,hdf5,0.463678587,148626369.1,17,NA
1,25000,1000,75,7,kmeans++,hdf5,0.519132467,138416389,22,NA
2,25000,1000,75,7,kmeans++,hdf5,0.555895585,106208816.1,17,NA
3,25000,1000,75,7,kmeans++,hdf5,0.556464603,110002535.8,27,NA
4,25000,1000,75,7,kmeans++,hdf5,0.551813949,102498493.9,18,NA
5,25000,1000,75,7,kmeans++,hdf5,0.554114286,117716956.5,13,NA
6,25000,1000,75,7,kmeans++,hdf5,0.554562639,107104702.9,44,NA
7,25000,1000,75,7,kmeans++,hdf5,0.55412795,108597548.1,13,NA
8,25000,1000,75,7,kmeans++,hdf5,0.556840255,111485149.6,21,NA
9,25000,1000,75,7,kmeans++,hdf5,0.517643515,136129581.5,20,NA
10,25000,1000,75,7,kmeans++,hdf5,0.520962606,131858250.4,20,NA
1,25000,1000,75,8,kmeans++,hdf5,0.580523695,94644854.92,33,NA
2,25000,1000,75,8,kmeans++,hdf5,0.606249995,100516098.6,29,NA
3,25000,1000,75,8,kmeans++,hdf5,0.601420365,104214806.1,24,NA
4,25000,1000,75,8,kmeans++,hdf5,0.581705525,105535202.9,22,NA
