"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS","iterations","fault"
1,1e+05,1000,0.01,2,random,hdf5,0.0870187522425842,3807564085.50155,43,NA
2,1e+05,1000,0.01,2,random,hdf5,0.0872361235324713,3457732796.95157,18,NA
3,1e+05,1000,0.01,2,random,hdf5,0.0878350543056438,3743858368.1127,15,NA
4,1e+05,1000,0.01,2,random,hdf5,0.0878034697124244,3517552000.84853,35,NA
5,1e+05,1000,0.01,2,random,hdf5,0.0871604543945216,3500438435.59825,23,NA
6,1e+05,1000,0.01,2,random,hdf5,0.0879759796779574,3404513348.20707,26,NA
7,1e+05,1000,0.01,2,random,hdf5,0.109404421850376,3771814653.52294,20,NA
8,1e+05,1000,0.01,2,random,hdf5,0.0876257603682722,3314730431.45207,18,NA
9,1e+05,1000,0.01,2,random,hdf5,0.0877782955886796,3539151253.67092,14,NA
10,1e+05,1000,0.01,2,random,hdf5,0.0881237676970753,3266526152.72079,24,NA
1,1e+05,1000,0.01,3,random,hdf5,0.224622081457158,1588769236.59197,13,NA
2,1e+05,1000,0.01,3,random,hdf5,0.224102842431325,1576272043.26987,19,NA
3,1e+05,1000,0.01,3,random,hdf5,0.218090495510137,1581893101.4901,28,NA
4,1e+05,1000,0.01,3,random,hdf5,0.224683996975678,1635243407.11873,22,NA
5,1e+05,1000,0.01,3,random,hdf5,0.222178515171444,1750687516.87264,20,NA
6,1e+05,1000,0.01,3,random,hdf5,0.225436385510047,1660152015.85869,23,NA
7,1e+05,1000,0.01,3,random,hdf5,0.223854180130271,1691845921.00657,31,NA
8,1e+05,1000,0.01,3,random,hdf5,0.216690120933003,1748771798.8671,21,NA
9,1e+05,1000,0.01,3,random,hdf5,0.224081500767662,1659676187.93111,26,NA
10,1e+05,1000,0.01,3,random,hdf5,0.221284556895292,1616313049.2084,19,NA
1,1e+05,1000,0.01,4,random,hdf5,0.342329554048632,1172192706.82406,32,NA
2,1e+05,1000,0.01,4,random,hdf5,0.34693087716675,1092213493.26078,17,NA
3,1e+05,1000,0.01,4,random,hdf5,0.343888892901758,1179195836.55643,22,NA
4,1e+05,1000,0.01,4,random,hdf5,0.346781101105925,1125390648.05011,15,NA
5,1e+05,1000,0.01,4,random,hdf5,0.345778951087209,1166411341.77321,33,NA
6,1e+05,1000,0.01,4,random,hdf5,0.347349377017491,1104958372.35456,29,NA
7,1e+05,1000,0.01,4,random,hdf5,0.346324100424913,1118508941.82348,12,NA
8,1e+05,1000,0.01,4,random,hdf5,0.346349850929315,1139550616.01431,14,NA
9,1e+05,1000,0.01,4,random,hdf5,0.344781226072875,1146322797.59758,24,NA
10,1e+05,1000,0.01,4,random,hdf5,0.347112052265076,1122416974.61367,26,NA
1,1e+05,1000,0.01,5,random,hdf5,0.421493973987235,724430482.805993,19,NA
2,1e+05,1000,0.01,5,random,hdf5,0.422424434982458,723217654.789713,48,NA
3,1e+05,1000,0.01,5,random,hdf5,0.422178570687764,720092135.878083,21,NA
4,1e+05,1000,0.01,5,random,hdf5,0.422455094913513,739300184.609495,30,NA
5,1e+05,1000,0.01,5,random,hdf5,0.421154183141352,728420829.951764,20,NA
6,1e+05,1000,0.01,5,random,hdf5,0.41261227796527,780107732.574536,28,NA
7,1e+05,1000,0.01,5,random,hdf5,0.417224804931953,728401239.174314,27,NA
