"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS","iterations","fault"
1,1e+05,1000,0.01,2,random,kmeans,0.0876573527044592,3440361830.85133,1,0
2,1e+05,1000,0.01,2,random,kmeans,0.0875442298294349,3535429795.57726,1,0
3,1e+05,1000,0.01,2,random,kmeans,0.0874533546342885,3589001056.61897,1,0
4,1e+05,1000,0.01,2,random,kmeans,0.0882242106491408,3610397213.39052,1,0
5,1e+05,1000,0.01,2,random,kmeans,0.0874440566927546,3608623972.35997,1,0
6,1e+05,1000,0.01,2,random,kmeans,0.0877232803010072,3574728303.22031,1,0
7,1e+05,1000,0.01,2,random,kmeans,0.0881763169284785,3434500705.41397,1,0
8,1e+05,1000,0.01,2,random,kmeans,0.0884092481649537,3503483946.15629,1,0
9,1e+05,1000,0.01,2,random,kmeans,0.0876178688026535,3838835335.92644,1,0
10,1e+05,1000,0.01,2,random,kmeans,0.0880016455821781,3227948728.54443,1,0
1,1e+05,1000,0.01,3,random,kmeans,0.223854653355593,1633250637.64741,3,0
2,1e+05,1000,0.01,3,random,kmeans,0.224624065597874,1663600229.62478,3,0
3,1e+05,1000,0.01,3,random,kmeans,0.225270492070082,1586028356.94466,3,0
4,1e+05,1000,0.01,3,random,kmeans,0.22490573586443,1600970207.32947,3,0
5,1e+05,1000,0.01,3,random,kmeans,0.224945633704867,1687969290.42438,3,0
6,1e+05,1000,0.01,3,random,kmeans,0.217776294190867,1604274918.54282,3,0
7,1e+05,1000,0.01,3,random,kmeans,0.224469316782183,1611737030.53129,3,0
8,1e+05,1000,0.01,3,random,kmeans,0.224022391649065,1655944941.52863,2,0
9,1e+05,1000,0.01,3,random,kmeans,0.217689879733965,1727020310.29067,2,0
10,1e+05,1000,0.01,3,random,kmeans,0.224897056054961,1478559415.59971,2,0
1,1e+05,1000,0.01,4,random,kmeans,0.346257929174701,1146088395.77377,3,0
2,1e+05,1000,0.01,4,random,kmeans,0.343755237666156,1239448031.8654,3,0
3,1e+05,1000,0.01,4,random,kmeans,0.346358349640959,1164077893.70858,3,0
4,1e+05,1000,0.01,4,random,kmeans,0.346050969529479,1146938437.89494,4,0
5,1e+05,1000,0.01,4,random,kmeans,0.346786202772146,1176931451.81166,3,0
6,1e+05,1000,0.01,4,random,kmeans,0.346399736054343,1117977261.53673,3,0
7,1e+05,1000,0.01,4,random,kmeans,0.345126483665606,1166929489.39993,3,0
8,1e+05,1000,0.01,4,random,kmeans,0.346585765400637,1203597885.03729,3,0
9,1e+05,1000,0.01,4,random,kmeans,0.345273409183989,1153815981.99489,3,0
10,1e+05,1000,0.01,4,random,kmeans,0.331954848846159,1177760993.09713,3,0
1,1e+05,1000,0.01,5,random,kmeans,0.418955884532786,732325709.51895,4,0
2,1e+05,1000,0.01,5,random,kmeans,0.420901191154875,751835853.493584,4,0
3,1e+05,1000,0.01,5,random,kmeans,0.417523765923887,734072285.44197,4,0
4,1e+05,1000,0.01,5,random,kmeans,0.420078183367522,745271398.277707,4,0
5,1e+05,1000,0.01,5,random,kmeans,0.420962064795241,736450996.754429,4,0
6,1e+05,1000,0.01,5,random,kmeans,0.420689538069527,710722958.019346,3,0
7,1e+05,1000,0.01,5,random,kmeans,0.419408290065904,740738683.344463,4,0
8,1e+05,1000,0.01,5,random,kmeans,0.416538172799617,758723344.004057,4,0
9,1e+05,1000,0.01,5,random,kmeans,0.421867379787861,732853720.351847,5,0
10,1e+05,1000,0.01,5,random,kmeans,0.411251290651645,752134461.264942,3,0
1,1e+05,1000,0.01,6,random,kmeans,0.461885090026014,543661158.057353,3,0
2,1e+05,1000,0.01,6,random,kmeans,0.462135067800754,579271877.950314,4,0
3,1e+05,1000,0.01,6,random,kmeans,0.462547911301283,556403564.259207,3,0
4,1e+05,1000,0.01,6,random,kmeans,0.461995016463144,569282466.521558,3,0
5,1e+05,1000,0.01,6,random,kmeans,0.463239707368304,542807585.528922,4,0
6,1e+05,1000,0.01,6,random,kmeans,0.462697414873579,562090785.154236,4,0
7,1e+05,1000,0.01,6,random,kmeans,0.462338233721446,548706421.011067,3,0
8,1e+05,1000,0.01,6,random,kmeans,0.463004107455971,531808296.038517,3,0
