"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS","iterations","fault"
1,1e+05,1000,0.01,2,kmeans++,mbkmeans,0.0869002543164854,3455958690.04113,18,NA
2,1e+05,1000,0.01,2,kmeans++,mbkmeans,0.0870657922966885,3238450373.37443,18,NA
3,1e+05,1000,0.01,2,kmeans++,mbkmeans,0.0873694117994974,3564900678.25799,54,NA
4,1e+05,1000,0.01,2,kmeans++,mbkmeans,0.0868172636289688,3559255254.96544,12,NA
5,1e+05,1000,0.01,2,kmeans++,mbkmeans,0.0871557385392164,3548332441.56747,19,NA
6,1e+05,1000,0.01,2,kmeans++,mbkmeans,0.0879118186156487,3488896757.34901,36,NA
7,1e+05,1000,0.01,2,kmeans++,mbkmeans,0.0875690296808392,3593341662.34006,21,NA
8,1e+05,1000,0.01,2,kmeans++,mbkmeans,0.0866909986664916,3794346572.36065,41,NA
9,1e+05,1000,0.01,2,kmeans++,mbkmeans,0.0870608288349732,3505522262.70728,27,NA
10,1e+05,1000,0.01,2,kmeans++,mbkmeans,0.104730738783848,3697291821.72207,19,NA
1,1e+05,1000,0.01,3,kmeans++,mbkmeans,0.223454200836208,1632458680.48256,24,NA
2,1e+05,1000,0.01,3,kmeans++,mbkmeans,0.217351714614365,1669572841.6527,13,NA
3,1e+05,1000,0.01,3,kmeans++,mbkmeans,0.224849879267008,1652944963.8603,20,NA
4,1e+05,1000,0.01,3,kmeans++,mbkmeans,0.223651356591851,1609870641.46463,22,NA
5,1e+05,1000,0.01,3,kmeans++,mbkmeans,0.216325804489102,1647623831.66624,31,NA
6,1e+05,1000,0.01,3,kmeans++,mbkmeans,0.22502701611071,1727722633.01195,20,NA
7,1e+05,1000,0.01,3,kmeans++,mbkmeans,0.224176094530497,1618354584.67763,14,NA
8,1e+05,1000,0.01,3,kmeans++,mbkmeans,0.224857413043261,1694191154.8372,17,NA
9,1e+05,1000,0.01,3,kmeans++,mbkmeans,0.216382460555234,1716581111.39835,31,NA
10,1e+05,1000,0.01,3,kmeans++,mbkmeans,0.222917753123529,1594550389.56313,35,NA
1,1e+05,1000,0.01,4,kmeans++,mbkmeans,0.345437354087517,1144057585.64488,21,NA
2,1e+05,1000,0.01,4,kmeans++,mbkmeans,0.346906276966343,1167395404.11403,26,NA
3,1e+05,1000,0.01,4,kmeans++,mbkmeans,0.346699262026191,1163650740.74914,14,NA
