B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
1,1.00E+05,1000,0.001,2,random,hdf5,0.087035107,3698537211,21,NA
2,1.00E+05,1000,0.001,2,random,hdf5,0.08767852,3620325369,28,NA
3,1.00E+05,1000,0.001,2,random,hdf5,0.115567975,3682634738,19,NA
4,1.00E+05,1000,0.001,2,random,hdf5,0.086978046,3729458213,27,NA
5,1.00E+05,1000,0.001,2,random,hdf5,0.083219124,3831142598,19,NA
6,1.00E+05,1000,0.001,2,random,hdf5,0.087129905,3720761569,18,NA
7,1.00E+05,1000,0.001,2,random,hdf5,0.087177938,3720896783,25,NA
8,1.00E+05,1000,0.001,2,random,hdf5,0.086972957,3704457874,17,NA
9,1.00E+05,1000,0.001,2,random,hdf5,0.094983517,3777979899,16,NA
10,1.00E+05,1000,0.001,2,random,hdf5,0.088527945,3662244653,16,NA
1,1.00E+05,1000,0.001,3,random,hdf5,0.213903504,1680970107,12,NA
2,1.00E+05,1000,0.001,3,random,hdf5,0.225994125,1665813329,24,NA
3,1.00E+05,1000,0.001,3,random,hdf5,0.221155249,1668068506,23,NA
4,1.00E+05,1000,0.001,3,random,hdf5,0.2137138,1785947883,12,NA
5,1.00E+05,1000,0.001,3,random,hdf5,0.225226293,1839257952,26,NA
6,1.00E+05,1000,0.001,3,random,hdf5,0.224805292,1628228009,30,NA
7,1.00E+05,1000,0.001,3,random,hdf5,0.225606966,1619828367,11,NA
8,1.00E+05,1000,0.001,3,random,hdf5,0.224285991,1882990077,31,NA
9,1.00E+05,1000,0.001,3,random,hdf5,0.220917961,1720288437,13,NA
10,1.00E+05,1000,0.001,3,random,hdf5,0.222397973,1710923517,26,NA
1,1.00E+05,1000,0.001,4,random,hdf5,0.268658546,1231526935,18,NA
2,1.00E+05,1000,0.001,4,random,hdf5,0.344416367,1159162868,16,NA
3,1.00E+05,1000,0.001,4,random,hdf5,0.321304065,1136605309,14,NA
4,1.00E+05,1000,0.001,4,random,hdf5,0.269759733,1248220165,13,NA
5,1.00E+05,1000,0.001,4,random,hdf5,0.338190526,1244955286,27,NA
6,1.00E+05,1000,0.001,4,random,hdf5,0.343761026,1201406067,23,NA
7,1.00E+05,1000,0.001,4,random,hdf5,0.338920049,1173947501,21,NA
8,1.00E+05,1000,0.001,4,random,hdf5,0.344900935,1134216140,17,NA
9,1.00E+05,1000,0.001,4,random,hdf5,0.267434134,1292450987,20,NA
10,1.00E+05,1000,0.001,4,random,hdf5,0.260636496,1308610153,32,NA
1,1.00E+05,1000,0.001,5,random,hdf5,0.405131871,747399318.8,22,NA
2,1.00E+05,1000,0.001,5,random,hdf5,0.411775366,762241249.1,14,NA
3,1.00E+05,1000,0.001,5,random,hdf5,0.419537835,898408355.5,29,NA
4,1.00E+05,1000,0.001,5,random,hdf5,0.418881577,748359816.4,18,NA
5,1.00E+05,1000,0.001,5,random,hdf5,0.41776974,717544161.5,23,NA
6,1.00E+05,1000,0.001,5,random,hdf5,0.409956962,811617090.2,27,NA
7,1.00E+05,1000,0.001,5,random,hdf5,0.406971807,779916217.5,27,NA
8,1.00E+05,1000,0.001,5,random,hdf5,0.413914569,775341558.3,19,NA
9,1.00E+05,1000,0.001,5,random,hdf5,0.420252837,770472016.4,31,NA
10,1.00E+05,1000,0.001,5,random,hdf5,0.42344236,781581254.6,20,NA
1,1.00E+05,1000,0.001,6,random,hdf5,0.457679668,598377753.9,20,NA
2,1.00E+05,1000,0.001,6,random,hdf5,0.462587216,564156218.5,26,NA
3,1.00E+05,1000,0.001,6,random,hdf5,0.460459845,593840550.2,21,NA
4,1.00E+05,1000,0.001,6,random,hdf5,0.460589784,592410603.6,21,NA
5,1.00E+05,1000,0.001,6,random,hdf5,0.46053189,600556098.4,27,NA
6,1.00E+05,1000,0.001,6,random,hdf5,0.460714989,623038980.8,18,NA
7,1.00E+05,1000,0.001,6,random,hdf5,0.458758335,584456857.9,22,NA
8,1.00E+05,1000,0.001,6,random,hdf5,0.462280975,577166579.4,15,NA
9,1.00E+05,1000,0.001,6,random,hdf5,0.50068623,601370454.8,24,NA
