B,observations,genes,batch_size,k,initializer,method,memory
1,1.00E+05,1000,0.001,2,random,mbkmeans,1276.126645
1,1.00E+05,1000,0.001,3,random,mbkmeans,1291.501935
1,1.00E+05,1000,0.001,4,random,mbkmeans,1262.532407
1,1.00E+05,1000,0.001,5,random,mbkmeans,1295.492696
1,1.00E+05,1000,0.001,6,random,mbkmeans,1274.933438
1,1.00E+05,1000,0.001,7,random,mbkmeans,1307.893575
1,1.00E+05,1000,0.001,8,random,mbkmeans,1275.86585
1,1.00E+05,1000,0.001,9,random,mbkmeans,1293.535062
1,1.00E+05,1000,0.001,10,random,mbkmeans,1251.567937
1,1.00E+05,1000,0.001,11,random,mbkmeans,1287.586392
1,1.00E+05,1000,0.001,12,random,mbkmeans,1298.374158
1,1.00E+05,1000,0.001,13,random,mbkmeans,1309.04482
1,1.00E+05,1000,0.001,14,random,mbkmeans,1309.121114
1,1.00E+05,1000,0.001,15,random,mbkmeans,1278.747251
1,1.00E+05,1000,0.001,16,random,mbkmeans,1309.413755
1,1.00E+05,1000,0.001,17,random,mbkmeans,1294.971562
1,1.00E+05,1000,0.001,18,random,mbkmeans,1309.582273
1,1.00E+05,1000,0.001,19,random,mbkmeans,1300.491422
1,1.00E+05,1000,0.001,20,random,mbkmeans,1294.458829
1,1.00E+05,1000,0.2,2,random,mbkmeans,1739.800193
1,1.00E+05,1000,0.2,3,random,mbkmeans,1739.807235
1,1.00E+05,1000,0.2,4,random,mbkmeans,1739.815192
1,1.00E+05,1000,0.2,5,random,mbkmeans,1739.823493
1,1.00E+05,1000,0.2,6,random,mbkmeans,1739.830466
1,1.00E+05,1000,0.2,7,random,mbkmeans,1739.837439
1,1.00E+05,1000,0.2,8,random,mbkmeans,1739.846053
1,1.00E+05,1000,0.2,9,random,mbkmeans,1739.865531
1,1.00E+05,1000,0.2,10,random,mbkmeans,1739.861014
1,1.00E+05,1000,0.2,11,random,mbkmeans,1739.868316
1,1.00E+05,1000,0.2,12,random,mbkmeans,1739.877196
1,1.00E+05,1000,0.2,13,random,mbkmeans,1739.884559
1,1.00E+05,1000,0.2,14,random,mbkmeans,1739.89186
1,1.00E+05,1000,0.2,15,random,mbkmeans,1739.899756
1,1.00E+05,1000,0.2,16,random,mbkmeans,1739.906463
1,1.00E+05,1000,0.2,17,random,mbkmeans,1739.914748
1,1.00E+05,1000,0.2,18,random,mbkmeans,1739.921782
1,1.00E+05,1000,0.2,19,random,mbkmeans,1739.943465
1,1.00E+05,1000,0.2,20,random,mbkmeans,1739.937369
