"B","observations","genes","batch_size","k","initializer","method","memory"
1,1e+05,1000,75,2,kmeans++,kmeans,7245.54185927374
1,1e+05,1000,75,3,kmeans++,kmeans,7245.62637007728
1,1e+05,1000,75,4,kmeans++,kmeans,7239.88722668407
1,1e+05,1000,75,5,kmeans++,kmeans,7239.94139538544
1,1e+05,1000,75,6,kmeans++,kmeans,7244.02807295211
1,1e+05,1000,75,7,kmeans++,kmeans,7245.96352828167
1,1e+05,1000,75,8,kmeans++,kmeans,7240.10179577667
1,1e+05,1000,75,9,kmeans++,kmeans,7246.13436568466
1,1e+05,1000,75,10,kmeans++,kmeans,7246.21828902482
1,1e+05,1000,75,11,kmeans++,kmeans,7246.30215132982
1,1e+05,1000,75,12,kmeans++,kmeans,7246.38613570514
1,1e+05,1000,75,13,kmeans++,kmeans,7246.46999801014
1,1e+05,1000,75,14,kmeans++,kmeans,7240.43837414708
1,1e+05,1000,75,15,kmeans++,kmeans,5716.94649371125
1,1e+05,1000,75,16,kmeans++,kmeans,7246.72243941734
1,1e+05,1000,75,17,kmeans++,kmeans,7240.585194216
1,1e+05,1000,75,18,kmeans++,kmeans,7240.63866101307
1,1e+05,1000,75,19,kmeans++,kmeans,7246.97668136166
1,1e+05,1000,75,20,kmeans++,kmeans,7240.76051770298
1,1e+05,1000,500,2,kmeans++,kmeans,7245.54179823858
1,1e+05,1000,500,3,kmeans++,kmeans,7245.62637007728
1,1e+05,1000,500,4,kmeans++,kmeans,7245.71046126412
1,1e+05,1000,500,5,kmeans++,kmeans,7245.79568160135
1,1e+05,1000,500,6,kmeans++,kmeans,7239.99396954336
1,1e+05,1000,500,7,kmeans++,kmeans,6473.38401944994
1,1e+05,1000,500,8,kmeans++,kmeans,7246.04784835035
1,1e+05,1000,500,9,kmeans++,kmeans,7240.15660534719
1,1e+05,1000,500,10,kmeans++,kmeans,7246.21828902482
1,1e+05,1000,500,11,kmeans++,kmeans,7246.30215132982
1,1e+05,1000,500,12,kmeans++,kmeans,7246.38607466998
1,1e+05,1000,500,13,kmeans++,kmeans,5716.82448443345
1,1e+05,1000,500,14,kmeans++,kmeans,7246.55398238546
1,1e+05,1000,500,15,kmeans++,kmeans,7246.63790572562
1,1e+05,1000,500,16,kmeans++,kmeans,7246.7225004525
1,1e+05,1000,500,17,kmeans++,kmeans,7240.59999524144
1,1e+05,1000,500,18,kmeans++,kmeans,7246.8924833633
1,1e+05,1000,500,19,kmeans++,kmeans,7240.69224988046
1,1e+05,1000,500,20,kmeans++,kmeans,7247.06081832487
1,1e+05,1000,1000,2,kmeans++,kmeans,7245.54185927374
1,1e+05,1000,1000,3,kmeans++,kmeans,7245.62643111243
1,1e+05,1000,1000,4,kmeans++,kmeans,7239.88728771922
1,1e+05,1000,1000,5,kmeans++,kmeans,7245.79574263651
1,1e+05,1000,1000,6,kmeans++,kmeans,7245.87966597667
1,1e+05,1000,1000,7,kmeans++,kmeans,7245.96358931683
1,1e+05,1000,1000,8,kmeans++,kmeans,7240.10173474152
1,1e+05,1000,1000,9,kmeans++,kmeans,7244.28228437885
1,1e+05,1000,1000,10,kmeans++,kmeans,6473.45341642285
1,1e+05,1000,1000,11,kmeans++,kmeans,7244.45019209433
1,1e+05,1000,1000,12,kmeans++,kmeans,7246.38607466998
1,1e+05,1000,1000,13,kmeans++,kmeans,7238.23936138245
1,1e+05,1000,1000,14,kmeans++,kmeans,7240.42363415679
1,1e+05,1000,1000,15,kmeans++,kmeans,6473.56791837641
1,1e+05,1000,1000,16,kmeans++,kmeans,7246.72243941734
1,1e+05,1000,1000,17,kmeans++,kmeans,7240.64909802483
1,1e+05,1000,1000,18,kmeans++,kmeans,6473.63713224386
1,1e+05,1000,1000,19,kmeans++,kmeans,7246.97668136166
1,1e+05,1000,1000,20,kmeans++,kmeans,7240.74577771269
