"B","observations","genes","batch_size","k","initializer","method","memory"
1,1e+05,1000,0.01,2,random,mbkmeans,1510.90411183371
1,1e+05,1000,0.01,3,random,mbkmeans,1510.88708302505
1,1e+05,1000,0.01,4,random,mbkmeans,1510.93379017855
1,1e+05,1000,0.01,5,random,mbkmeans,1510.95672413859
1,1e+05,1000,0.01,6,random,mbkmeans,1510.97961232227
1,1e+05,1000,0.01,7,random,mbkmeans,1511.00217244199
1,1e+05,1000,0.01,8,random,mbkmeans,1511.02532765448
1,1e+05,1000,0.01,9,random,mbkmeans,1511.04869649001
1,1e+05,1000,0.01,10,random,mbkmeans,1511.07125660973
1,1e+05,1000,0.01,11,random,mbkmeans,1511.09408375825
1,1e+05,1000,0.01,12,random,mbkmeans,1511.11697194193
1,1e+05,1000,0.01,13,random,mbkmeans,1511.13986012561
1,1e+05,1000,0.01,14,random,mbkmeans,1511.0550212581
1,1e+05,1000,0.01,15,random,mbkmeans,1511.07054707603
1,1e+05,1000,0.01,16,random,mbkmeans,1511.20825764784
1,1e+05,1000,0.01,17,random,mbkmeans,1511.23132893699
1,1e+05,1000,0.01,18,random,mbkmeans,1511.2548732486
1,1e+05,1000,0.01,19,random,mbkmeans,1511.27710530435
1,1e+05,1000,0.01,20,random,mbkmeans,1511.14669606314
1,1e+05,1000,0.1,2,random,mbkmeans,1510.80386921858
