"B","observations","genes","batch_size","k","initializer","method","memory"
1,25000,1000,75,2,kmeans++,kmeans,2079.36394521364
1,25000,1000,75,3,kmeans++,kmeans,1889.77081248015
1,25000,1000,75,4,kmeans++,kmeans,2079.47119924236
1,25000,1000,75,5,kmeans++,kmeans,2079.52536794374
1,25000,1000,75,6,kmeans++,kmeans,2080.74638387852
1,25000,1000,75,7,kmeans++,kmeans,2079.63211843242
1,25000,1000,75,8,kmeans++,kmeans,1889.70394083683
1,25000,1000,75,9,kmeans++,kmeans,2081.00065634041
1,25000,1000,75,10,kmeans++,kmeans,2079.79475423626
1,25000,1000,75,11,kmeans++,kmeans,1890.38494822465
1,25000,1000,75,12,kmeans++,kmeans,1890.46124217025
1,25000,1000,75,13,kmeans++,kmeans,2081.33634970105
1,25000,1000,75,14,kmeans++,kmeans,1890.61389109661
1,25000,1000,75,15,kmeans++,kmeans,2081.50419638137
1,25000,1000,75,16,kmeans++,kmeans,2080.11478444987
1,25000,1000,75,17,kmeans++,kmeans,2080.16916677429
1,25000,1000,75,18,kmeans++,kmeans,2081.75840780811
1,25000,1000,75,19,kmeans++,kmeans,2080.27622243876
1,25000,1000,500,2,kmeans++,kmeans,2079.3640062488
1,25000,1000,500,3,kmeans++,kmeans,2079.41770192771
1,25000,1000,500,4,kmeans++,kmeans,2080.58284780612
1,25000,1000,500,5,kmeans++,kmeans,2079.52530690858
1,25000,1000,500,6,kmeans++,kmeans,2079.57877370566
1,25000,1000,500,7,kmeans++,kmeans,2079.63217946758
1,25000,1000,500,8,kmeans++,kmeans,1890.15386912222
1,25000,1000,500,10,kmeans++,kmeans,2079.79475423626
1,25000,1000,500,11,kmeans++,kmeans,1890.38500925981
1,25000,1000,500,12,kmeans++,kmeans,2079.90079519125
1,25000,1000,500,13,kmeans++,kmeans,1890.32763621272
1,25000,1000,500,14,kmeans++,kmeans,1890.61389109661
1,25000,1000,500,15,kmeans++,kmeans,2080.06178304586
1,25000,1000,500,16,kmeans++,kmeans,1890.76708933937
1,25000,1000,500,17,kmeans++,kmeans,2080.91741964576
1,25000,1000,500,18,kmeans++,kmeans,1890.56679484399
1,25000,1000,500,19,kmeans++,kmeans,2080.27622243876
1,25000,1000,500,20,kmeans++,kmeans,1891.07452342256
1,25000,1000,1000,2,kmeans++,kmeans,2079.3640062488
1,25000,1000,1000,3,kmeans++,kmeans,2079.41776296286
1,25000,1000,1000,4,kmeans++,kmeans,1889.59969278956
1,25000,1000,1000,5,kmeans++,kmeans,2079.52619954775
1,25000,1000,1000,6,kmeans++,kmeans,2079.5787126705
1,25000,1000,1000,7,kmeans++,kmeans,1890.07720896568
1,25000,1000,1000,8,kmeans++,kmeans,1890.15380808706
1,25000,1000,1000,9,kmeans++,kmeans,2079.74057790549
1,25000,1000,1000,10,kmeans++,kmeans,1889.82808634511
1,25000,1000,1000,11,kmeans++,kmeans,2079.84738942933
1,25000,1000,1000,12,kmeans++,kmeans,2079.90079519125
1,25000,1000,1000,13,kmeans++,kmeans,1890.53753611585
1,25000,1000,1000,14,kmeans++,kmeans,1890.418677778
1,25000,1000,1000,15,kmeans++,kmeans,2081.50960562211
1,25000,1000,1000,16,kmeans++,kmeans,1890.76708933937
1,25000,1000,1000,17,kmeans++,kmeans,2081.67430136248
1,25000,1000,1000,18,kmeans++,kmeans,2080.22269460652
1,25000,1000,1000,19,kmeans++,kmeans,2080.2761614036
1,25000,1000,1000,20,kmeans++,kmeans,2081.96137259159
1,1e+05,1000,75,2,kmeans++,kmeans,7246.12600386822
1,1e+05,1000,75,3,kmeans++,kmeans,7246.21057570692
1,1e+05,1000,75,4,kmeans++,kmeans,7246.29466689376
