B,observations,genes,batch_size,k,initializer,method,memory
1,25000,1000,75,2,kmeans++,hdf5,932.2054707
1,25000,1000,75,3,kmeans++,hdf5,932.2131612
1,25000,1000,75,4,kmeans++,hdf5,932.2207295
1,25000,1000,75,5,kmeans++,hdf5,946.5647085
1,25000,1000,75,6,kmeans++,hdf5,932.2360494
1,25000,1000,75,7,kmeans++,hdf5,932.2436787
1,25000,1000,75,8,kmeans++,hdf5,1008.012844
1,25000,1000,75,9,kmeans++,hdf5,932.2589375
1,25000,1000,75,10,kmeans++,hdf5,933.3957173
1,25000,1000,75,11,kmeans++,hdf5,932.2741963
1,25000,1000,75,12,kmeans++,hdf5,964.2773779
1,25000,1000,75,13,kmeans++,hdf5,932.2894551
1,25000,1000,75,14,kmeans++,hdf5,932.2970845
1,25000,1000,75,15,kmeans++,hdf5,932.3047139
1,25000,1000,75,16,kmeans++,hdf5,932.3122823
1,25000,1000,75,17,kmeans++,hdf5,932.3199727
1,25000,1000,75,18,kmeans++,hdf5,932.3276021
1,25000,1000,75,19,kmeans++,hdf5,932.3352315
1,25000,1000,75,20,kmeans++,hdf5,932.3428609
1,25000,1000,500,2,kmeans++,hdf5,962.976856
1,25000,1000,500,3,kmeans++,hdf5,891.1275974
1,25000,1000,500,4,kmeans++,hdf5,891.1275974
1,25000,1000,500,5,kmeans++,hdf5,891.061832
1,25000,1000,500,6,kmeans++,hdf5,955.3324697
1,25000,1000,500,7,kmeans++,hdf5,941.2264745
1,25000,1000,500,8,kmeans++,hdf5,890.1569858
1,25000,1000,500,9,kmeans++,hdf5,890.4689365
1,25000,1000,500,10,kmeans++,hdf5,891.2614322
1,25000,1000,500,11,kmeans++,hdf5,891.1276584
1,25000,1000,500,12,kmeans++,hdf5,891.2614322
1,25000,1000,500,13,kmeans++,hdf5,891.1276584
1,25000,1000,500,14,kmeans++,hdf5,891.1589618
1,25000,1000,500,15,kmeans++,hdf5,890.3540149
1,25000,1000,500,16,kmeans++,hdf5,892.9169193
1,25000,1000,500,17,kmeans++,hdf5,933.6279256
1,25000,1000,500,18,kmeans++,hdf5,891.1054797
1,25000,1000,500,19,kmeans++,hdf5,890.3188358
1,25000,1000,500,20,kmeans++,hdf5,890.3038669
1,25000,1000,1000,2,kmeans++,hdf5,942.0302465
1,25000,1000,1000,3,kmeans++,hdf5,894.7455783
1,25000,1000,1000,4,kmeans++,hdf5,863.2277788
1,25000,1000,1000,5,kmeans++,hdf5,895.6904712
1,25000,1000,1000,6,kmeans++,hdf5,889.2130237
1,25000,1000,1000,7,kmeans++,hdf5,864.7692064
1,25000,1000,1000,8,kmeans++,hdf5,864.7692064
1,25000,1000,1000,9,kmeans++,hdf5,882.8503604
1,25000,1000,1000,10,kmeans++,hdf5,932.255222
1,25000,1000,1000,11,kmeans++,hdf5,938.8259847
1,25000,1000,1000,12,kmeans++,hdf5,1029.972332
1,25000,1000,1000,13,kmeans++,hdf5,863.2277178
1,25000,1000,1000,14,kmeans++,hdf5,863.2277788
1,25000,1000,1000,15,kmeans++,hdf5,864.4726824
1,25000,1000,1000,16,kmeans++,hdf5,942.0537755
1,25000,1000,1000,17,kmeans++,hdf5,933.1541402
1,25000,1000,1000,18,kmeans++,hdf5,870.9342989
1,25000,1000,1000,19,kmeans++,hdf5,884.0588031
1,25000,1000,1000,20,kmeans++,hdf5,864.6354326
