B,observations,genes,batch_size,k,initializer,method,memory
1,1.00E+05,1000,75,2,kmeans++,mbkmeans,1910.856094
1,1.00E+05,1000,75,3,kmeans++,mbkmeans,1903.969596
1,1.00E+05,1000,75,4,kmeans++,mbkmeans,1906.265205
1,1.00E+05,1000,75,5,kmeans++,mbkmeans,1907.987342
1,1.00E+05,1000,75,6,kmeans++,mbkmeans,1907.478355
1,1.00E+05,1000,75,7,kmeans++,mbkmeans,1907.412025
1,1.00E+05,1000,75,8,kmeans++,mbkmeans,1907.987342
1,1.00E+05,1000,75,9,kmeans++,mbkmeans,1909.135208
1,1.00E+05,1000,75,10,kmeans++,mbkmeans,1917.167213
1,1.00E+05,1000,75,11,kmeans++,mbkmeans,1914.975097
1,1.00E+05,1000,75,12,kmeans++,mbkmeans,1908.097869
1,1.00E+05,1000,75,13,kmeans++,mbkmeans,1913.84288
1,1.00E+05,1000,75,14,kmeans++,mbkmeans,1910.981758
1,1.00E+05,1000,75,15,kmeans++,mbkmeans,1915.444686
1,1.00E+05,1000,75,16,kmeans++,mbkmeans,1920.035904
1,1.00E+05,1000,75,17,kmeans++,mbkmeans,1921.757118
1,1.00E+05,1000,75,18,kmeans++,mbkmeans,1907.986419
1,1.00E+05,1000,75,19,kmeans++,mbkmeans,1910.446228
1,1.00E+05,1000,75,20,kmeans++,mbkmeans,1909.70829
1,1.00E+05,1000,500,2,kmeans++,mbkmeans,2033.182465
1,1.00E+05,1000,500,3,kmeans++,mbkmeans,1991.185806
1,1.00E+05,1000,500,4,kmeans++,mbkmeans,1995.054008
1,1.00E+05,1000,500,5,kmeans++,mbkmeans,1998.822815
1,1.00E+05,1000,500,6,kmeans++,mbkmeans,2086.632279
1,1.00E+05,1000,500,7,kmeans++,mbkmeans,1998.821831
1,1.00E+05,1000,500,8,kmeans++,mbkmeans,2010.276298
1,1.00E+05,1000,500,9,kmeans++,mbkmeans,2010.275047
1,1.00E+05,1000,500,10,kmeans++,mbkmeans,2059.906357
1,1.00E+05,1000,500,11,kmeans++,mbkmeans,1975.914413
1,1.00E+05,1000,500,12,kmeans++,mbkmeans,2014.093552
1,1.00E+05,1000,500,13,kmeans++,mbkmeans,2033.182793
1,1.00E+05,1000,500,14,kmeans++,mbkmeans,2014.093552
1,1.00E+05,1000,500,15,kmeans++,mbkmeans,2048.454453
1,1.00E+05,1000,500,16,kmeans++,mbkmeans,1995.00431
1,1.00E+05,1000,500,17,kmeans++,mbkmeans,2036.999268
1,1.00E+05,1000,500,18,kmeans++,mbkmeans,2063.726235
1,1.00E+05,1000,500,19,kmeans++,mbkmeans,2018.075539
1,1.00E+05,1000,500,20,kmeans++,mbkmeans,2010.275703
1,1.00E+05,1000,1000,2,kmeans++,mbkmeans,2120.956589
1,1.00E+05,1000,1000,3,kmeans++,mbkmeans,2128.590714
1,1.00E+05,1000,1000,4,kmeans++,mbkmeans,2288.963716
1,1.00E+05,1000,1000,5,kmeans++,mbkmeans,2136.224572
1,1.00E+05,1000,1000,6,kmeans++,mbkmeans,2166.763306
1,1.00E+05,1000,1000,7,kmeans++,mbkmeans,2182.032273
1,1.00E+05,1000,1000,8,kmeans++,mbkmeans,2159.12793
1,1.00E+05,1000,1000,9,kmeans++,mbkmeans,2120.955994
1,1.00E+05,1000,1000,10,kmeans++,mbkmeans,2090.418511
1,1.00E+05,1000,1000,11,kmeans++,mbkmeans,2151.492821
1,1.00E+05,1000,1000,12,kmeans++,mbkmeans,2151.493477
1,1.00E+05,1000,1000,13,kmeans++,mbkmeans,2220.202569
1,1.00E+05,1000,1000,14,kmeans++,mbkmeans,2342.354142
1,1.00E+05,1000,1000,15,kmeans++,mbkmeans,2121.089676
1,1.00E+05,1000,1000,16,kmeans++,mbkmeans,2266.15191
1,1.00E+05,1000,1000,17,kmeans++,mbkmeans,2159.126946
1,1.00E+05,1000,1000,18,kmeans++,mbkmeans,2266.010865
1,1.00E+05,1000,1000,19,kmeans++,mbkmeans,2166.76265
1,1.00E+05,1000,1000,20,kmeans++,mbkmeans,2128.590447
