"B","observations","genes","batch_size","k","initializer","method","memory"
1,25000,1000,75,2,kmeans++,mbkmeans,959.322620192183
1,25000,1000,75,3,kmeans++,mbkmeans,959.365192213828
1,25000,1000,75,4,kmeans++,mbkmeans,957.60250452408
1,25000,1000,75,5,kmeans++,mbkmeans,954.731998226642
1,25000,1000,75,6,kmeans++,mbkmeans,955.30674340703
1,25000,1000,75,7,kmeans++,mbkmeans,957.919925484749
1,25000,1000,75,8,kmeans++,mbkmeans,958.750308788659
1,25000,1000,75,9,kmeans++,mbkmeans,961.043735310973
1,25000,1000,75,10,kmeans++,mbkmeans,957.028766423774
1,25000,1000,75,11,kmeans++,mbkmeans,961.04406337494
1,25000,1000,75,12,kmeans++,mbkmeans,961.045261189886
1,25000,1000,75,13,kmeans++,mbkmeans,961.04379634613
1,25000,1000,75,14,kmeans++,mbkmeans,961.044124410096
1,25000,1000,75,15,kmeans++,mbkmeans,960.4699514343
1,25000,1000,75,16,kmeans++,mbkmeans,958.174487863638
1,25000,1000,75,17,kmeans++,mbkmeans,959.793727676869
1,25000,1000,75,18,kmeans++,mbkmeans,961.044276997987
1,25000,1000,75,19,kmeans++,mbkmeans,953.584583061185
1,25000,1000,75,20,kmeans++,mbkmeans,961.045200154729
1,25000,1000,500,2,kmeans++,mbkmeans,845.182132091167
1,25000,1000,500,3,kmeans++,mbkmeans,849.042826990969
1,25000,1000,500,4,kmeans++,mbkmeans,833.727999967926
1,25000,1000,500,5,kmeans++,mbkmeans,845.181933726908
1,25000,1000,500,6,kmeans++,mbkmeans,883.357242098304
1,25000,1000,500,7,kmeans++,mbkmeans,864.271373190933
1,25000,1000,500,8,kmeans++,mbkmeans,845.180621471044
1,25000,1000,500,9,kmeans++,mbkmeans,845.183505382188
1,25000,1000,500,10,kmeans++,mbkmeans,879.541034198181
1,25000,1000,500,11,kmeans++,mbkmeans,875.723514042194
1,25000,1000,500,12,kmeans++,mbkmeans,845.184100474963
1,25000,1000,500,13,kmeans++,mbkmeans,894.814616714233
1,25000,1000,500,14,kmeans++,mbkmeans,856.635913262258
1,25000,1000,500,15,kmeans++,mbkmeans,860.452121162381
1,25000,1000,500,16,kmeans++,mbkmeans,868.088801794186
1,25000,1000,500,17,kmeans++,mbkmeans,868.087817602287
1,25000,1000,500,18,kmeans++,mbkmeans,864.758014122943
1,25000,1000,500,20,kmeans++,mbkmeans,944.445766193251
1,25000,1000,1000,2,kmeans++,mbkmeans,955.863727356883
1,25000,1000,1000,3,kmeans++,mbkmeans,841.348506283263
1,25000,1000,1000,4,kmeans++,mbkmeans,841.348445248107
1,25000,1000,1000,5,kmeans++,mbkmeans,841.348445248107
1,25000,1000,1000,6,kmeans++,mbkmeans,841.349162411196
1,25000,1000,1000,7,kmeans++,mbkmeans,841.348117184141
1,25000,1000,1000,8,kmeans++,mbkmeans,841.348506283263
1,25000,1000,1000,9,kmeans++,mbkmeans,841.348506283263
1,25000,1000,1000,10,kmeans++,mbkmeans,841.348178219297
1,25000,1000,1000,11,kmeans++,mbkmeans,955.865299012163
1,25000,1000,1000,12,kmeans++,mbkmeans,841.348445248107
1,25000,1000,1000,13,kmeans++,mbkmeans,841.348773312073
1,25000,1000,1000,14,kmeans++,mbkmeans,841.348178219297
1,25000,1000,1000,15,kmeans++,mbkmeans,841.348178219297
1,25000,1000,1000,17,kmeans++,mbkmeans,841.34883434723
1,25000,1000,1000,18,kmeans++,mbkmeans,841.34883434723
1,25000,1000,1000,19,kmeans++,mbkmeans,955.866283204061
1,25000,1000,1000,20,kmeans++,mbkmeans,955.865802552204
1,1e+05,1000,75,2,kmeans++,mbkmeans,1910.30311541397
1,1e+05,1000,75,3,kmeans++,mbkmeans,1909.73075060468
1,1e+05,1000,75,4,kmeans++,mbkmeans,1909.15537218454
1,1e+05,1000,75,5,kmeans++,mbkmeans,1910.87724261339
1,1e+05,1000,75,6,kmeans++,mbkmeans,1911.45091967854
1,1e+05,1000,75,7,kmeans++,mbkmeans,1914.89275318761
1,1e+05,1000,75,8,kmeans++,mbkmeans,1914.89406544347
1,1e+05,1000,75,9,kmeans++,mbkmeans,1913.26075702667
1,1e+05,1000,75,11,kmeans++,mbkmeans,1913.17153888669
1,1e+05,1000,75,12,kmeans++,mbkmeans,1909.15701250437
1,1e+05,1000,75,13,kmeans++,mbkmeans,1914.31967121523
1,1e+05,1000,75,14,kmeans++,mbkmeans,1912.02406268608
1,1e+05,1000,75,15,kmeans++,mbkmeans,1909.72862963299
1,1e+05,1000,75,16,kmeans++,mbkmeans,1913.1727901074
1,1e+05,1000,75,17,kmeans++,mbkmeans,1911.45065264974
1,1e+05,1000,75,19,kmeans++,mbkmeans,1920.63144644654
1,1e+05,1000,75,20,kmeans++,mbkmeans,1909.15734056834
1,1e+05,1000,500,2,kmeans++,mbkmeans,2007.05274193822
1,1e+05,1000,500,3,kmeans++,mbkmeans,1991.78174578692
1,1e+05,1000,500,4,kmeans++,mbkmeans,2041.46411902102
1,1e+05,1000,500,5,kmeans++,mbkmeans,2026.14323425869
1,1e+05,1000,500,6,kmeans++,mbkmeans,2010.87157435007
1,1e+05,1000,500,8,kmeans++,mbkmeans,2026.14329529385
1,1e+05,1000,500,9,kmeans++,mbkmeans,1999.41764059109
1,1e+05,1000,500,10,kmeans++,mbkmeans,1984.14559158334
1,1e+05,1000,500,11,kmeans++,mbkmeans,2083.40988181336
1,1e+05,1000,500,12,kmeans++,mbkmeans,1995.7109145029
1,1e+05,1000,500,13,kmeans++,mbkmeans,2014.68975063399
1,1e+05,1000,500,14,kmeans++,mbkmeans,2037.59716801767
1,1e+05,1000,500,15,kmeans++,mbkmeans,2014.68843837812
1,1e+05,1000,500,16,kmeans++,mbkmeans,2026.14198303798
1,1e+05,1000,500,17,kmeans++,mbkmeans,2049.0500565496
1,1e+05,1000,500,18,kmeans++,mbkmeans,2029.9611435138
1,1e+05,1000,500,19,kmeans++,mbkmeans,2045.23063667437
1,1e+05,1000,500,20,kmeans++,mbkmeans,2026.14296722988
1,1e+05,1000,1000,2,kmeans++,mbkmeans,2091.01248193966
1,1e+05,1000,1000,3,kmeans++,mbkmeans,2083.37992881032
1,1e+05,1000,1000,4,kmeans++,mbkmeans,2106.28274566908
1,1e+05,1000,1000,5,kmeans++,mbkmeans,2098.64704159978
1,1e+05,1000,1000,6,kmeans++,mbkmeans,2167.35646110919
1,1e+05,1000,1000,7,kmeans++,mbkmeans,2213.16523813728
1,1e+05,1000,1000,8,kmeans++,mbkmeans,2243.70311056681
1,1e+05,1000,1000,9,kmeans++,mbkmeans,2175.08094081359
1,1e+05,1000,1000,10,kmeans++,mbkmeans,2266.60509582157
1,1e+05,1000,1000,11,kmeans++,mbkmeans,2144.55832717318
1,1e+05,1000,1000,12,kmeans++,mbkmeans,2213.16431498054
1,1e+05,1000,1000,13,kmeans++,mbkmeans,2220.79942395706
1,1e+05,1000,1000,14,kmeans++,mbkmeans,2152.0885396039
1,1e+05,1000,1000,15,kmeans++,mbkmeans,2281.87406255391
1,1e+05,1000,1000,16,kmeans++,mbkmeans,2220.7989433052
1,1e+05,1000,1000,17,kmeans++,mbkmeans,2213.16529917243
1,1e+05,1000,1000,18,kmeans++,mbkmeans,2205.52986213194
1,1e+05,1000,1000,19,kmeans++,mbkmeans,2281.87489415792
