"B","observations","genes","batch_size","k","initializer","method","memory"
1,25000,1000,75,2,kmeans++,hdf5,932.79059189396
1,25000,1000,75,3,kmeans++,hdf5,932.798160253363
1,25000,1000,75,4,kmeans++,hdf5,932.80585068308
1,25000,1000,75,5,kmeans++,hdf5,932.81348007764
1,25000,1000,75,6,kmeans++,hdf5,932.821048437043
1,25000,1000,75,7,kmeans++,hdf5,932.82873886676
1,25000,1000,75,8,kmeans++,hdf5,932.83636826132
1,25000,1000,75,10,kmeans++,hdf5,932.851566015283
1,25000,1000,75,11,kmeans++,hdf5,932.859256445
1,25000,1000,75,12,kmeans++,hdf5,932.86688583956
1,25000,1000,75,13,kmeans++,hdf5,932.874454198963
1,25000,1000,75,14,kmeans++,hdf5,932.882083593523
1,25000,1000,75,15,kmeans++,hdf5,932.88977402324
1,25000,1000,75,16,kmeans++,hdf5,932.8974034178
1,25000,1000,75,17,kmeans++,hdf5,938.491939266518
1,25000,1000,75,18,kmeans++,hdf5,932.91239517811
1,25000,1000,75,19,kmeans++,hdf5,965.350475134332
1,25000,1000,75,20,kmeans++,hdf5,932.92792099604
1,25000,1000,500,3,kmeans++,hdf5,893.315845041105
1,25000,1000,500,4,kmeans++,hdf5,893.316920785738
1,25000,1000,500,5,kmeans++,hdf5,950.212390665665
1,25000,1000,500,6,kmeans++,hdf5,922.803210874879
1,25000,1000,500,7,kmeans++,hdf5,894.15333131135
1,25000,1000,500,8,kmeans++,hdf5,894.436206373452
1,25000,1000,500,10,kmeans++,hdf5,914.340167630097
1,25000,1000,500,11,kmeans++,hdf5,909.348567574666
1,25000,1000,500,12,kmeans++,hdf5,956.040057923954
1,25000,1000,500,14,kmeans++,hdf5,928.123157183989
1,25000,1000,500,15,kmeans++,hdf5,894.466128858916
1,25000,1000,500,16,kmeans++,hdf5,893.327533273571
1,25000,1000,500,17,kmeans++,hdf5,951.033466108213
1,25000,1000,500,18,kmeans++,hdf5,904.050433704603
1,25000,1000,500,19,kmeans++,hdf5,969.803577262929
1,25000,1000,500,20,kmeans++,hdf5,906.010974483475
1,25000,1000,1000,2,kmeans++,hdf5,932.398303684474
1,25000,1000,1000,3,kmeans++,hdf5,861.716143994293
1,25000,1000,1000,4,kmeans++,hdf5,905.451770379806
1,25000,1000,1000,5,kmeans++,hdf5,899.795932345797
1,25000,1000,1000,6,kmeans++,hdf5,867.983622960782
1,25000,1000,1000,7,kmeans++,hdf5,866.668040680433
1,25000,1000,1000,8,kmeans++,hdf5,948.343044039969
1,25000,1000,1000,9,kmeans++,hdf5,988.297946839457
1,25000,1000,1000,10,kmeans++,hdf5,861.716143994293
1,25000,1000,1000,11,kmeans++,hdf5,981.484905126772
1,25000,1000,1000,12,kmeans++,hdf5,866.468493865717
1,25000,1000,1000,13,kmeans++,hdf5,905.451770379806
1,25000,1000,1000,14,kmeans++,hdf5,905.451442315839
1,25000,1000,1000,15,kmeans++,hdf5,886.717097762821
1,25000,1000,1000,16,kmeans++,hdf5,1030.66165549519
1,25000,1000,1000,17,kmeans++,hdf5,935.571002671039
1,25000,1000,1000,18,kmeans++,hdf5,1030.67685324915
1,25000,1000,1000,19,kmeans++,hdf5,879.385653948572
1,1e+05,1000,75,2,kmeans++,hdf5,2279.30777836455
1,1e+05,1000,75,3,kmeans++,hdf5,2274.74138735613
1,1e+05,1000,75,4,kmeans++,hdf5,2270.17493531256
1,1e+05,1000,75,5,kmeans++,hdf5,2288.47889045966
1,1e+05,1000,75,6,kmeans++,hdf5,2288.48651985422
1,1e+05,1000,75,7,kmeans++,hdf5,2315.93863787759
1,1e+05,1000,75,8,kmeans++,hdf5,2325.09443014842
1,1e+05,1000,75,9,kmeans++,hdf5,2274.78716372349
1,1e+05,1000,75,10,kmeans++,hdf5,2251.92438592738
1,1e+05,1000,75,11,kmeans++,hdf5,2274.80242251261
1,1e+05,1000,75,12,kmeans++,hdf5,2352.56943635547
1,1e+05,1000,75,13,kmeans++,hdf5,2274.81768130173
1,1e+05,1000,75,14,kmeans++,hdf5,2297.69571788697
1,1e+05,1000,75,15,kmeans++,hdf5,2265.68477721458
1,1e+05,1000,75,16,kmeans++,hdf5,2247.3960808566
1,1e+05,1000,75,18,kmeans++,hdf5,2316.02250018259
1,1e+05,1000,75,19,kmeans++,hdf5,2293.15978342163
1,1e+05,1000,75,20,kmeans++,hdf5,2256.57470027596
1,1e+05,1000,500,2,kmeans++,hdf5,2333.06789514429
1,1e+05,1000,500,3,kmeans++,hdf5,2365.10471472302
1,1e+05,1000,500,4,kmeans++,hdf5,2333.25892755467
1,1e+05,1000,500,5,kmeans++,hdf5,2312.74804796078
1,1e+05,1000,500,7,kmeans++,hdf5,2376.21460093432
1,1e+05,1000,500,9,kmeans++,hdf5,2255.70998469653
1,1e+05,1000,500,10,kmeans++,hdf5,2257.76264278532
1,1e+05,1000,500,11,kmeans++,hdf5,2251.70610131962
1,1e+05,1000,500,12,kmeans++,hdf5,2357.47990542915
1,1e+05,1000,500,13,kmeans++,hdf5,2364.58111700376
1,1e+05,1000,500,14,kmeans++,hdf5,2365.18837103437
1,1e+05,1000,500,15,kmeans++,hdf5,2320.87854878488
1,1e+05,1000,500,16,kmeans++,hdf5,2387.36275618873
1,1e+05,1000,500,17,kmeans++,hdf5,2329.30782432934
1,1e+05,1000,500,18,kmeans++,hdf5,2364.38413366562
1,1e+05,1000,500,19,kmeans++,hdf5,2376.30615366904
1,1e+05,1000,500,20,kmeans++,hdf5,2357.47757083441
1,1e+05,1000,1000,2,kmeans++,hdf5,2289.81157784261
1,1e+05,1000,1000,3,kmeans++,hdf5,2341.61721158275
1,1e+05,1000,1000,4,kmeans++,hdf5,2284.39817145014
1,1e+05,1000,1000,6,kmeans++,hdf5,2288.77275184993
1,1e+05,1000,1000,7,kmeans++,hdf5,2384.80423109364
1,1e+05,1000,1000,8,kmeans++,hdf5,2322.92023580429
1,1e+05,1000,1000,9,kmeans++,hdf5,2285.55587103946
1,1e+05,1000,1000,10,kmeans++,hdf5,2285.5582056342
1,1e+05,1000,1000,11,kmeans++,hdf5,2284.39939978266
1,1e+05,1000,1000,12,kmeans++,hdf5,2285.55697730168
1,1e+05,1000,1000,13,kmeans++,hdf5,2293.89921671299
1,1e+05,1000,1000,14,kmeans++,hdf5,2285.55703833683
1,1e+05,1000,1000,15,kmeans++,hdf5,2298.05924327896
1,1e+05,1000,1000,16,kmeans++,hdf5,2289.80924324787
1,1e+05,1000,1000,17,kmeans++,hdf5,2284.40167334224
1,1e+05,1000,1000,18,kmeans++,hdf5,2283.49725439352
1,1e+05,1000,1000,19,kmeans++,hdf5,2316.17609515387
1,1e+05,1000,1000,20,kmeans++,hdf5,2289.83043770596
