"B","observations","genes","batch_size","k","initializer","method","memory"
1,1e+05,1000,0.01,2,random,hdf5,935.080486006593
1,1e+05,1000,0.01,3,random,hdf5,934.988910383689
1,1e+05,1000,0.01,4,random,hdf5,935.095744795713
1,1e+05,1000,0.01,5,random,hdf5,935.103496260586
1,1e+05,1000,0.01,6,random,hdf5,935.011798567369
1,1e+05,1000,0.01,7,random,hdf5,935.118755049706
1,1e+05,1000,0.01,8,random,hdf5,935.126384444266
1,1e+05,1000,0.01,9,random,hdf5,935.134013838826
1,1e+05,1000,0.01,10,random,hdf5,935.141643233386
1,1e+05,1000,0.01,11,random,hdf5,935.149272627946
1,1e+05,1000,0.01,12,random,hdf5,935.156902022506
1,1e+05,1000,0.01,13,random,hdf5,935.164531417066
1,1e+05,1000,0.01,14,random,hdf5,935.172099776469
1,1e+05,1000,0.01,15,random,hdf5,935.080463118409
1,1e+05,1000,0.01,16,random,hdf5,935.088031477813
1,1e+05,1000,0.01,17,random,hdf5,935.195048995306
1,1e+05,1000,0.01,18,random,hdf5,935.202678389866
1,1e+05,1000,0.01,19,random,hdf5,935.210307784426
1,1e+05,1000,0.01,20,random,hdf5,935.118610091209
1,1e+05,1000,0.1,2,random,hdf5,935.080608076906
1,1e+05,1000,0.1,3,random,hdf5,935.088237471466
1,1e+05,1000,0.1,4,random,hdf5,935.095866866026
1,1e+05,1000,0.1,5,random,hdf5,935.103496260586
1,1e+05,1000,0.1,6,random,hdf5,935.161311812561
1,1e+05,1000,0.1,7,random,hdf5,935.118755049706
1,1e+05,1000,0.1,8,random,hdf5,935.126384444266
1,1e+05,1000,0.1,9,random,hdf5,935.134013838826
1,1e+05,1000,0.1,10,random,hdf5,935.141582198229
1,1e+05,1000,0.1,11,random,hdf5,935.149211592789
1,1e+05,1000,0.1,12,random,hdf5,935.156902022506
1,1e+05,1000,0.1,13,random,hdf5,935.164409346753
1,1e+05,1000,0.1,14,random,hdf5,935.172160811626
1,1e+05,1000,0.1,15,random,hdf5,935.179790206186
1,1e+05,1000,0.1,16,random,hdf5,935.187419600746
1,1e+05,1000,0.1,17,random,hdf5,935.194926924993
1,1e+05,1000,0.1,18,random,hdf5,935.202678389866
1,1e+05,1000,0.1,19,random,hdf5,935.210307784426
1,1e+05,1000,0.1,20,random,hdf5,935.217815108673
