"B","observations","genes","batch_size","k","initializer","method","memory"
1,1e+05,1000,0.01,2,random,mbkmeans,1510.88831898697
1,1e+05,1000,0.01,3,random,mbkmeans,1510.91084095971
1,1e+05,1000,0.01,4,random,mbkmeans,1510.90228077901
1,1e+05,1000,0.01,5,random,mbkmeans,1510.91757008571
1,1e+05,1000,0.01,6,random,mbkmeans,1510.97928425831
1,1e+05,1000,0.01,7,random,mbkmeans,1511.00250050595
1,1e+05,1000,0.01,8,random,mbkmeans,1510.96373555219
1,1e+05,1000,0.01,9,random,mbkmeans,1510.97866627735
1,1e+05,1000,0.01,10,random,mbkmeans,1510.99398610162
1,1e+05,1000,0.01,11,random,mbkmeans,1511.09414479341
1,1e+05,1000,0.01,12,random,mbkmeans,1511.02450367986
1,1e+05,1000,0.01,13,random,mbkmeans,1511.03976246898
1,1e+05,1000,0.01,14,random,mbkmeans,1511.16248128048
1,1e+05,1000,0.01,15,random,mbkmeans,1511.07028004722
1,1e+05,1000,0.01,16,random,mbkmeans,1511.20891377577
1,1e+05,1000,0.01,17,random,mbkmeans,1511.23198506492
1,1e+05,1000,0.01,18,random,mbkmeans,1511.11611744974
1,1e+05,1000,0.01,19,random,mbkmeans,1511.13143727402
1,1e+05,1000,0.01,20,random,mbkmeans,1511.14697072134
1,1e+05,1000,0.1,2,random,mbkmeans,1510.80315968489
1,1e+05,1000,0.1,3,random,mbkmeans,1510.8118419359
1,1e+05,1000,0.1,4,random,mbkmeans,1510.81914326649
1,1e+05,1000,0.1,5,random,mbkmeans,1510.84224507322
1,1e+05,1000,0.1,6,random,mbkmeans,1510.83507344233
1,1e+05,1000,0.1,7,random,mbkmeans,1510.84329792967
1,1e+05,1000,0.1,8,random,mbkmeans,1510.85059926026
1,1e+05,1000,0.1,9,random,mbkmeans,1510.85864827152
1,1e+05,1000,0.1,10,random,mbkmeans,1510.86562153815
1,1e+05,1000,0.1,11,random,mbkmeans,1510.87286183359
1,1e+05,1000,0.1,12,random,mbkmeans,1510.88120839124
1,1e+05,1000,0.1,13,random,mbkmeans,1510.9013118459
