B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.001,2,random,kmeans,7246.059292,10,1
1,1.00E+05,1000,0.001,3,random,kmeans,7246.279225,10,1
1,1.00E+05,1000,0.001,4,random,kmeans,7242.502377,10,1
1,1.00E+05,1000,0.001,5,random,kmeans,7246.448598,10,1
1,1.00E+05,1000,0.001,6,random,kmeans,7246.532521,10,1
1,1.00E+05,1000,0.001,7,random,kmeans,7246.616383,10,1
1,1.00E+05,1000,0.001,8,random,kmeans,7240.69447,10,1
1,1.00E+05,1000,0.001,9,random,kmeans,7240.74928,10,1
1,1.00E+05,1000,0.001,10,random,kmeans,7246.871144,10,1
1,1.00E+05,1000,0.001,11,random,kmeans,7246.955067,10,1
1,1.00E+05,1000,0.001,12,random,kmeans,7240.909497,10,1
1,1.00E+05,1000,0.001,13,random,kmeans,7245.270894,10,1
1,1.00E+05,1000,0.001,14,random,kmeans,6474.077394,10,1
1,1.00E+05,1000,0.001,15,random,kmeans,7247.290761,10,1
1,1.00E+05,1000,0.001,16,random,kmeans,7241.123425,10,1
1,1.00E+05,1000,0.001,17,random,kmeans,7247.461201,10,1
1,1.00E+05,1000,0.001,18,random,kmeans,7245.687482,10,1
1,1.00E+05,1000,0.001,19,random,kmeans,7247.633145,10,1
1,1.00E+05,1000,0.001,20,random,kmeans,7247.713612,10,1
1,1.00E+05,1000,0.2,2,random,kmeans,7246.059231,10,1
1,1.00E+05,1000,0.2,3,random,kmeans,7246.279225,10,1
1,1.00E+05,1000,0.2,4,random,kmeans,7246.363377,10,1
1,1.00E+05,1000,0.2,5,random,kmeans,7240.53407,10,1
1,1.00E+05,1000,0.2,6,random,kmeans,7246.53246,10,1
1,1.00E+05,1000,0.2,7,random,kmeans,6473.916505,10,1
1,1.00E+05,1000,0.2,8,random,kmeans,7240.69447,10,1
1,1.00E+05,1000,0.2,9,random,kmeans,7246.787221,10,1
1,1.00E+05,1000,0.2,10,random,kmeans,7246.871144,10,1
1,1.00E+05,1000,0.2,11,random,kmeans,7242.986035,10,1
1,1.00E+05,1000,0.2,12,random,kmeans,7247.038991,10,1
1,1.00E+05,1000,0.2,13,random,kmeans,7247.122853,10,1
1,1.00E+05,1000,0.2,14,random,kmeans,7241.016308,10,1
1,1.00E+05,1000,0.2,15,random,kmeans,7241.069653,10,1
1,1.00E+05,1000,0.2,16,random,kmeans,7247.375355,10,1
1,1.00E+05,1000,0.2,17,random,kmeans,7241.177868,10,1
1,1.00E+05,1000,0.2,18,random,kmeans,7247.545399,10,1
1,1.00E+05,1000,0.2,19,random,kmeans,7247.629536,10,1
1,1.00E+05,1000,0.2,20,random,kmeans,7247.713612,10,1
