B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.001,2,random,mbkmeans,1137.20287,10,1
1,1.00E+05,1000,0.001,2,random,mbkmeans,1129.970089,1,1
1,1.00E+05,1000,0.001,3,random,mbkmeans,1137.286931,10,1
1,1.00E+05,1000,0.001,3,random,mbkmeans,1129.985356,1,1
1,1.00E+05,1000,0.001,4,random,mbkmeans,1137.370854,10,1
1,1.00E+05,1000,0.001,4,random,mbkmeans,1130.000615,1,1
1,1.00E+05,1000,0.001,5,random,mbkmeans,1137.45493,10,1
1,1.00E+05,1000,0.001,6,random,mbkmeans,1137.538853,10,1
1,1.00E+05,1000,0.001,5,random,mbkmeans,1130.015828,1,1
1,1.00E+05,1000,0.001,7,random,mbkmeans,1137.622777,10,1
1,1.00E+05,1000,0.001,6,random,mbkmeans,1130.031147,1,1
1,1.00E+05,1000,0.001,8,random,mbkmeans,1137.706639,10,1
1,1.00E+05,1000,0.001,7,random,mbkmeans,1130.046406,1,1
1,1.00E+05,1000,0.001,9,random,mbkmeans,1137.790867,10,1
1,1.00E+05,1000,0.001,8,random,mbkmeans,1130.824658,1,1
1,1.00E+05,1000,0.001,10,random,mbkmeans,1137.874852,10,1
1,1.00E+05,1000,0.001,11,random,mbkmeans,1137.958775,10,1
1,1.00E+05,1000,0.001,9,random,mbkmeans,1130.076893,1,1
1,1.00E+05,1000,0.001,12,random,mbkmeans,1138.042698,10,1
1,1.00E+05,1000,0.001,10,random,mbkmeans,1130.092213,1,1
1,1.00E+05,1000,0.001,13,random,mbkmeans,1138.126622,10,1
1,1.00E+05,1000,0.001,14,random,mbkmeans,1138.210545,10,1
1,1.00E+05,1000,0.001,11,random,mbkmeans,1130.107472,1,1
1,1.00E+05,1000,0.001,15,random,mbkmeans,1138.294468,10,1
1,1.00E+05,1000,0.001,12,random,mbkmeans,1130.12267,1,1
1,1.00E+05,1000,0.001,16,random,mbkmeans,1138.378392,10,1
1,1.00E+05,1000,0.001,17,random,mbkmeans,1138.462925,10,1
1,1.00E+05,1000,0.001,13,random,mbkmeans,1130.137928,1,1
1,1.00E+05,1000,0.001,18,random,mbkmeans,1138.546788,10,1
1,1.00E+05,1000,0.001,14,random,mbkmeans,1130.153248,1,1
1,1.00E+05,1000,0.001,19,random,mbkmeans,1138.630772,10,1
1,1.00E+05,1000,0.001,20,random,mbkmeans,1138.714695,10,1
1,1.00E+05,1000,0.001,15,random,mbkmeans,1131.049618,1,1
1,1.00E+05,1000,0.2,2,random,mbkmeans,1434.54302,10,1
1,1.00E+05,1000,0.001,16,random,mbkmeans,1130.183766,1,1
1,1.00E+05,1000,0.2,3,random,mbkmeans,1434.558286,10,1
1,1.00E+05,1000,0.001,17,random,mbkmeans,1130.199086,1,1
1,1.00E+05,1000,0.2,4,random,mbkmeans,1434.573545,10,1
1,1.00E+05,1000,0.001,18,random,mbkmeans,1130.214344,1,1
1,1.00E+05,1000,0.2,5,random,mbkmeans,1434.58888,10,1
1,1.00E+05,1000,0.001,19,random,mbkmeans,1130.229603,1,1
1,1.00E+05,1000,0.2,6,random,mbkmeans,1434.604078,10,1
1,1.00E+05,1000,0.001,20,random,mbkmeans,1130.244801,1,1
1,1.00E+05,1000,0.2,2,random,mbkmeans,1281.870893,1,1
1,1.00E+05,1000,0.2,7,random,mbkmeans,1434.619398,10,1
1,1.00E+05,1000,0.2,3,random,mbkmeans,1281.88622,1,1
1,1.00E+05,1000,0.2,8,random,mbkmeans,1434.634596,10,1
1,1.00E+05,1000,0.2,4,random,mbkmeans,1281.901479,1,1
1,1.00E+05,1000,0.2,5,random,mbkmeans,1281.916753,1,1
1,1.00E+05,1000,0.2,9,random,mbkmeans,1434.649946,10,1
1,1.00E+05,1000,0.2,6,random,mbkmeans,1281.932012,1,1
1,1.00E+05,1000,0.2,10,random,mbkmeans,1435.505842,10,1
1,1.00E+05,1000,0.2,7,random,mbkmeans,1281.94727,1,1
1,1.00E+05,1000,0.2,8,random,mbkmeans,1281.962529,1,1
1,1.00E+05,1000,0.2,11,random,mbkmeans,1434.680402,10,1
1,1.00E+05,1000,0.2,9,random,mbkmeans,1281.977819,1,1
1,1.00E+05,1000,0.2,12,random,mbkmeans,1434.695722,10,1
1,1.00E+05,1000,0.2,10,random,mbkmeans,1281.993016,1,1
1,1.00E+05,1000,0.2,11,random,mbkmeans,1282.008336,1,1
