B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.01,2,random,hdf5,935.0808827,10,1
1,1.00E+05,1000,0.01,3,random,hdf5,935.0885121,10,1
1,1.00E+05,1000,0.01,4,random,hdf5,935.0961415,10,1
1,1.00E+05,1000,0.01,5,random,hdf5,935.1037709,10,1
1,1.00E+05,1000,0.01,6,random,hdf5,935.1114003,10,1
1,1.00E+05,1000,0.01,7,random,hdf5,935.1190297,10,1
1,1.00E+05,1000,0.01,8,random,hdf5,935.1266591,10,1
1,1.00E+05,1000,0.01,9,random,hdf5,935.1342885,10,1
1,1.00E+05,1000,0.01,10,random,hdf5,935.1419179,10,1
1,1.00E+05,1000,0.01,11,random,hdf5,935.1494252,10,1
1,1.00E+05,1000,0.01,12,random,hdf5,935.0577275,10,1
1,1.00E+05,1000,0.01,13,random,hdf5,935.1648061,10,1
1,1.00E+05,1000,0.01,14,random,hdf5,935.1723744,10,1
1,1.00E+05,1000,0.01,15,random,hdf5,935.0807912,10,1
1,1.00E+05,1000,0.01,16,random,hdf5,935.1876943,10,1
1,1.00E+05,1000,0.01,17,random,hdf5,935.1953237,10,1
1,1.00E+05,1000,0.01,18,random,hdf5,935.202953,10,1
1,1.00E+05,1000,0.01,19,random,hdf5,935.2104604,10,1
1,1.00E+05,1000,0.01,20,random,hdf5,935.2180898,10,1
1,1.00E+05,1000,0.1,2,random,hdf5,935.0808827,10,1
1,1.00E+05,1000,0.1,3,random,hdf5,935.1386983,10,1
1,1.00E+05,1000,0.1,4,random,hdf5,935.1463277,10,1
1,1.00E+05,1000,0.1,5,random,hdf5,935.1037709,10,1
1,1.00E+05,1000,0.1,6,random,hdf5,935.1112782,10,1
1,1.00E+05,1000,0.1,7,random,hdf5,935.1692159,10,1
1,1.00E+05,1000,0.1,8,random,hdf5,935.1767232,10,1
1,1.00E+05,1000,0.1,9,random,hdf5,935.1844747,10,1
1,1.00E+05,1000,0.1,10,random,hdf5,935.1419179,10,1
1,1.00E+05,1000,0.1,11,random,hdf5,935.1997334,10,1
1,1.00E+05,1000,0.1,12,random,hdf5,935.1571767,10,1
1,1.00E+05,1000,0.1,13,random,hdf5,935.2149922,10,1
1,1.00E+05,1000,0.1,14,random,hdf5,935.1724355,10,1
1,1.00E+05,1000,0.1,15,random,hdf5,935.1800649,10,1
1,1.00E+05,1000,0.1,16,random,hdf5,935.1876943,10,1
1,1.00E+05,1000,0.1,17,random,hdf5,935.1953237,10,1
1,1.00E+05,1000,0.1,18,random,hdf5,935.2530782,10,1
1,1.00E+05,1000,0.1,19,random,hdf5,935.2105214,10,1
1,1.00E+05,1000,0.1,20,random,hdf5,935.2180898,10,1
