B,observations,genes,batch_size,k,initializer,method,memory
1,1.00E+05,1000,0.001,2,random,hdf5,935.0797002
1,1.00E+05,1000,0.001,3,random,hdf5,839.9576524
1,1.00E+05,1000,0.001,4,random,hdf5,934.9955098
1,1.00E+05,1000,0.001,5,random,hdf5,935.1025884
1,1.00E+05,1000,0.001,6,random,hdf5,935.1100957
1,1.00E+05,1000,0.001,7,random,hdf5,935.1178472
1,1.00E+05,1000,0.001,8,random,hdf5,935.0262029
1,1.00E+05,1000,0.001,9,random,hdf5,935.1330449
1,1.00E+05,1000,0.001,10,random,hdf5,935.1406133
1,1.00E+05,1000,0.001,11,random,hdf5,935.0517079
1,1.00E+05,1000,0.001,12,random,hdf5,935.1559331
1,1.00E+05,1000,0.001,13,random,hdf5,935.0641744
1,1.00E+05,1000,0.001,14,random,hdf5,935.1712529
1,1.00E+05,1000,0.001,15,random,hdf5,935.1788823
1,1.00E+05,1000,0.001,16,random,hdf5,935.1864507
1,1.00E+05,1000,0.001,17,random,hdf5,935.194019
1,1.00E+05,1000,0.001,18,random,hdf5,935.2017705
1,1.00E+05,1000,0.001,19,random,hdf5,935.2093999
1,1.00E+05,1000,0.001,20,random,hdf5,935.1175801
1,1.00E+05,1000,0.2,2,random,hdf5,935.3016087
1,1.00E+05,1000,0.2,3,random,hdf5,935.4073369
1,1.00E+05,1000,0.2,4,random,hdf5,935.334316
1,1.00E+05,1000,0.2,5,random,hdf5,935.3279988
1,1.00E+05,1000,0.2,6,random,hdf5,935.3530766
1,1.00E+05,1000,0.2,7,random,hdf5,935.3466985
1,1.00E+05,1000,0.2,8,random,hdf5,935.3446919
1,1.00E+05,1000,0.2,9,random,hdf5,935.4613454
1,1.00E+05,1000,0.2,10,random,hdf5,935.3649785
1,1.00E+05,1000,0.2,11,random,hdf5,935.3854482
1,1.00E+05,1000,0.2,12,random,hdf5,935.4877355
1,1.00E+05,1000,0.2,13,random,hdf5,935.389034
1,1.00E+05,1000,0.2,14,random,hdf5,935.5041005
1,1.00E+05,1000,0.2,15,random,hdf5,935.4182393
1,1.00E+05,1000,0.2,16,random,hdf5,935.4094655
1,1.00E+05,1000,0.2,17,random,hdf5,935.417217
1,1.00E+05,1000,0.2,18,random,hdf5,935.4446904
1,1.00E+05,1000,0.2,19,random,hdf5,935.5318028
1,1.00E+05,1000,0.2,20,random,hdf5,935.4651753
