B,observations,genes,batch_size,k,initializer,method,memory
1,1.00E+05,1000,0.001,2,random,kmeans,7246.059292
1,1.00E+05,1000,0.001,3,random,kmeans,7246.143803
1,1.00E+05,1000,0.001,4,random,kmeans,7246.227955
1,1.00E+05,1000,0.001,5,random,kmeans,7246.313176
1,1.00E+05,1000,0.001,6,random,kmeans,7240.512234
1,1.00E+05,1000,0.001,7,random,kmeans,7240.56564
1,1.00E+05,1000,0.001,8,random,kmeans,7246.565282
1,1.00E+05,1000,0.001,9,random,kmeans,7240.673977
1,1.00E+05,1000,0.001,10,random,kmeans,7246.735722
1,1.00E+05,1000,0.001,11,random,kmeans,7240.78085
1,1.00E+05,1000,0.001,12,random,kmeans,7246.903569
1,1.00E+05,1000,0.001,13,random,kmeans,7246.987431
1,1.00E+05,1000,0.001,14,random,kmeans,7247.071355
1,1.00E+05,1000,0.001,15,random,kmeans,7247.155339
1,1.00E+05,1000,0.001,16,random,kmeans,7247.239934
1,1.00E+05,1000,0.001,17,random,kmeans,7241.102627
1,1.00E+05,1000,0.001,18,random,kmeans,7241.156094
1,1.00E+05,1000,0.001,19,random,kmeans,6474.177576
1,1.00E+05,1000,0.001,20,random,kmeans,7245.725682
1,1.00E+05,1000,0.2,2,random,kmeans,7246.059231
1,1.00E+05,1000,0.2,3,random,kmeans,7246.143803
1,1.00E+05,1000,0.2,4,random,kmeans,7246.227955
1,1.00E+05,1000,0.2,5,random,kmeans,7246.313176
1,1.00E+05,1000,0.2,6,random,kmeans,7246.397099
1,1.00E+05,1000,0.2,7,random,kmeans,7242.604001
1,1.00E+05,1000,0.2,8,random,kmeans,7240.619168
1,1.00E+05,1000,0.2,9,random,kmeans,7240.674039
1,1.00E+05,1000,0.2,10,random,kmeans,7240.727383
1,1.00E+05,1000,0.2,11,random,kmeans,7246.819584
1,1.00E+05,1000,0.2,12,random,kmeans,7246.903508
1,1.00E+05,1000,0.2,13,random,kmeans,7240.887601
1,1.00E+05,1000,0.2,14,random,kmeans,7247.071416
1,1.00E+05,1000,0.2,15,random,kmeans,7247.219571
1,1.00E+05,1000,0.2,16,random,kmeans,7238.871419
1,1.00E+05,1000,0.2,17,random,kmeans,7247.390072
1,1.00E+05,1000,0.2,18,random,kmeans,7247.409917
1,1.00E+05,1000,0.2,19,random,kmeans,7241.209622
1,1.00E+05,1000,0.2,20,random,kmeans,7241.327382
