"B","observations","genes","batch_size","k","initializer","method","memory"
1,1e+05,1000,0.01,2,random,hdf5,935.079097456783
1,1e+05,1000,0.01,3,random,hdf5,935.086726851343
1,1e+05,1000,0.01,4,random,hdf5,935.094356245903
1,1e+05,1000,0.01,5,random,hdf5,935.002658552686
1,1e+05,1000,0.01,6,random,hdf5,935.109615035023
1,1e+05,1000,0.01,7,random,hdf5,935.117183394426
1,1e+05,1000,0.01,8,random,hdf5,935.124873824143
1,1e+05,1000,0.01,9,random,hdf5,935.132442183546
1,1e+05,1000,0.01,10,random,hdf5,935.040858931248
1,1e+05,1000,0.01,11,random,hdf5,935.147700972666
1,1e+05,1000,0.01,12,random,hdf5,935.155391402383
1,1e+05,1000,0.01,13,random,hdf5,935.162959761786
1,1e+05,1000,0.01,14,random,hdf5,935.170650191503
1,1e+05,1000,0.01,15,random,hdf5,935.178279586063
1,1e+05,1000,0.01,16,random,hdf5,935.185908980623
1,1e+05,1000,0.01,17,random,hdf5,935.094211287406
1,1e+05,1000,0.01,18,random,hdf5,935.101718611653
1,1e+05,1000,0.01,19,random,hdf5,935.208797164303
1,1e+05,1000,0.01,20,random,hdf5,935.216426558863
1,1e+05,1000,0.1,2,random,hdf5,934.979648298693
1,1e+05,1000,0.1,3,random,hdf5,934.987277693253
1,1e+05,1000,0.1,4,random,hdf5,935.094295210746
1,1e+05,1000,0.1,5,random,hdf5,935.00259751753
1,1e+05,1000,0.1,6,random,hdf5,935.109615035023
1,1e+05,1000,0.1,7,random,hdf5,935.117068953508
1,1e+05,1000,0.1,8,random,hdf5,935.124820418381
1,1e+05,1000,0.1,9,random,hdf5,935.058055586586
1,1e+05,1000,0.1,10,random,hdf5,935.040805525486
1,1e+05,1000,0.1,11,random,hdf5,935.147708602061
1,1e+05,1000,0.1,12,random,hdf5,935.155337996621
1,1e+05,1000,0.1,13,random,hdf5,935.162967391181
1,1e+05,1000,0.1,14,random,hdf5,935.170596785741
1,1e+05,1000,0.1,15,random,hdf5,935.178226180301
1,1e+05,1000,0.1,16,random,hdf5,935.086581892846
1,1e+05,1000,0.1,17,random,hdf5,935.193423934264
1,1e+05,1000,0.1,18,random,hdf5,935.101787276204
1,1e+05,1000,0.1,19,random,hdf5,935.13766831882
1,1e+05,1000,0.1,20,random,hdf5,935.216373153101
