"B","observations","genes","batch_size","k","initializer","method","memory"
1,1e+05,1000,0.01,2,random,kmeans,7246.05875075518
1,1e+05,1000,0.01,3,random,kmeans,7246.14332259387
1,1e+05,1000,0.01,4,random,kmeans,7240.40417920066
1,1e+05,1000,0.01,5,random,kmeans,7246.31263411795
1,1e+05,1000,0.01,6,random,kmeans,7246.39655745811
1,1e+05,1000,0.01,7,random,kmeans,7246.48048079827
1,1e+05,1000,0.01,8,random,kmeans,7240.61862622296
1,1e+05,1000,0.01,9,random,kmeans,7246.6512571661
1,1e+05,1000,0.01,10,random,kmeans,6473.97030790429
1,1e+05,1000,0.01,11,random,kmeans,7244.96708357577
1,1e+05,1000,0.01,12,random,kmeans,7242.93495618774
1,1e+05,1000,0.01,13,random,kmeans,7246.98695052674
1,1e+05,1000,0.01,14,random,kmeans,7245.21879256109
1,1e+05,1000,0.01,15,random,kmeans,7240.993870365
1,1e+05,1000,0.01,16,random,kmeans,7241.04770337301
1,1e+05,1000,0.01,17,random,kmeans,7247.32529891669
1,1e+05,1000,0.01,18,random,kmeans,6474.16904600319
1,1e+05,1000,0.01,19,random,kmeans,7241.20908795614
1,1e+05,1000,0.01,20,random,kmeans,7247.64188827335
1,1e+05,1000,0.1,2,random,kmeans,7246.05869734941
1,1e+05,1000,0.1,3,random,kmeans,7246.14326918811
1,1e+05,1000,0.1,4,random,kmeans,7246.22736037495
1,1e+05,1000,0.1,5,random,kmeans,7246.31251967703
1,1e+05,1000,0.1,6,random,kmeans,7246.39650405235
1,1e+05,1000,0.1,7,random,kmeans,7246.48036635735
1,1e+05,1000,0.1,8,random,kmeans,6473.92386777961
1,1e+05,1000,0.1,9,random,kmeans,7240.67344342287
1,1e+05,1000,0.1,10,random,kmeans,7240.72684918479
1,1e+05,1000,0.1,11,random,kmeans,7246.81905044066
1,1e+05,1000,0.1,12,random,kmeans,7246.90297378082
1,1e+05,1000,0.1,13,random,kmeans,7243.01743757233
1,1e+05,1000,0.1,14,random,kmeans,7247.07082046114
1,1e+05,1000,0.1,15,random,kmeans,7247.1547438013
1,1e+05,1000,0.1,16,random,kmeans,7247.23933852818
1,1e+05,1000,0.1,17,random,kmeans,6474.14610441374
1,1e+05,1000,0.1,18,random,kmeans,7247.42434371686
1,1e+05,1000,0.1,19,random,kmeans,7247.50848068007
1,1e+05,1000,0.1,20,random,kmeans,7247.57765640055
