"B","observations","genes","batch_size","k","initializer","method","memory"
1,1e+05,1000,0.01,2,random,mbkmeans,1510.887990923
1,1e+05,1000,0.01,3,random,mbkmeans,1510.91096303002
1,1e+05,1000,0.01,4,random,mbkmeans,1510.93346211458
1,1e+05,1000,0.01,5,random,mbkmeans,1510.95738026652
1,1e+05,1000,0.01,6,random,mbkmeans,1510.93295094514
1,1e+05,1000,0.01,7,random,mbkmeans,1510.94820973426
1,1e+05,1000,0.01,8,random,mbkmeans,1510.96374318159
1,1e+05,1000,0.01,9,random,mbkmeans,1511.04804799148
1,1e+05,1000,0.01,10,random,mbkmeans,1511.14880177604
1,1e+05,1000,0.01,11,random,mbkmeans,1511.09409138765
1,1e+05,1000,0.01,12,random,mbkmeans,1511.11671254252
1,1e+05,1000,0.01,13,random,mbkmeans,1511.13986775501
1,1e+05,1000,0.01,14,random,mbkmeans,1511.16281697384
1,1e+05,1000,0.01,15,random,mbkmeans,1511.18570515752
1,1e+05,1000,0.01,16,random,mbkmeans,1511.20892140517
1,1e+05,1000,0.01,17,random,mbkmeans,1511.23133656639
1,1e+05,1000,0.01,18,random,mbkmeans,1511.254880878
1,1e+05,1000,0.01,19,random,mbkmeans,1511.13144490341
1,1e+05,1000,0.01,20,random,mbkmeans,1511.30032918139
1,1e+05,1000,0.1,2,random,mbkmeans,1510.8032817552
1,1e+05,1000,0.1,3,random,mbkmeans,1510.82540699943
1,1e+05,1000,0.1,4,random,mbkmeans,1510.82045552236
1,1e+05,1000,0.1,5,random,mbkmeans,1510.82717701896
1,1e+05,1000,0.1,6,random,mbkmeans,1510.84763905517
1,1e+05,1000,0.1,7,random,mbkmeans,1510.84139058103
1,1e+05,1000,0.1,8,random,mbkmeans,1510.85000416749
1,1e+05,1000,0.1,9,random,mbkmeans,1510.85864827152
1,1e+05,1000,0.1,10,random,mbkmeans,1510.86633870124
1,1e+05,1000,0.1,11,random,mbkmeans,1510.88802144058
1,1e+05,1000,0.1,12,random,mbkmeans,1510.88061329846
1,1e+05,1000,0.1,13,random,mbkmeans,1510.88791462906
1,1e+05,1000,0.1,14,random,mbkmeans,1510.89587208758
1,1e+05,1000,0.1,15,random,mbkmeans,1510.90382954611
1,1e+05,1000,0.1,16,random,mbkmeans,1510.91178700463
1,1e+05,1000,0.1,17,random,mbkmeans,1510.91974446316
1,1e+05,1000,0.1,18,random,mbkmeans,1510.92645070098
1,1e+05,1000,0.1,19,random,mbkmeans,1510.93506428744
1,1e+05,1000,0.1,20,random,mbkmeans,1510.94138142613
