"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,25000,1000,75,13,kmeans++,kmeans,69.687,3.819,73.507
2,25000,1000,75,13,kmeans++,kmeans,70.807,4.171,74.978
3,25000,1000,75,13,kmeans++,kmeans,75.551,5.035,80.588
4,25000,1000,75,13,kmeans++,kmeans,62.426,3.664,66.095
5,25000,1000,75,13,kmeans++,kmeans,76.773,6.019,82.852
6,25000,1000,75,13,kmeans++,kmeans,58.87,4.29,63.16
7,25000,1000,75,13,kmeans++,kmeans,85.168,5.13,90.308
8,25000,1000,75,13,kmeans++,kmeans,68.282,3.993,72.287
9,25000,1000,75,13,kmeans++,kmeans,71.762,4.319,76.087
10,25000,1000,75,13,kmeans++,kmeans,76.579,5.207,81.785
1,25000,1000,75,14,kmeans++,kmeans,65.419,3.548,68.99
2,25000,1000,75,14,kmeans++,kmeans,74.442,3.508,77.948
3,25000,1000,75,14,kmeans++,kmeans,58.601,3.609,62.207
4,25000,1000,75,14,kmeans++,kmeans,70.118,3.827,73.941
5,25000,1000,75,14,kmeans++,kmeans,76.932,3.328,80.289
6,25000,1000,75,14,kmeans++,kmeans,62.465,3.24,65.72
7,25000,1000,75,14,kmeans++,kmeans,77.668,4.476,82.142
8,25000,1000,75,14,kmeans++,kmeans,66.388,3.831,70.215
9,25000,1000,75,14,kmeans++,kmeans,71.502,3.66,75.157
10,25000,1000,75,14,kmeans++,kmeans,64.205,3.431,67.63
1,25000,1000,75,15,kmeans++,kmeans,78.185,4.212,82.408
2,25000,1000,75,15,kmeans++,kmeans,91.572,4.619,96.243
3,25000,1000,75,15,kmeans++,kmeans,74.336,5.817,80.193
4,25000,1000,75,15,kmeans++,kmeans,91.709,4.365,96.119
5,25000,1000,75,15,kmeans++,kmeans,83.9,5.074,89.018
6,25000,1000,75,15,kmeans++,kmeans,81.14,7.696,88.896
7,25000,1000,75,15,kmeans++,kmeans,78.556,4.291,82.896
8,25000,1000,75,15,kmeans++,kmeans,83.898,5.464,89.397
9,25000,1000,75,15,kmeans++,kmeans,81.993,3.713,85.763
10,25000,1000,75,15,kmeans++,kmeans,75.291,5.58,81.001
