"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,25000,1000,75,2,kmeans++,mbkmeans,8.774,1.413,10.551
2,25000,1000,75,2,kmeans++,mbkmeans,8.774,1.429,10.59
3,25000,1000,75,2,kmeans++,mbkmeans,8.763,1.459,10.579
4,25000,1000,75,2,kmeans++,mbkmeans,8.368,1.465,10.206
5,25000,1000,75,2,kmeans++,mbkmeans,8.799,1.453,10.609
6,25000,1000,75,2,kmeans++,mbkmeans,8.569,1.42,10.361
7,25000,1000,75,2,kmeans++,mbkmeans,5.61,1.051,6.664
8,25000,1000,75,2,kmeans++,mbkmeans,5.596,1.049,6.647
9,25000,1000,75,2,kmeans++,mbkmeans,5.619,1.051,6.672
10,25000,1000,75,2,kmeans++,mbkmeans,5.581,1.055,6.638
1,25000,1000,75,3,kmeans++,mbkmeans,10.776,1.436,12.58
2,25000,1000,75,3,kmeans++,mbkmeans,10.662,1.348,12.369
3,25000,1000,75,3,kmeans++,mbkmeans,10.748,1.379,12.541
4,25000,1000,75,3,kmeans++,mbkmeans,10.583,1.379,12.332
5,25000,1000,75,3,kmeans++,mbkmeans,10.279,1.455,12.089
6,25000,1000,75,3,kmeans++,mbkmeans,10.518,1.45,12.33
7,25000,1000,75,3,kmeans++,mbkmeans,6.926,1.005,7.934
8,25000,1000,75,3,kmeans++,mbkmeans,6.822,0.998,7.822
9,25000,1000,75,3,kmeans++,mbkmeans,6.891,1.025,7.918
10,25000,1000,75,3,kmeans++,mbkmeans,6.964,1.019,7.986
1,25000,1000,75,4,kmeans++,mbkmeans,12.324,1.379,14.1
2,25000,1000,75,4,kmeans++,mbkmeans,12.834,1.391,14.619
3,25000,1000,75,4,kmeans++,mbkmeans,12.458,1.369,14.198
4,25000,1000,75,4,kmeans++,mbkmeans,12.524,1.39,14.291
5,25000,1000,75,4,kmeans++,mbkmeans,12.832,1.415,14.637
6,25000,1000,75,4,kmeans++,mbkmeans,12.789,1.401,14.603
7,25000,1000,75,4,kmeans++,mbkmeans,8.024,0.992,9.019
8,25000,1000,75,4,kmeans++,mbkmeans,8.089,0.97,9.063
9,25000,1000,75,4,kmeans++,mbkmeans,7.96,1.033,8.995
10,25000,1000,75,4,kmeans++,mbkmeans,8.04,1.015,9.059
1,25000,1000,75,5,kmeans++,mbkmeans,14.688,1.405,16.473
2,25000,1000,75,5,kmeans++,mbkmeans,14.681,1.391,16.472
3,25000,1000,75,5,kmeans++,mbkmeans,13.756,1.367,15.511
4,25000,1000,75,5,kmeans++,mbkmeans,14.554,1.359,16.332
5,25000,1000,75,5,kmeans++,mbkmeans,14.435,1.364,16.196
6,25000,1000,75,5,kmeans++,mbkmeans,14.354,1.385,16.145
7,25000,1000,75,5,kmeans++,mbkmeans,9.25,0.977,10.231
8,25000,1000,75,5,kmeans++,mbkmeans,9.238,0.984,10.227
9,25000,1000,75,5,kmeans++,mbkmeans,9.168,0.976,10.148
10,25000,1000,75,5,kmeans++,mbkmeans,9.186,0.981,10.169
1,25000,1000,75,6,kmeans++,mbkmeans,16.624,1.347,18.315
2,25000,1000,75,6,kmeans++,mbkmeans,16.173,1.388,17.872
3,25000,1000,75,6,kmeans++,mbkmeans,16.678,1.396,18.407
4,25000,1000,75,6,kmeans++,mbkmeans,16.311,1.379,18.024
5,25000,1000,75,6,kmeans++,mbkmeans,16.852,1.412,18.591
6,25000,1000,75,6,kmeans++,mbkmeans,16.765,1.399,18.488
7,25000,1000,75,6,kmeans++,mbkmeans,10.322,0.954,11.279
8,25000,1000,75,6,kmeans++,mbkmeans,10.394,0.994,11.393
9,25000,1000,75,6,kmeans++,mbkmeans,10.316,0.967,11.286
10,25000,1000,75,6,kmeans++,mbkmeans,10.477,0.956,11.439
1,25000,1000,75,7,kmeans++,mbkmeans,18.886,1.366,20.647
2,25000,1000,75,7,kmeans++,mbkmeans,18.631,1.353,20.351
3,25000,1000,75,7,kmeans++,mbkmeans,18.828,1.363,20.549
4,25000,1000,75,7,kmeans++,mbkmeans,19.029,1.387,20.759
5,25000,1000,75,7,kmeans++,mbkmeans,18.705,1.4,20.461
6,25000,1000,75,7,kmeans++,mbkmeans,19.29,1.377,21.015
7,25000,1000,75,7,kmeans++,mbkmeans,11.603,0.966,12.573
8,25000,1000,75,7,kmeans++,mbkmeans,11.638,0.944,12.591
9,25000,1000,75,7,kmeans++,mbkmeans,11.601,0.963,12.568
10,25000,1000,75,7,kmeans++,mbkmeans,11.577,0.97,12.551
1,25000,1000,75,8,kmeans++,mbkmeans,20.541,1.342,22.322
2,25000,1000,75,8,kmeans++,mbkmeans,21.01,1.412,22.891
3,25000,1000,75,8,kmeans++,mbkmeans,21.214,1.343,22.989
4,25000,1000,75,8,kmeans++,mbkmeans,21.061,1.375,22.881
5,25000,1000,75,8,kmeans++,mbkmeans,20.76,1.407,22.595
6,25000,1000,75,8,kmeans++,mbkmeans,20.275,1.356,22.051
7,25000,1000,75,8,kmeans++,mbkmeans,12.755,1.03,13.79
8,25000,1000,75,8,kmeans++,mbkmeans,12.857,0.991,13.854
9,25000,1000,75,8,kmeans++,mbkmeans,12.893,1.025,13.924
10,25000,1000,75,8,kmeans++,mbkmeans,12.843,0.982,13.831
1,25000,1000,75,9,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
2,25000,1000,75,9,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
3,25000,1000,75,9,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
4,25000,1000,75,9,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
5,25000,1000,75,9,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
6,25000,1000,75,9,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
7,25000,1000,75,9,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
8,25000,1000,75,9,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
9,25000,1000,75,9,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
10,25000,1000,75,9,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
1,25000,1000,75,10,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
2,25000,1000,75,10,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
3,25000,1000,75,10,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
4,25000,1000,75,10,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
5,25000,1000,75,10,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
6,25000,1000,75,10,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
7,25000,1000,75,10,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
8,25000,1000,75,10,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
9,25000,1000,75,10,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
10,25000,1000,75,10,kmeans++,mbkmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
1,25000,1000,75,11,kmeans++,mbkmeans,27.048,1.357,28.773
2,25000,1000,75,11,kmeans++,mbkmeans,27.617,1.403,29.432
3,25000,1000,75,11,kmeans++,mbkmeans,27.635,1.391,29.447
