"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,25000,1000,75,2,kmeans++,hdf5,14.782,3.826,19.938
2,25000,1000,75,2,kmeans++,hdf5,14.51,3.783,19.619
3,25000,1000,75,2,kmeans++,hdf5,15.216,3.826,20.367
4,25000,1000,75,2,kmeans++,hdf5,15.163,3.865,20.364
5,25000,1000,75,2,kmeans++,hdf5,15.222,3.884,20.398
6,25000,1000,75,2,kmeans++,hdf5,14.792,3.747,19.847
7,25000,1000,75,2,kmeans++,hdf5,10.34,2.599,12.945
8,25000,1000,75,2,kmeans++,hdf5,9.606,2.506,12.116
9,25000,1000,75,2,kmeans++,hdf5,9.539,2.516,12.06
10,25000,1000,75,2,kmeans++,hdf5,10.068,2.564,12.635
1,25000,1000,75,3,kmeans++,hdf5,17.23,3.86,22.327
2,25000,1000,75,3,kmeans++,hdf5,16.612,3.734,21.616
3,25000,1000,75,3,kmeans++,hdf5,17.185,3.948,22.384
4,25000,1000,75,3,kmeans++,hdf5,17.145,3.853,22.275
5,25000,1000,75,3,kmeans++,hdf5,16.891,3.88,22.064
6,25000,1000,75,3,kmeans++,hdf5,16.39,3.795,21.411
7,25000,1000,75,3,kmeans++,hdf5,10.965,2.532,13.506
8,25000,1000,75,3,kmeans++,hdf5,10.715,2.545,13.267
9,25000,1000,75,3,kmeans++,hdf5,10.959,2.539,13.507
10,25000,1000,75,3,kmeans++,hdf5,10.789,2.421,13.218
1,25000,1000,75,4,kmeans++,hdf5,18.733,3.952,23.906
2,25000,1000,75,4,kmeans++,hdf5,18.676,3.959,23.903
3,25000,1000,75,4,kmeans++,hdf5,18.954,3.898,24.119
4,25000,1000,75,4,kmeans++,hdf5,18.601,3.834,23.679
5,25000,1000,75,4,kmeans++,hdf5,18.051,3.644,22.912
6,25000,1000,75,4,kmeans++,hdf5,18.609,3.741,23.593
7,25000,1000,75,4,kmeans++,hdf5,12.082,2.576,14.664
8,25000,1000,75,4,kmeans++,hdf5,11.669,2.513,14.189
9,25000,1000,75,4,kmeans++,hdf5,12.016,2.407,14.428
10,25000,1000,75,4,kmeans++,hdf5,11.935,2.405,14.345
1,25000,1000,75,5,kmeans++,hdf5,20.898,3.919,26.086
2,25000,1000,75,5,kmeans++,hdf5,20.883,3.834,26.009
3,25000,1000,75,5,kmeans++,hdf5,20.629,3.851,25.87
4,25000,1000,75,5,kmeans++,hdf5,20.74,3.882,25.893
5,25000,1000,75,5,kmeans++,hdf5,19.482,3.807,24.592
6,25000,1000,75,5,kmeans++,hdf5,20.86,3.94,26.077
7,25000,1000,75,5,kmeans++,hdf5,13.017,2.548,15.572
8,25000,1000,75,5,kmeans++,hdf5,13.487,2.669,16.163
9,25000,1000,75,5,kmeans++,hdf5,13.965,2.642,16.616
10,25000,1000,75,5,kmeans++,hdf5,13.469,2.647,16.125
1,25000,1000,75,6,kmeans++,hdf5,23.044,3.931,28.244
2,25000,1000,75,6,kmeans++,hdf5,22.91,3.928,28.115
3,25000,1000,75,6,kmeans++,hdf5,21.643,3.685,26.658
4,25000,1000,75,6,kmeans++,hdf5,22.733,3.699,27.703
5,25000,1000,75,6,kmeans++,hdf5,23.053,3.815,28.131
6,25000,1000,75,6,kmeans++,hdf5,22.708,3.928,27.899
7,25000,1000,75,6,kmeans++,hdf5,14.753,2.451,17.21
8,25000,1000,75,6,kmeans++,hdf5,14.366,2.541,16.916
9,25000,1000,75,6,kmeans++,hdf5,14.614,2.562,17.183
10,25000,1000,75,6,kmeans++,hdf5,14.815,2.447,17.269
1,25000,1000,75,7,kmeans++,hdf5,24.2,3.837,29.302
2,25000,1000,75,7,kmeans++,hdf5,23.923,3.865,29.087
3,25000,1000,75,7,kmeans++,hdf5,25.461,3.858,30.615
4,25000,1000,75,7,kmeans++,hdf5,25.205,3.97,30.444
5,25000,1000,75,7,kmeans++,hdf5,25.437,4.059,30.766
6,25000,1000,75,7,kmeans++,hdf5,25.002,3.908,30.191
7,25000,1000,75,7,kmeans++,hdf5,15.956,2.715,18.681
8,25000,1000,75,7,kmeans++,hdf5,16.167,2.641,18.817
9,25000,1000,75,7,kmeans++,hdf5,15.44,2.526,17.975
10,25000,1000,75,7,kmeans++,hdf5,15.779,2.473,18.261
1,25000,1000,75,8,kmeans++,hdf5,27.622,4.059,33.016
2,25000,1000,75,8,kmeans++,hdf5,27.533,4.078,32.942
3,25000,1000,75,8,kmeans++,hdf5,27.359,3.916,32.655
4,25000,1000,75,8,kmeans++,hdf5,27.554,3.922,32.823
5,25000,1000,75,8,kmeans++,hdf5,27.082,3.852,32.244
6,25000,1000,75,8,kmeans++,hdf5,27.289,4.036,32.677
7,25000,1000,75,8,kmeans++,hdf5,17.013,2.567,19.588
8,25000,1000,75,8,kmeans++,hdf5,17.235,2.574,19.817
9,25000,1000,75,8,kmeans++,hdf5,17.239,2.42,19.665
10,25000,1000,75,8,kmeans++,hdf5,16.664,2.425,19.098
1,25000,1000,75,9,kmeans++,hdf5,28.171,3.855,33.306
2,25000,1000,75,9,kmeans++,hdf5,28.833,3.989,34.055
3,25000,1000,75,9,kmeans++,hdf5,27.131,3.696,32.1
4,25000,1000,75,9,kmeans++,hdf5,28.821,3.917,33.991
5,25000,1000,75,9,kmeans++,hdf5,28.148,3.847,33.3
6,25000,1000,75,9,kmeans++,hdf5,27.859,3.844,32.936
7,25000,1000,75,9,kmeans++,hdf5,18.228,2.405,20.642
8,25000,1000,75,9,kmeans++,hdf5,17.903,2.479,20.389
9,25000,1000,75,9,kmeans++,hdf5,18.172,2.449,20.63
10,25000,1000,75,9,kmeans++,hdf5,18.134,2.465,20.606
1,25000,1000,75,10,kmeans++,hdf5,30.456,3.832,35.686
2,25000,1000,75,10,kmeans++,hdf5,31.196,3.989,36.55
3,25000,1000,75,10,kmeans++,hdf5,31.221,3.96,36.556
4,25000,1000,75,10,kmeans++,hdf5,31.007,3.91,36.319
5,25000,1000,75,10,kmeans++,hdf5,29.69,3.677,34.718
6,25000,1000,75,10,kmeans++,hdf5,30.898,3.861,36.149
7,25000,1000,75,10,kmeans++,hdf5,19.606,2.35,21.968
8,25000,1000,75,10,kmeans++,hdf5,19.035,2.588,21.634
9,25000,1000,75,10,kmeans++,hdf5,19.376,2.589,21.976
10,25000,1000,75,10,kmeans++,hdf5,19.559,2.542,22.112
1,25000,1000,75,11,kmeans++,hdf5,32.684,3.868,37.778
2,25000,1000,75,11,kmeans++,hdf5,31.852,3.854,36.933
3,25000,1000,75,11,kmeans++,hdf5,32.412,3.961,37.547
4,25000,1000,75,11,kmeans++,hdf5,32.209,3.876,37.258
5,25000,1000,75,11,kmeans++,hdf5,31.154,3.725,36.048
6,25000,1000,75,11,kmeans++,hdf5,32.744,3.908,37.845
7,25000,1000,75,11,kmeans++,hdf5,20.434,2.577,23.022
8,25000,1000,75,11,kmeans++,hdf5,20.233,2.421,22.661
9,25000,1000,75,11,kmeans++,hdf5,20.318,2.547,22.875
10,25000,1000,75,11,kmeans++,hdf5,20.787,2.615,23.41
1,25000,1000,75,12,kmeans++,hdf5,35.02,3.912,40.24
2,25000,1000,75,12,kmeans++,hdf5,33.703,3.692,38.658
3,25000,1000,75,12,kmeans++,hdf5,34.982,4,40.224
4,25000,1000,75,12,kmeans++,hdf5,35,4.048,40.36
5,25000,1000,75,12,kmeans++,hdf5,34.318,3.777,39.367
6,25000,1000,75,12,kmeans++,hdf5,35.017,4.087,40.378
7,25000,1000,75,12,kmeans++,hdf5,21.45,2.456,23.919
8,25000,1000,75,12,kmeans++,hdf5,21.96,2.712,24.684
9,25000,1000,75,12,kmeans++,hdf5,21.83,2.539,24.381
10,25000,1000,75,12,kmeans++,hdf5,21.633,2.619,24.267
1,25000,1000,75,13,kmeans++,hdf5,37.209,3.881,41.183
2,25000,1000,75,13,kmeans++,hdf5,37.422,3.803,41.322
3,25000,1000,75,13,kmeans++,hdf5,36.63,3.717,40.462
4,25000,1000,75,13,kmeans++,hdf5,37.202,3.735,41.058
5,25000,1000,75,13,kmeans++,hdf5,36.242,3.516,39.844
6,25000,1000,75,13,kmeans++,hdf5,36.91,3.729,40.747
7,25000,1000,75,13,kmeans++,hdf5,22.546,2.569,25.123
8,25000,1000,75,13,kmeans++,hdf5,22.912,2.472,25.395
9,25000,1000,75,13,kmeans++,hdf5,23.082,2.439,25.53
10,25000,1000,75,13,kmeans++,hdf5,22.58,2.501,25.09
1,25000,1000,75,14,kmeans++,hdf5,37.675,3.674,42.615
2,25000,1000,75,14,kmeans++,hdf5,38.829,3.721,43.77
3,25000,1000,75,14,kmeans++,hdf5,39.256,3.935,44.516
4,25000,1000,75,14,kmeans++,hdf5,39.669,3.949,44.842
5,25000,1000,75,14,kmeans++,hdf5,38.528,3.79,43.552
6,25000,1000,75,14,kmeans++,hdf5,39.562,3.967,44.748
7,25000,1000,75,14,kmeans++,hdf5,24.353,2.546,26.908
8,25000,1000,75,14,kmeans++,hdf5,24.095,2.401,26.505
9,25000,1000,75,14,kmeans++,hdf5,24.024,2.426,26.457
10,25000,1000,75,14,kmeans++,hdf5,23.893,2.529,26.431
1,25000,1000,75,15,kmeans++,hdf5,38.81,3.643,42.538
2,25000,1000,75,15,kmeans++,hdf5,40.778,3.792,44.671
3,25000,1000,75,15,kmeans++,hdf5,39.912,3.668,43.66
4,25000,1000,75,15,kmeans++,hdf5,40.373,3.839,44.307
5,25000,1000,75,15,kmeans++,hdf5,39.657,3.551,43.316
6,25000,1000,75,15,kmeans++,hdf5,41.064,3.715,44.902
7,25000,1000,75,15,kmeans++,hdf5,25.576,2.695,28.282
8,25000,1000,75,15,kmeans++,hdf5,24.704,2.506,27.222
9,25000,1000,75,15,kmeans++,hdf5,25.191,2.405,27.609
10,25000,1000,75,15,kmeans++,hdf5,25.166,2.53,27.707
1,25000,1000,75,16,kmeans++,hdf5,Error in file_path_as_absolute(path) : 
  file 'tmpfiles/20200427/obs_data_25000_15_3.h5' does not exist
,NA,NA
2,25000,1000,75,16,kmeans++,hdf5,Error in file_path_as_absolute(path) : 
  file 'tmpfiles/20200427/obs_data_25000_15_3.h5' does not exist
,NA,NA
3,25000,1000,75,16,kmeans++,hdf5,Error in file_path_as_absolute(path) : 
  file 'tmpfiles/20200427/obs_data_25000_15_3.h5' does not exist
,NA,NA
4,25000,1000,75,16,kmeans++,hdf5,Error in file_path_as_absolute(path) : 
  file 'tmpfiles/20200427/obs_data_25000_15_3.h5' does not exist
,NA,NA
5,25000,1000,75,16,kmeans++,hdf5,Error in file_path_as_absolute(path) : 
  file 'tmpfiles/20200427/obs_data_25000_15_3.h5' does not exist
,NA,NA
6,25000,1000,75,16,kmeans++,hdf5,Error in file_path_as_absolute(path) : 
  file 'tmpfiles/20200427/obs_data_25000_15_3.h5' does not exist
,NA,NA
7,25000,1000,75,16,kmeans++,hdf5,Error in file_path_as_absolute(path) : 
  file 'tmpfiles/20200427/obs_data_25000_15_3.h5' does not exist
,NA,NA
8,25000,1000,75,16,kmeans++,hdf5,Error in file_path_as_absolute(path) : 
  file 'tmpfiles/20200427/obs_data_25000_15_3.h5' does not exist
,NA,NA
9,25000,1000,75,16,kmeans++,hdf5,Error in file_path_as_absolute(path) : 
  file 'tmpfiles/20200427/obs_data_25000_15_3.h5' does not exist
,NA,NA
10,25000,1000,75,16,kmeans++,hdf5,Error in file_path_as_absolute(path) : 
  file 'tmpfiles/20200427/obs_data_25000_15_3.h5' does not exist
,NA,NA
1,25000,1000,75,17,kmeans++,hdf5,43.638,3.738,48.652
2,25000,1000,75,17,kmeans++,hdf5,45.351,3.938,50.586
3,25000,1000,75,17,kmeans++,hdf5,45.617,3.996,50.885
4,25000,1000,75,17,kmeans++,hdf5,45.481,3.953,50.699
5,25000,1000,75,17,kmeans++,hdf5,45.311,3.865,50.451
6,25000,1000,75,17,kmeans++,hdf5,44.385,3.771,49.442
7,25000,1000,75,17,kmeans++,hdf5,28.092,2.596,30.698
8,25000,1000,75,17,kmeans++,hdf5,27.449,2.455,29.913
9,25000,1000,75,17,kmeans++,hdf5,27.348,2.642,30.001
10,25000,1000,75,17,kmeans++,hdf5,27.617,2.664,30.289
1,25000,1000,75,18,kmeans++,hdf5,47.445,3.814,51.362
2,25000,1000,75,18,kmeans++,hdf5,47.534,3.694,51.346
3,25000,1000,75,18,kmeans++,hdf5,46.299,3.627,50.04
4,25000,1000,75,18,kmeans++,hdf5,47.95,3.755,51.804
5,25000,1000,75,18,kmeans++,hdf5,47.153,3.778,51.042
6,25000,1000,75,18,kmeans++,hdf5,47.757,3.856,51.732
7,25000,1000,75,18,kmeans++,hdf5,28.734,2.633,31.376
8,25000,1000,75,18,kmeans++,hdf5,28.816,2.442,31.268
9,25000,1000,75,18,kmeans++,hdf5,28.655,2.571,31.236
10,25000,1000,75,18,kmeans++,hdf5,28.152,2.414,30.576
1,25000,1000,75,19,kmeans++,hdf5,47.429,3.732,52.566
2,25000,1000,75,19,kmeans++,hdf5,48.313,3.706,53.381
3,25000,1000,75,19,kmeans++,hdf5,49.808,3.909,55.11
4,25000,1000,75,19,kmeans++,hdf5,49.195,4.004,54.56
5,25000,1000,75,19,kmeans++,hdf5,50.134,3.94,55.448
6,25000,1000,75,19,kmeans++,hdf5,49.539,3.957,54.93
7,25000,1000,75,19,kmeans++,hdf5,30.462,2.536,33.008
8,25000,1000,75,19,kmeans++,hdf5,30.554,2.547,33.11
9,25000,1000,75,19,kmeans++,hdf5,30.144,2.511,32.664
10,25000,1000,75,19,kmeans++,hdf5,29.799,2.482,32.289
1,25000,1000,75,20,kmeans++,hdf5,51.851,4.022,57.265
2,25000,1000,75,20,kmeans++,hdf5,51.817,4.035,57.211
3,25000,1000,75,20,kmeans++,hdf5,51.997,4.095,57.429
4,25000,1000,75,20,kmeans++,hdf5,51.157,4.008,56.582
5,25000,1000,75,20,kmeans++,hdf5,52.373,3.987,57.737
6,25000,1000,75,20,kmeans++,hdf5,50.243,3.665,55.266
7,25000,1000,75,20,kmeans++,hdf5,31.179,2.567,33.759
8,25000,1000,75,20,kmeans++,hdf5,30.935,2.494,33.439
9,25000,1000,75,20,kmeans++,hdf5,31.056,2.625,33.692
