"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1e+05,1000,500,13,kmeans++,mbkmeans,392.379,32.359,425.234
2,1e+05,1000,500,13,kmeans++,mbkmeans,462.301,29.32,492.069
3,1e+05,1000,500,13,kmeans++,mbkmeans,405.541,36.18,442.326
4,1e+05,1000,500,13,kmeans++,mbkmeans,417.968,39.46,457.949
5,1e+05,1000,500,13,kmeans++,mbkmeans,448.892,34.284,483.702
6,1e+05,1000,500,13,kmeans++,mbkmeans,442.313,38.118,480.83
7,1e+05,1000,500,13,kmeans++,mbkmeans,454.14,34.101,488.776
8,1e+05,1000,500,13,kmeans++,mbkmeans,439.342,56.108,495.94
9,1e+05,1000,500,13,kmeans++,mbkmeans,439.885,61.358,501.726
10,1e+05,1000,500,13,kmeans++,mbkmeans,429.535,49.107,479.579
1,1e+05,1000,500,14,kmeans++,mbkmeans,438.827,51.668,491.013
2,1e+05,1000,500,14,kmeans++,mbkmeans,461.562,43.078,505.216
3,1e+05,1000,500,14,kmeans++,mbkmeans,414.167,35.425,450.054
4,1e+05,1000,500,14,kmeans++,mbkmeans,470.39,30.67,501.63
5,1e+05,1000,500,14,kmeans++,mbkmeans,448.135,36.822,485.492
6,1e+05,1000,500,14,kmeans++,mbkmeans,410.966,61.632,473.172
7,1e+05,1000,500,14,kmeans++,mbkmeans,394.536,44.323,439.52
8,1e+05,1000,500,14,kmeans++,mbkmeans,379.216,39.589,419.418
9,1e+05,1000,500,14,kmeans++,mbkmeans,462.688,33.629,496.946
10,1e+05,1000,500,14,kmeans++,mbkmeans,391.486,39.033,431.006
1,1e+05,1000,500,15,kmeans++,mbkmeans,411.19,33.686,445.352
2,1e+05,1000,500,15,kmeans++,mbkmeans,454.887,33.389,488.755
3,1e+05,1000,500,15,kmeans++,mbkmeans,473.796,46.563,520.872
4,1e+05,1000,500,15,kmeans++,mbkmeans,410.254,31.674,442.417
5,1e+05,1000,500,15,kmeans++,mbkmeans,431.644,77.358,509.806
6,1e+05,1000,500,15,kmeans++,mbkmeans,444.386,33.177,478.581
7,1e+05,1000,500,15,kmeans++,mbkmeans,500.516,39.618,540.907
8,1e+05,1000,500,15,kmeans++,mbkmeans,425.283,23.884,449.792
9,1e+05,1000,500,15,kmeans++,mbkmeans,455.913,34.174,490.734
10,1e+05,1000,500,15,kmeans++,mbkmeans,394.957,50.376,445.864
1,1e+05,1000,500,16,kmeans++,mbkmeans,466.563,101.134,568.431
2,1e+05,1000,500,16,kmeans++,mbkmeans,472.593,115.121,588.452
3,1e+05,1000,500,16,kmeans++,mbkmeans,491.863,114.419,607.678
4,1e+05,1000,500,16,kmeans++,mbkmeans,580.73,78.019,659.72
5,1e+05,1000,500,16,kmeans++,mbkmeans,464.508,98.648,564.01
6,1e+05,1000,500,16,kmeans++,mbkmeans,465.529,48.08,514.572
7,1e+05,1000,500,16,kmeans++,mbkmeans,615.237,47.309,663.513
8,1e+05,1000,500,16,kmeans++,mbkmeans,599.953,47.327,647.993
9,1e+05,1000,500,16,kmeans++,mbkmeans,505.644,25.325,531.451
10,1e+05,1000,500,16,kmeans++,mbkmeans,521.05,71.619,593.628
1,1e+05,1000,500,17,kmeans++,mbkmeans,493.19,55.098,548.962
2,1e+05,1000,500,17,kmeans++,mbkmeans,521.83,32.414,554.696
