"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1e+05,1000,0.01,2,random,hdf5,92.814,12.479,105.377
2,1e+05,1000,0.01,2,random,hdf5,95.29,13.797,109.355
3,1e+05,1000,0.01,2,random,hdf5,85.997,11.772,97.848
4,1e+05,1000,0.01,2,random,hdf5,102.075,14.067,116.293
5,1e+05,1000,0.01,2,random,hdf5,92.591,12.448,105.441
6,1e+05,1000,0.01,2,random,hdf5,84.707,10.498,96.008
7,1e+05,1000,0.01,2,random,hdf5,80.44,11.513,92.016
8,1e+05,1000,0.01,2,random,hdf5,97.333,13.698,111.379
9,1e+05,1000,0.01,2,random,hdf5,78.131,10.554,89.265
10,1e+05,1000,0.01,2,random,hdf5,92.769,14.075,106.997
1,1e+05,1000,0.01,3,random,hdf5,83.165,10.15,94.165
2,1e+05,1000,0.01,3,random,hdf5,77.054,9.21,87.873
3,1e+05,1000,0.01,3,random,hdf5,94.422,11.985,107.979
4,1e+05,1000,0.01,3,random,hdf5,82.771,10.513,94.387
5,1e+05,1000,0.01,3,random,hdf5,100.392,12.412,113.762
6,1e+05,1000,0.01,3,random,hdf5,107.935,12.89,122.004
7,1e+05,1000,0.01,3,random,hdf5,99.174,11.37,111.399
8,1e+05,1000,0.01,3,random,hdf5,80.338,9.315,90.855
9,1e+05,1000,0.01,3,random,hdf5,75.97,8.509,85.625
10,1e+05,1000,0.01,3,random,hdf5,104.808,13.086,118.706
1,1e+05,1000,0.01,4,random,hdf5,83.444,9.272,95.414
2,1e+05,1000,0.01,4,random,hdf5,102.945,11.577,117.097
3,1e+05,1000,0.01,4,random,hdf5,106.346,12.418,120.919
4,1e+05,1000,0.01,4,random,hdf5,90.066,10.231,102.325
5,1e+05,1000,0.01,4,random,hdf5,112.457,12.986,127.296
6,1e+05,1000,0.01,4,random,hdf5,107.421,12.271,121.6
7,1e+05,1000,0.01,4,random,hdf5,100.294,10.753,112.756
8,1e+05,1000,0.01,4,random,hdf5,107.284,12.073,120.948
9,1e+05,1000,0.01,4,random,hdf5,103.506,11.664,116.857
10,1e+05,1000,0.01,4,random,hdf5,95.505,10.778,107.762
1,1e+05,1000,0.01,5,random,hdf5,118.23,11.732,130.25
2,1e+05,1000,0.01,5,random,hdf5,115.768,11.792,127.831
3,1e+05,1000,0.01,5,random,hdf5,115.399,11.28,127.172
4,1e+05,1000,0.01,5,random,hdf5,106.349,11.226,117.726
5,1e+05,1000,0.01,5,random,hdf5,108.106,10.927,119.818
6,1e+05,1000,0.01,5,random,hdf5,116.477,11.222,127.785
7,1e+05,1000,0.01,5,random,hdf5,115.689,11.809,127.888
8,1e+05,1000,0.01,5,random,hdf5,109.034,11.284,120.633
9,1e+05,1000,0.01,5,random,hdf5,111.325,11.949,123.885
10,1e+05,1000,0.01,5,random,hdf5,106.077,10.845,117.114
