"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1e+05,1000,75,2,kmeans++,hdf5,113.365,31.147,144.8
2,1e+05,1000,75,2,kmeans++,hdf5,75.809,17.794,93.718
3,1e+05,1000,75,2,kmeans++,hdf5,89.654,23.854,113.686
4,1e+05,1000,75,2,kmeans++,hdf5,71.064,14.178,85.366
5,1e+05,1000,75,2,kmeans++,hdf5,112.826,29.384,142.381
6,1e+05,1000,75,2,kmeans++,hdf5,71.284,16.422,87.809
7,1e+05,1000,75,2,kmeans++,hdf5,71.307,17.675,89.085
8,1e+05,1000,75,2,kmeans++,hdf5,91.679,22.735,114.566
9,1e+05,1000,75,2,kmeans++,hdf5,78.34,16.811,95.254
10,1e+05,1000,75,2,kmeans++,hdf5,73.89,17.943,91.925
1,1e+05,1000,75,3,kmeans++,hdf5,78.235,16.476,94.792
2,1e+05,1000,75,3,kmeans++,hdf5,81.902,16.453,98.523
3,1e+05,1000,75,3,kmeans++,hdf5,82.633,17.716,100.578
4,1e+05,1000,75,3,kmeans++,hdf5,127.462,30.339,157.968
5,1e+05,1000,75,3,kmeans++,hdf5,121.628,30.668,152.508
6,1e+05,1000,75,3,kmeans++,hdf5,93.287,19.428,112.819
7,1e+05,1000,75,3,kmeans++,hdf5,87.115,20.683,107.892
8,1e+05,1000,75,3,kmeans++,hdf5,79.362,16.751,96.231
9,1e+05,1000,75,3,kmeans++,hdf5,94.81,19.675,114.714
10,1e+05,1000,75,3,kmeans++,hdf5,82.676,16.306,99.075
1,1e+05,1000,75,4,kmeans++,hdf5,114.289,23.133,137.64
2,1e+05,1000,75,4,kmeans++,hdf5,89.35,15.067,104.51
3,1e+05,1000,75,4,kmeans++,hdf5,86.363,15.535,102.02
4,1e+05,1000,75,4,kmeans++,hdf5,98.889,18.704,117.73
5,1e+05,1000,75,4,kmeans++,hdf5,111.087,22.759,133.974
6,1e+05,1000,75,4,kmeans++,hdf5,91.686,18.711,110.527
7,1e+05,1000,75,4,kmeans++,hdf5,90.381,19.198,109.696
8,1e+05,1000,75,4,kmeans++,hdf5,94.084,19.634,113.859
9,1e+05,1000,75,4,kmeans++,hdf5,100.223,19.924,120.268
10,1e+05,1000,75,4,kmeans++,hdf5,100.857,19.555,120.51
1,1e+05,1000,75,5,kmeans++,hdf5,123.322,23.564,147.052
2,1e+05,1000,75,5,kmeans++,hdf5,114.094,19.362,133.58
3,1e+05,1000,75,5,kmeans++,hdf5,103.197,18.47,121.788
4,1e+05,1000,75,5,kmeans++,hdf5,96.774,17.988,114.882
5,1e+05,1000,75,5,kmeans++,hdf5,172.384,38.051,210.956
6,1e+05,1000,75,5,kmeans++,hdf5,108.228,19.397,127.771
7,1e+05,1000,75,5,kmeans++,hdf5,127.186,24.386,151.849
8,1e+05,1000,75,5,kmeans++,hdf5,95.932,17.852,113.89
9,1e+05,1000,75,5,kmeans++,hdf5,102.412,19.875,122.479
10,1e+05,1000,75,5,kmeans++,hdf5,95.02,16.204,111.313
1,1e+05,1000,75,6,kmeans++,hdf5,112.803,17.019,129.959
2,1e+05,1000,75,6,kmeans++,hdf5,115.451,20.548,136.101
3,1e+05,1000,75,6,kmeans++,hdf5,106.57,15.192,121.883
4,1e+05,1000,75,6,kmeans++,hdf5,107.261,19.432,126.816
