B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time
1,25000,1000,75,2,kmeans++,hdf5,27.049,10.561,37.633
2,25000,1000,75,2,kmeans++,hdf5,24.461,8.498,32.975
3,25000,1000,75,2,kmeans++,hdf5,26.045,12.143,38.265
4,25000,1000,75,2,kmeans++,hdf5,24.444,8.898,33.401
5,25000,1000,75,2,kmeans++,hdf5,25.376,10.529,35.944
6,25000,1000,75,2,kmeans++,hdf5,24.039,7.991,32.056
7,25000,1000,75,2,kmeans++,hdf5,24.957,11.785,36.777
8,25000,1000,75,2,kmeans++,hdf5,25.058,8.942,34.024
9,25000,1000,75,2,kmeans++,hdf5,24.074,8.441,32.548
10,25000,1000,75,2,kmeans++,hdf5,23.545,8.55,32.121
1,25000,1000,75,3,kmeans++,hdf5,30.603,11.87,42.498
2,25000,1000,75,3,kmeans++,hdf5,29.239,9.478,38.769
3,25000,1000,75,3,kmeans++,hdf5,28.51,9.724,38.281
4,25000,1000,75,3,kmeans++,hdf5,27.194,9.521,36.739
5,25000,1000,75,3,kmeans++,hdf5,27.243,8.713,35.983
6,25000,1000,75,3,kmeans++,hdf5,30.745,12.678,43.459
7,25000,1000,75,3,kmeans++,hdf5,27.736,12.118,39.88
8,25000,1000,75,3,kmeans++,hdf5,28.954,9.952,38.955
9,25000,1000,75,3,kmeans++,hdf5,31.113,13.121,44.261
10,25000,1000,75,3,kmeans++,hdf5,30.801,12.46,43.313
1,25000,1000,75,4,kmeans++,hdf5,32.341,10.194,42.561
2,25000,1000,75,4,kmeans++,hdf5,30.763,10.276,41.061
3,25000,1000,75,4,kmeans++,hdf5,27.54,9.45,37.042
4,25000,1000,75,4,kmeans++,hdf5,31.391,9.151,40.57
5,25000,1000,75,4,kmeans++,hdf5,30.999,10.91,41.932
6,25000,1000,75,4,kmeans++,hdf5,31.689,12.064,43.796
7,25000,1000,75,4,kmeans++,hdf5,33.723,14.474,48.264
8,25000,1000,75,4,kmeans++,hdf5,30.851,9.438,40.319
9,25000,1000,75,4,kmeans++,hdf5,32.151,12.46,44.643
10,25000,1000,75,4,kmeans++,hdf5,34.414,13.549,48.005
1,25000,1000,75,5,kmeans++,hdf5,38.498,15.508,54.101
2,25000,1000,75,5,kmeans++,hdf5,40.991,18.25,59.315
3,25000,1000,75,5,kmeans++,hdf5,34.788,11.258,46.09
4,25000,1000,75,5,kmeans++,hdf5,30.061,9.753,39.862
5,25000,1000,75,5,kmeans++,hdf5,34.415,9.363,43.825
6,25000,1000,75,5,kmeans++,hdf5,39.797,13.429,53.287
7,25000,1000,75,5,kmeans++,hdf5,34.825,10.446,45.315
8,25000,1000,75,5,kmeans++,hdf5,37.13,14.239,51.473
9,25000,1000,75,5,kmeans++,hdf5,37.684,12.601,50.323
10,25000,1000,75,5,kmeans++,hdf5,39.069,12.968,52.068
1,25000,1000,75,6,kmeans++,hdf5,39.18,11.92,51.129
2,25000,1000,75,6,kmeans++,hdf5,39.037,11.086,50.173
3,25000,1000,75,6,kmeans++,hdf5,38.209,10.016,48.4
4,25000,1000,75,6,kmeans++,hdf5,39.477,11.213,50.747
5,25000,1000,75,6,kmeans++,hdf5,35.727,8.341,44.236
6,25000,1000,75,6,kmeans++,hdf5,35.169,9.561,44.759
7,25000,1000,75,6,kmeans++,hdf5,37.21,9.578,46.825
8,25000,1000,75,6,kmeans++,hdf5,34.815,7.743,42.684
9,25000,1000,75,6,kmeans++,hdf5,37.086,11.943,49.048
10,25000,1000,75,6,kmeans++,hdf5,40.303,14.395,54.724
1,25000,1000,75,7,kmeans++,hdf5,41.934,11.646,53.637
2,25000,1000,75,7,kmeans++,hdf5,39.023,8.601,47.67
3,25000,1000,75,7,kmeans++,hdf5,41.405,11.351,52.804
4,25000,1000,75,7,kmeans++,hdf5,40.023,10.865,50.929
5,25000,1000,75,7,kmeans++,hdf5,43.066,13.981,57.085
6,25000,1000,75,7,kmeans++,hdf5,39.568,9.424,49.017
7,25000,1000,75,7,kmeans++,hdf5,40.412,10.851,51.289
8,25000,1000,75,7,kmeans++,hdf5,38.267,9.751,48.052
9,25000,1000,75,7,kmeans++,hdf5,39.548,9.679,49.25
10,25000,1000,75,7,kmeans++,hdf5,37.968,9.559,47.557
1,25000,1000,75,8,kmeans++,hdf5,42.4,8.466,50.894
2,25000,1000,75,8,kmeans++,hdf5,39.125,7.804,46.98
3,25000,1000,75,8,kmeans++,hdf5,42.265,9.922,52.218
4,25000,1000,75,8,kmeans++,hdf5,39.86,7.697,47.603
5,25000,1000,75,8,kmeans++,hdf5,41.344,9.276,50.65
6,25000,1000,75,8,kmeans++,hdf5,45.904,9.984,55.917
7,25000,1000,75,8,kmeans++,hdf5,42.215,9.725,51.968
8,25000,1000,75,8,kmeans++,hdf5,47.532,13.391,60.965
9,25000,1000,75,8,kmeans++,hdf5,46.95,16.099,63.115
10,25000,1000,75,8,kmeans++,hdf5,43.9,9.758,53.68
1,25000,1000,75,9,kmeans++,hdf5,44.501,8.486,53.01
2,25000,1000,75,9,kmeans++,hdf5,44.033,8.109,52.157
3,25000,1000,75,9,kmeans++,hdf5,48.385,12.792,61.208
4,25000,1000,75,9,kmeans++,hdf5,48.124,12.111,60.266
5,25000,1000,75,9,kmeans++,hdf5,48.594,12.608,61.239
6,25000,1000,75,9,kmeans++,hdf5,44.892,9.398,54.311
7,25000,1000,75,9,kmeans++,hdf5,47.346,10.47,57.86
8,25000,1000,75,9,kmeans++,hdf5,45.724,8.119,53.895
9,25000,1000,75,9,kmeans++,hdf5,46.962,9.53,56.549
10,25000,1000,75,9,kmeans++,hdf5,44.556,8.596,53.173
1,25000,1000,75,10,kmeans++,hdf5,50.016,12.035,62.131
2,25000,1000,75,10,kmeans++,hdf5,51.664,14.528,66.231
3,25000,1000,75,10,kmeans++,hdf5,45.286,8.98,54.319
4,25000,1000,75,10,kmeans++,hdf5,52.341,12.099,64.543
5,25000,1000,75,10,kmeans++,hdf5,44.198,7.35,51.622
6,25000,1000,75,10,kmeans++,hdf5,50.16,11.914,62.1
7,25000,1000,75,10,kmeans++,hdf5,50.929,11.559,62.523
8,25000,1000,75,10,kmeans++,hdf5,44.966,8.969,53.984
9,25000,1000,75,10,kmeans++,hdf5,47.913,9.458,57.406
10,25000,1000,75,10,kmeans++,hdf5,51.709,13.777,65.534
1,25000,1000,75,11,kmeans++,hdf5,49.441,9.433,58.904
2,25000,1000,75,11,kmeans++,hdf5,50.02,8.488,58.533
3,25000,1000,75,11,kmeans++,hdf5,58.137,16.194,74.377
4,25000,1000,75,11,kmeans++,hdf5,46.143,8.67,54.879
5,25000,1000,75,11,kmeans++,hdf5,50.868,9.356,60.25
6,25000,1000,75,11,kmeans++,hdf5,45.165,8.074,53.29
7,25000,1000,75,11,kmeans++,hdf5,52.865,10.138,63.032
8,25000,1000,75,11,kmeans++,hdf5,50.585,8.855,59.457
9,25000,1000,75,11,kmeans++,hdf5,52.041,11.644,63.718
10,25000,1000,75,11,kmeans++,hdf5,55.663,10.962,66.649
1,25000,1000,75,12,kmeans++,hdf5,53.853,15.235,69.147
2,25000,1000,75,12,kmeans++,hdf5,60.319,17.611,78.013
3,25000,1000,75,12,kmeans++,hdf5,55.891,11.311,67.286
4,25000,1000,75,12,kmeans++,hdf5,52.37,9.166,61.575
5,25000,1000,75,12,kmeans++,hdf5,55.517,12.063,67.687
6,25000,1000,75,12,kmeans++,hdf5,54.14,10.484,64.686
7,25000,1000,75,12,kmeans++,hdf5,56.452,17.819,74.474
