B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time
1,1.00E+05,1000,0.001,2,random,mbkmeans,27.599,0.808,29.628
2,1.00E+05,1000,0.001,2,random,mbkmeans,28.785,0.711,34.869
3,1.00E+05,1000,0.001,2,random,mbkmeans,29.124,0.966,36.126
4,1.00E+05,1000,0.001,2,random,mbkmeans,27.669,0.835,29.653
5,1.00E+05,1000,0.001,2,random,mbkmeans,28.044,0.973,29.234
6,1.00E+05,1000,0.001,2,random,mbkmeans,27.388,0.736,33.362
7,1.00E+05,1000,0.001,2,random,mbkmeans,29.396,1.067,31.039
8,1.00E+05,1000,0.001,2,random,mbkmeans,28.738,1.027,35.61
9,1.00E+05,1000,0.001,2,random,mbkmeans,28.31,0.651,36.097
10,1.00E+05,1000,0.001,2,random,mbkmeans,26.397,0.639,33.541
1,1.00E+05,1000,0.001,3,random,mbkmeans,28.454,0.719,37.423
2,1.00E+05,1000,0.001,3,random,mbkmeans,29.6,0.812,36.983
3,1.00E+05,1000,0.001,3,random,mbkmeans,29.635,0.813,36.504
4,1.00E+05,1000,0.001,3,random,mbkmeans,31.254,0.852,40.882
5,1.00E+05,1000,0.001,3,random,mbkmeans,29.326,0.809,36.509
6,1.00E+05,1000,0.001,3,random,mbkmeans,30.04,0.855,36.915
7,1.00E+05,1000,0.001,3,random,mbkmeans,28.732,0.82,35.399
8,1.00E+05,1000,0.001,3,random,mbkmeans,29.905,0.734,36.288
9,1.00E+05,1000,0.001,3,random,mbkmeans,28.697,0.786,30.167
10,1.00E+05,1000,0.001,3,random,mbkmeans,29.155,0.824,30.75
1,1.00E+05,1000,0.001,4,random,mbkmeans,30.067,0.821,34.916
2,1.00E+05,1000,0.001,4,random,mbkmeans,28.42,0.686,32.115
3,1.00E+05,1000,0.001,4,random,mbkmeans,29.571,0.681,34.14
4,1.00E+05,1000,0.001,4,random,mbkmeans,30.391,0.83,37.303
5,1.00E+05,1000,0.001,4,random,mbkmeans,30.953,0.872,35.568
6,1.00E+05,1000,0.001,4,random,mbkmeans,29.933,0.831,38.582
7,1.00E+05,1000,0.001,4,random,mbkmeans,31.834,0.833,41.952
